time 2020-01-07 17:28:02
11_11_CENTRAL_ECCENTRIC_LVSCV_LVSCV_SVSCV_thre0.1
robNum  11
taskNum  11
comp_threhold  0.1
rob2tskDis  70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  50 50 50 50 50 50 50 50 50 50 50
rob_y  50 50 50 50 50 50 50 50 50 50 50
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.7334804482770743 0.6191700308097678 0.26498584629580674 0.22219360973247104 0.6940351635820139 1.3404819636956808 1.0588344152178975 0.5314810980644726 0.5312301098375087 0.25505920207573196 1.8694835395698013

tsk_x  0 0 0 0 0 0 0 0 0 0 0
tsk_y  0 0 0 0 0 0 0 0 0 0 0
tsk_rat  1.1818053569469107 0.2489442532954835 0.6861233465795104 0.49475409463056375 0.7764327834667739 1.3452949160368726 0.890559284692132 0.6085907457519353 0.7095487357036556 0.6053098692600214 0.7836069474988401
tsk_state  1 1 1 1 1 1 1 1 1 1 1
tsk_con  140.75636355906877 35.701354068743456 73.16298852601201 62.65658981295862 114.92946675228981 179.47926567671857 109.88901263234072 89.69343425255178 94.85599733107266 61.89546133302809 80.60300793785771
