time 2020-01-07 17:28:02
11_11_CLUSTERED_ECCENTRIC_UNITARY_UNITARY_UNITARY_thre0.1
robNum  11
taskNum  11
comp_threhold  0.1
rob2tskDis  100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 100.2845950283492 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 89.31965069345043 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 83.6301381082203 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 46.09772228646444 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 89.89438247187641 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 101.53324578678651 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 39.56008088970496 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 99.53893710503444 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 97.8008179924892 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285 93.98404119849285
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  29 83 37 46 41 30 38 39 92 27 88
rob_y  96 33 75 3 80 97 11 77 38 94 33
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

tsk_x  0 0 0 0 0 0 0 0 0 0 0
tsk_y  0 0 0 0 0 0 0 0 0 0 0
tsk_rat  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
tsk_state  1 1 1 1 1 1 1 1 1 1 1
tsk_con  40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0
