time 2020-01-07 17:28:02
11_11_CLUSTERED_RANDOMCLUSTERED_SVSCV_MSVFLV_MSVFLV_thre0.1
robNum  11
taskNum  11
comp_threhold  0.1
rob2tskDis  55.362442142665635 47.01063709417264 29.274562336608895 85.28774824088158 70.03570517957252 39.05124837953327 70.09279563550022 53.23532661682466 65.7419196555744 88.05679985100527 27.85677655436824 60.41522986797286 76.32168761236873 58.034472514187634 97.86214794290998 96.51942809610924 48.33218389437829 99.68951800465283 82.0792300158816 87.11486669908874 104.80935072788114 50.44799302251776 8.06225774829855 77.6659513557904 67.20863039818622 46.647615158762406 68.06614430096654 10.63014581273465 89.49301648732151 67.05221845696084 48.08326112068523 56.568542494923804 33.015148038438355 42.15447781671598 48.76474136094644 34.132096331752024 71.34423592694787 61.29437168288782 25.632011235952593 68.06614430096654 48.27007354458868 53.53503525729669 74.63243262818116 15.620499351813308 43.60045871318328 38.2099463490856 32.57299494980466 59.22837157984339 38.27531841800928 30.083217912982647 50.00999900019995 28.071337695236398 33.52610922848042 58.137767414994535 9.055385138137417 40.792156108742276 56.293871780150276 40.718546143004666 73.54590403278758 68.60029154456998 25.019992006393608 76.10519036176179 56.293871780150276 59.033888572581766 78.39005038906404 22.20360331117452 55.65968020030299 46.010868281309364 28.284271247461902 85.21150157109074 69.31089380465383 39.293765408777 69.12307863514182 52.354560450833695 65.30696746902278 87.80091115700337 27.51363298439521 52.15361924162119 67.0 49.25444142409901 88.23264701911646 85.14693182963201 38.600518131237564 89.44271909999159 71.16881339463234 75.92759709091287 94.36630754670864 39.05124837953327 50.59644256269407 47.16990566028302 30.364452901377952 80.30566605165541 66.70832032063167 34.20526275297414 69.05070600652827 51.07837115648854 61.29437168288782 83.24061508662703 23.259406699226016 19.235384061671343 80.05623023850174 67.20119046564577 58.52349955359813 76.94153624668537 16.1245154965971 94.92101980067429 72.83543093852057 58.69412236331676 68.59300255857006 36.40054944640259 51.264022471905186 45.17742799230607 28.460498941515414 80.15609770940699 65.19202405202648 34.785054261852174 67.08203932499369 49.24428900898052 60.37383539249432 82.71033792700887 22.47220505424423
tskDis  0.0 81.68843247363729 72.62231062146122 39.408120990476064 67.1863081289633 16.55294535724685 91.3892772703669 68.94200461257273 45.39823785126467 50.44799302251776 37.48332962798263 81.68843247363729 0.0 18.681541692269406 93.03762679690406 47.16990566028302 67.11929677819934 26.40075756488817 24.0 60.728905802755904 87.36131867136622 44.654227123532216 72.62231062146122 18.681541692269406 0.0 91.67878707749138 56.462376853972415 56.639209034025185 44.294469180700204 34.132096331752024 63.0 89.20201791439474 35.510561809129406 39.408120990476064 93.03762679690406 91.67878707749138 0.0 57.48912940721924 49.64876634922564 91.35097153287424 72.11102550927978 34.058772731852805 16.0 59.07622195096772 67.1863081289633 47.16990566028302 56.462376853972415 57.48912940721924 0.0 60.8276253029822 35.35533905932738 23.345235059857504 24.596747752497688 46.400431032480725 46.52956049652737 16.55294535724685 67.11929677819934 56.639209034025185 49.64876634922564 60.8276253029822 0.0 79.81227975693966 57.48912940721924 43.41658669218482 56.859475903318 22.47220505424423 91.3892772703669 26.40075756488817 44.294469180700204 91.35097153287424 35.35533905932738 79.81227975693966 0.0 22.47220505424423 57.3149195236284 81.54140052758476 58.69412236331676 68.94200461257273 24.0 34.132096331752024 72.11102550927978 23.345235059857504 57.48912940721924 22.47220505424423 0.0 38.47076812334269 64.62197768561404 37.013511046643494 45.39823785126467 60.728905802755904 63.0 34.058772731852805 24.596747752497688 43.41658669218482 57.3149195236284 38.47076812334269 0.0 26.68332812825267 38.07886552931954 50.44799302251776 87.36131867136622 89.20201791439474 16.0 46.400431032480725 56.859475903318 81.54140052758476 64.62197768561404 26.68332812825267 0.0 60.41522986797286 37.48332962798263 44.654227123532216 35.510561809129406 59.07622195096772 46.52956049652737 22.47220505424423 58.69412236331676 37.013511046643494 38.07886552931954 60.41522986797286 0.0

rob_x  30 1 13 30 49 22 31 10 30 5 32
rob_y  8 2 53 22 35 21 8 9 13 44 13
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.06201733057501675 0.02959391499931708 0.06662516093932812 0.0918289860479745 0.086503227820931 0.024332191018042144 0.09471971052520771 0.025073040065374093 0.07030119453086407 0.04490358785106277 0.036361636462390046

tsk_x  14 77 59 37 81 21 98 77 59 53 40
tsk_y  61 9 4 93 56 46 25 33 67 93 34
tsk_rat  0.07801505570233297 0.10821066366023564 0.025915224515087883 0.10822849242069506 0.0908861625847766 0.08809233736597971 0.10137492075738083 0.06321672325412413 0.06886184479929681 0.10843040898425421 0.09864219214651276
tsk_state  1 1 1 1 1 1 1 1 1 1 1
tsk_con  10.016094827145197 15.630240453941122 3.5784013469867912 13.02520158177311 13.128240934316285 11.306579539407116 10.188022979848254 8.558734157118536 7.84480242394893 21.30862920701296 16.30150050875817
