time 2020-01-07 17:28:02
11_11_ECCENTRIC_RANDOM_UNITARY_QUADRANT_LVLCV_thre0.1
robNum  11
taskNum  11
comp_threhold  0.1
rob2tskDis  34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747 34.48187929913333 54.57105459856901 75.07329751649384 54.48853090330111 77.87810988975015 88.36288813749809 64.89992295835181 87.92041856133307 57.0087712549569 68.42514157822401 15.264337522473747
tskDis  0.0 39.81205847478876 43.829214001622255 24.041630560342615 43.657759905886145 74.33034373659252 30.610455730027933 54.3415126767741 25.079872407968907 34.0147027033899 19.235384061671343 39.81205847478876 0.0 37.12142238654117 27.294688127912362 61.68468205316454 35.35533905932738 44.384682042344295 74.0 56.639209034025185 52.80151512977634 45.0 43.829214001622255 37.12142238654117 0.0 20.615528128088304 31.89043743820395 52.80151512977634 20.396078054371138 42.638011210655684 41.30375285612676 27.313000567495326 60.60528029800704 24.041630560342615 27.294688127912362 20.615528128088304 0.0 34.92849839314596 56.08029957123981 17.46424919657298 47.29693436154187 30.805843601498726 25.632011235952593 40.0 43.657759905886145 61.68468205316454 31.89043743820395 34.92849839314596 0.0 84.29116205154607 17.46424919657298 12.36931687685298 23.345235059857504 10.04987562112089 62.76941930590086 74.33034373659252 35.35533905932738 52.80151512977634 56.08029957123981 84.29116205154607 0.0 69.42621983083913 95.42536350467836 86.82165628459296 77.83315488916018 80.15609770940699 30.610455730027933 44.384682042344295 20.396078054371138 17.46424919657298 17.46424919657298 69.42621983083913 0.0 29.832867780352597 21.02379604162864 8.602325267042627 49.64876634922564 54.3415126767741 74.0 42.638011210655684 47.29693436154187 12.36931687685298 95.42536350467836 29.832867780352597 0.0 31.304951684997057 22.090722034374522 73.08214556237385 25.079872407968907 56.639209034025185 41.30375285612676 30.805843601498726 23.345235059857504 86.82165628459296 21.02379604162864 31.304951684997057 0.0 17.08800749063506 42.579337712087536 34.0147027033899 52.80151512977634 27.313000567495326 25.632011235952593 10.04987562112089 77.83315488916018 8.602325267042627 22.090722034374522 17.08800749063506 0.0 53.225933528685054 19.235384061671343 45.0 60.60528029800704 40.0 62.76941930590086 80.15609770940699 49.64876634922564 73.08214556237385 42.579337712087536 53.225933528685054 0.0

rob_x  0 0 0 0 0 0 0 0 0 0 0
rob_y  0 0 0 0 0 0 0 0 0 0 0
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

tsk_x  30 13 50 37 71 8 54 83 55 61 13
tsk_y  17 53 56 40 32 88 36 29 15 31 8
tsk_rat  0.22231977458866528 0.3385274976281471 0.26667335802068853 0.10924017750022169 0.3682915601896046 0.37761137982259035 0.3975385122453014 0.321110088599455 0.2883237517621361 0.39093502537850094 0.3447412828079536
tsk_state  1 1 1 1 1 1 1 1 1 1 1
tsk_con  48.92496541288964 72.19151339675727 55.94677909984768 22.393017320044542 78.08782600757092 66.74627123470566 77.29376469681313 81.4289599669154 63.990274503109745 62.62721567512971 59.22253243271932
