time 2020-01-07 17:28:02
11_15_CLUSTERED_ECCENTRIC_LVLCV_LVSCV_UNITARY_thre0.1
robNum  11
taskNum  15
comp_threhold  0.1
rob2tskDis  71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 71.19691004531025 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 84.07734534343957 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 55.97320787662612 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 89.88882021697692 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 102.88342918079665 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 41.6293165929973 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 44.27188724235731 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 59.22837157984339 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 49.25444142409901 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 88.60022573334675 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721 83.48652585896721
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  62 75 18 48 91 38 14 12 5 53 47
rob_y  35 38 53 76 48 17 42 58 49 71 69
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.0803258444710617 0.9548860164678729 1.7574793448472588 0.44831062698227037 0.3103917770430552 0.5113961785009656 1.6695633880776697 1.626510755982844 0.24365550284306295 0.021938674152460643 1.9784871078473243

