time 2020-01-07 17:28:02
11_15_ECCENTRIC_CENTRAL_SVLCV_UNITARY_SVSCV_thre0.1
robNum  11
taskNum  15
comp_threhold  0.1
rob2tskDis  70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  0 0 0 0 0 0 0 0 0 0 0
rob_y  0 0 0 0 0 0 0 0 0 0 0
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.1510701098052385 0.10333339860355635 0.07345136464904484 0.16120510317779133 0.11202754044445858 0.027844764374382977 0.10248634418141889 0.07710782492164538 0.17126255425070128 0.1988926253172565 0.1836760316376

