time 2020-01-07 17:28:02
11_15_RANDOMCLUSTERED_CENTRAL_MSVFLV_LVLCV_MSVFLV_thre0.1
robNum  11
taskNum  15
comp_threhold  0.1
rob2tskDis  38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 51.478150704935004 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 24.041630560342615 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 32.69556544854363 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 48.84669896727925 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 42.20189569201838 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 28.319604517012593 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675 23.021728866442675
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  35 3 27 63 5 39 15 34 75 69 51
rob_y  15 71 43 80 69 89 77 22 16 71 27
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.1800313355327512 0.1514624180233862 0.1808384371704581 0.06557942085252623 0.12503142462035433 0.11299760393730907 0.05598490146222024 0.06700102776593624 0.13123634040240098 0.8452269448120269 0.8520245470566998

