time 2020-01-07 17:28:02
11_15_RANDOM_RANDOM_MSVFLV_QUADRANT_MSVFLV_thre0.1
robNum  11
taskNum  15
comp_threhold  0.1
rob2tskDis  107.29864864013899 83.21658488546619 45.17742799230607 73.0 19.849433241279208 23.345235059857504 53.53503525729669 26.40075756488817 96.66436778875658 105.68348972285122 25.059928172283335 36.138621999185304 54.62600113499065 78.29431652425353 58.69412236331676 81.49846624323675 75.15317691222374 84.72307831990054 4.47213595499958 62.96824596572466 83.67795408588812 64.4437739428721 57.723478758647246 93.62157870918435 86.68333173107735 68.00735254367721 92.11405973031478 73.0 78.03204469959762 31.144823004794873 57.28001396647874 42.579337712087536 50.92150822589606 35.0 39.92492955535426 56.22277118748239 28.600699292150182 33.24154027718932 61.18823416311342 59.53990258641679 40.44749683231337 61.40032573203501 37.20215047547655 43.657759905886145 5.385164807134504 55.326304774492215 51.03920062069938 72.03471385380801 28.0178514522438 60.876925020897694 78.16009211867653 48.104053883222775 54.3415126767741 68.96375859826666 60.63827174318213 62.289646009589745 83.2946576918352 56.462376853972415 55.226805085936306 20.615528128088304 106.40018796975878 82.85529554590944 47.0 69.02897942168927 18.601075237738275 26.248809496813376 53.23532661682466 24.758836806279895 96.93296652842108 105.152270541344 25.298221281347036 39.21734310225516 55.02726596879042 78.29431652425353 55.90169943749474 71.56116265125938 45.221676218380054 4.123105625617661 78.49203781276162 31.78049716414141 24.186773244895647 21.02379604162864 30.870698080866262 54.405882034941776 67.47592163134935 22.360679774997898 19.235384061671343 15.231546211727817 38.28837943815329 50.566787519082126 56.753854494650845 42.95346318982906 52.81098370604357 33.83784863137726 41.78516483155236 58.215118311311535 30.23243291566195 35.11409973215888 61.61168720299745 59.30430001273095 42.42640687119285 63.387695966961914 38.8329756778952 44.384682042344295 5.0 57.0350769263968 37.16180835212409 40.607881008493905 105.20931517693668 72.11102550927978 63.788713735268246 43.86342439892262 69.72087205421343 29.154759474226502 49.040799340956916 63.00793600809346 53.85164807134504 36.68787265568828 30.528675044947494 75.45197147855052 107.05606008068857 81.32035415564789 36.235341863986875 86.97700845625813 28.0 13.45362404707371 52.80151512977634 34.132096331752024 91.83681179135085 103.9471019317037 26.570660511172846 22.360679774997898 50.93132631298737 75.07329751649384 67.7421582177598 36.05551275463989 33.97057550292606 66.03029607687671 47.095647357266465 64.66065264130884 77.79460135510689 41.048751503547585 57.982756057296896 50.80354318352215 41.23105625617661 63.15853069855251 79.90619500389191 48.093658625644196 39.66106403010388 28.844410203711913 57.688820407423826 31.400636936215164 17.08800749063506 73.55270219373317 38.3275357934736 36.87817782917155 10.816653826391969 35.014282800023196 42.05948168962618 53.81449618829484 30.083217912982647 33.12099032335839 2.23606797749979 24.758836806279895 44.04543109109048
tskDis  0.0 26.419689627245813 74.43117626371358 83.15046602394962 87.80091115700337 93.72299611087985 54.45181356024793 81.8413098624405 28.442925306655784 8.94427190999916 82.80700453464067 90.7358804442873 56.61271941887264 34.0147027033899 61.61168720299745 26.419689627245813 0.0 48.02082881417188 75.39230729988306 64.41273166075166 67.89698078707183 29.68164415931166 59.09314681077663 18.681541692269406 22.67156809750927 58.249463516842795 64.35060217278468 30.479501308256342 8.06225774829855 47.853944456021594 74.43117626371358 48.02082881417188 0.0 82.37718130647589 33.83784863137726 23.40939982143925 25.0 33.61547262794322 56.08029957123981 70.0 24.351591323771842 16.401219466856727 18.681541692269406 40.80441152620633 54.62600113499065 83.15046602394962 75.39230729988306 82.37718130647589 0.0 59.43904440685432 80.36168241145776 62.93647591023825 54.405882034941776 93.98404119849285 87.96590248499699 64.8459713474939 89.15716460273958 71.42128534267638 77.82673062643708 29.832867780352597 87.80091115700337 64.41273166075166 33.83784863137726 59.43904440685432 0.0 21.470910553583888 34.92849839314596 6.708203932499369 79.05694150420949 86.6083136886985 9.486832980505138 32.55764119219941 37.656340767525464 60.166435825965294 40.26164427839479 93.72299611087985 67.89698078707183 23.40939982143925 80.36168241145776 21.470910553583888 0.0 39.66106403010388 25.96150997149434 78.49203781276162 90.50966799187809 16.0312195418814 13.0 37.48332962798263 61.61980201201558 58.0 54.45181356024793 29.68164415931166 25.0 62.93647591023825 34.92849839314596 39.66106403010388 0.0 30.083217912982647 44.384682042344295 52.20153254455275 28.600699292150182 39.293765408777 8.602325267042627 25.298221281347036 33.301651610693426 81.8413098624405 59.09314681077663 33.61547262794322 54.405882034941776 6.708203932499369 25.96150997149434 30.083217912982647 0.0 74.46475676452586 81.00617260431454 10.816653826391969 35.510561809129406 34.0147027033899 55.362442142665635 33.734255586866 28.442925306655784 18.681541692269406 56.08029957123981 93.98404119849285 79.05694150420949 78.49203781276162 44.384682042344295 74.46475676452586 0.0 20.024984394500787 71.69379331573968 72.18032973047436 42.04759208325728 19.235384061671343 66.49060083951716 8.94427190999916 22.67156809750927 70.0 87.96590248499699 86.6083136886985 90.50966799187809 52.20153254455275 81.00617260431454 20.024984394500787 0.0 80.80222769206304 86.40023148117139 53.03772242470448 29.206163733020468 64.28063471995279 82.80700453464067 58.249463516842795 24.351591323771842 64.8459713474939 9.486832980505138 16.0312195418814 28.600699292150182 10.816653826391969 71.69379331573968 80.80222769206304 0.0 24.698178070456937 29.732137494637012 53.23532661682466 42.01190307520001 90.7358804442873 64.35060217278468 16.401219466856727 89.15716460273958 32.55764119219941 13.0 39.293765408777 35.510561809129406 72.18032973047436 86.40023148117139 24.698178070456937 0.0 34.438350715445125 57.201398584300364 64.13267497929586 56.61271941887264 30.479501308256342 18.681541692269406 71.42128534267638 37.656340767525464 37.48332962798263 8.602325267042627 34.0147027033899 42.04759208325728 53.03772242470448 29.732137494637012 34.438350715445125 0.0 24.20743687382041 41.86884283091664 34.0147027033899 8.06225774829855 40.80441152620633 77.82673062643708 60.166435825965294 61.61980201201558 25.298221281347036 55.362442142665635 19.235384061671343 29.206163733020468 53.23532661682466 57.201398584300364 24.20743687382041 0.0 49.040799340956916 61.61168720299745 47.853944456021594 54.62600113499065 29.832867780352597 40.26164427839479 58.0 33.301651610693426 33.734255586866 66.49060083951716 64.28063471995279 42.01190307520001 64.13267497929586 41.86884283091664 49.040799340956916 0.0

rob_x  86 9 34 12 82 78 32 75 99 16 66
rob_y  88 86 60 60 90 44 60 3 75 41 37
rob_vel  1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.08923712093889286 0.0827941265355926 0.10343086448288823 0.09299217455422558 0.05929414087083183 0.05036255344226741 0.10416220995256419 0.19844404722110834 0.1727058188371728 0.4696609773768643 1.3414260573807733

