time 2020-01-07 17:28:02
14_12_CLUSTERED_CENTRAL_SVLCV_UNITARY_LVSCV_thre0.1
robNum  14
taskNum  12
comp_threhold  0.1
rob2tskDis  36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 52.80151512977634 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 41.773197148410844 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 24.596747752497688 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 41.23105625617661 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 54.62600113499065 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 48.373546489791295 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 40.45985664828782 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 52.20153254455275 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 49.658836071740545 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 36.124783736376884 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 29.5296461204668 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566 46.238512086787566
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  85 72 22 39 12 0 8 24 19 5 77 31 36 7
rob_y  60 98 19 28 66 28 26 19 8 29 74 25 24 33
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.08259099552344328 0.15325954996449562 0.1301656070583892 0.09072980332306803 0.08058657689868017 0.1827733283831579 0.10642849760736207 0.05782674473865991 0.14110703573671698 0.13514549455936262 0.14755478797957836 0.06853463522084932 0.10252076014728739 0.08239937974331402

tsk_x  50 50 50 50 50 50 50 50 50 50 50 50
tsk_y  50 50 50 50 50 50 50 50 50 50 50 50
tsk_rat  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  30.425767303536546 34.785476356797396 36.424858997921085 34.99708521845778 39.041167564569406 33.02133605881496 36.911938469231806 38.19230947638109 37.27214839180992 31.58072186352381 39.69917114963911 31.83897925781929
