time 2020-01-07 17:28:02
14_12_ECCENTRIC_CLUSTERED_QUADRANT_UNITARY_UNITARY_thre0.1
robNum  14
taskNum  12
comp_threhold  0.1
rob2tskDis  29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164 29.427877939124322 101.27191120937731 41.773197148410844 86.12200647918046 38.600518131237564 85.14693182963201 95.33624704172071 85.72630868059116 31.144823004794873 95.12623192369179 44.598206241955516 31.400636936215164
tskDis  0.0 95.88534820294495 26.019223662515376 79.63039620647382 10.0 78.63841300535 87.09190547921202 77.10382610480494 2.8284271247461903 88.45903006477066 28.0178514522438 2.0 95.88534820294495 0.0 70.03570517957252 16.278820596099706 91.44397191723465 17.26267650163207 12.041594578792296 20.12461179749811 98.15294188153507 8.06225774829855 68.4470598345904 96.17692030835673 26.019223662515376 70.03570517957252 0.0 53.75872022286245 21.93171219946131 52.773099207835045 61.07372593840988 51.088159097779204 28.160255680657446 62.51399843235114 2.8284271247461903 26.1725046566048 79.63039620647382 16.278820596099706 53.75872022286245 0.0 75.18643494673756 1.0 10.0 6.324555320336759 81.88406438373708 9.055385138137417 52.172789842982326 79.90619500389191 10.0 91.44397191723465 21.93171219946131 75.18643494673756 0.0 74.21590126111789 81.88406438373708 72.00694410957877 10.0 83.74365647617735 23.08679276123039 8.48528137423857 78.63841300535 17.26267650163207 52.773099207835045 1.0 74.21590126111789 0.0 10.816653826391969 6.082762530298219 80.89499366462674 10.04987562112089 51.19570294468082 78.91767862779544 87.09190547921202 12.041594578792296 61.07372593840988 10.0 81.88406438373708 10.816653826391969 0.0 10.0 89.20201791439474 5.0990195135927845 59.21148537234985 87.20665112249179 77.10382610480494 20.12461179749811 51.088159097779204 6.324555320336759 72.00694410957877 6.082762530298219 10.0 0.0 79.22752047110903 12.083045973594572 49.25444142409901 77.23341245859851 2.8284271247461903 98.15294188153507 28.160255680657446 81.88406438373708 10.0 80.89499366462674 89.20201791439474 79.22752047110903 0.0 90.6697303403953 30.01666203960727 2.0 88.45903006477066 8.06225774829855 62.51399843235114 9.055385138137417 83.74365647617735 10.04987562112089 5.0990195135927845 12.083045973594572 90.6697303403953 0.0 60.8276253029822 88.68483523128404 28.0178514522438 68.4470598345904 2.8284271247461903 52.172789842982326 23.08679276123039 51.19570294468082 59.21148537234985 49.25444142409901 30.01666203960727 60.8276253029822 0.0 28.0178514522438 2.0 96.17692030835673 26.1725046566048 79.90619500389191 8.48528137423857 78.91767862779544 87.20665112249179 77.23341245859851 2.0 88.68483523128404 28.0178514522438 0.0

rob_x  0 0 0 0 0 0 0 0 0 0 0 0 0 0
rob_y  0 0 0 0 0 0 0 0 0 0 0 0 0 0
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.07236001396625864 0.4398275041886212 0.79060806021696 0.12953853478825772 0.8243412723267165 0.8784989407082212 0.7821850491113714 0.5108393603142615 0.20562851707471194 0.9332847664483774 0.02870249294155064 0.7414806589084237 0.23950438915324793 0.6819276999548035

tsk_x  29 16 28 19 37 19 25 25 31 20 30 31
tsk_y  5 100 31 84 11 83 92 82 3 93 33 5
tsk_rat  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0
