time 2020-01-07 17:28:02
14_12_RANDOMCLUSTERED_CENTRAL_SVSCV_LVSCV_UNITARY_thre0.1
robNum  14
taskNum  12
comp_threhold  0.1
rob2tskDis  44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 62.22539674441618 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 8.54400374531753 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 34.66987164671943 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 7.615773105863909 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 49.39635614091387 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 51.40038910358559 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 46.61544808322666 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 10.770329614269007 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 32.7566787083184 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 53.907327887774215 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685 44.204072210600685
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  84 6 57 28 42 21 53 8 81 12 60 67 85 77
rob_y  22 6 82 36 53 69 57 24 91 23 46 78 91 85
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.025568330989778464 0.048631836247713944 0.0542886582079299 0.08206168553509667 0.028347039752973258 0.07550535336077076 0.04327640239339167 0.06846879973335517 0.04900609957015188 0.033681768468662984 0.08826056190147648 0.08714404646569757 0.04868802791840543 0.0497373068499891

tsk_x  50 50 50 50 50 50 50 50 50 50 50 50
tsk_y  50 50 50 50 50 50 50 50 50 50 50 50
tsk_rat  0.06755810711225087 0.07917797013433221 0.0803996924783497 0.11144707393743665 0.11136307666461456 0.09316195577320764 0.09960500610763402 0.06935877810945935 0.08460039287490008 0.09643285111343464 0.10421614347613363 0.07836441994379807
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  13.511621422450174 15.835594026866442 16.07993849566994 22.28941478748733 22.272615332922914 18.632391154641528 19.921001221526804 13.871755621891872 16.920078574980018 19.286570222686926 20.843228695226728 15.672883988759615
