time 2020-01-07 17:28:02
14_12_RANDOMCLUSTERED_ECCENTRIC_UNITARY_UNITARY_LVLCV_thre0.1
robNum  14
taskNum  12
comp_threhold  0.1
rob2tskDis  72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 97.45255255764212 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 81.09870529176159 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 103.78824596263297 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 101.24228365658294 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 71.47027354082255 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 101.17806086301516 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 94.30270409696638 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 102.62553288534 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 83.54639429682169 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 92.19544457292888 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649 106.30145812734649
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  7 76 67 4 44 55 50 68 69 78 56 62 84 80
rob_y  72 61 76 81 94 85 80 22 74 53 86 56 38 70
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

tsk_x  0 0 0 0 0 0 0 0 0 0 0 0
tsk_y  0 0 0 0 0 0 0 0 0 0 0 0
tsk_rat  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  58.97194742257596 47.67112513714312 56.64437586186074 41.735649379449654 58.75154831033215 57.82900388936196 52.761974485783334 32.55697061936589 57.25060398483365 46.947765248433114 43.8134729115825 54.49733804676313
