time 2020-01-07 17:28:02
14_14_CLUSTERED_RANDOM_SVSCV_MSVFLV_UNITARY_thre0.1
robNum  14
taskNum  14
comp_threhold  0.1
rob2tskDis  88.64536084872124 37.0 70.40596565632774 34.0147027033899 92.39588735436226 59.90826320300064 66.18912297349165 12.041594578792296 94.87360012142472 59.90826320300064 65.85590330410783 105.84894897919393 104.30723848324239 53.03772242470448 89.05054744357274 106.04244433244644 80.2807573457052 65.0 63.12685640834652 22.02271554554524 94.42986815621421 71.449282711585 32.69556544854363 49.64876634922564 16.15549442140351 53.665631459994955 38.8329756778952 66.06814663663572 78.49203781276162 62.80127387243033 62.369864518050704 28.635642126552707 69.87131027825369 25.495097567963924 67.95586803212802 25.80697580112788 62.76941930590086 37.94733192202055 31.11269837220809 77.10382610480494 72.09022125087424 42.44997055358225 42.7551166528639 42.01190307520001 24.515301344262525 14.866068747318506 52.354560450833695 60.207972893961475 25.238858928247925 48.75448697299562 69.46221994724903 27.294688127912362 58.008620049092706 72.18032973047436 77.93587107359485 10.63014581273465 102.17631819555841 84.0535543567314 87.0 54.120236510939236 88.3911760301898 24.020824298928627 93.49331526906082 37.8549864614954 71.02816342831905 59.64059020499378 35.0 89.45389874119518 79.30952023559341 67.35725647619564 85.44588931013593 67.1863081289633 69.42621983083913 35.35533905932738 75.7099729229908 24.08318915758459 74.88658090739622 25.612496949731394 65.80273550544841 44.384682042344295 31.906112267087632 81.39410298049853 74.94664769020693 49.51767361255979 39.05124837953327 45.803929962395145 20.8806130178211 17.4928556845359 48.373546489791295 60.166435825965294 24.166091947189145 52.0 66.64833081180653 24.698178070456937 57.21887800367987 68.59300255857006 74.94664769020693 7.211102550927978 91.54780172128658 77.1621668954417 76.4198926981712 44.384682042344295 78.43468620451031 17.88854381999832 83.35466393669883 34.0 63.63961030678928 49.09175083453431 27.892651361962706 81.02468759581859 72.3671196055225 56.85068161420758 73.78346698278686 59.43904440685432 57.48912940721924 23.769728648009426 66.37017402418047 28.160255680657446 62.96824596572466 26.40075756488817 61.71709649683789 33.95585369269929 32.202484376209235 74.95331880577403 71.11961754677819 37.53664875824692 90.95603333479313 43.01162633521314 72.80109889280519 35.35533905932738 92.5418824100742 55.60575509783138 69.9714227381436 6.324555320336759 92.66067126888301 59.682493245507096 62.24146527838174 104.67568963231147 102.08329931972223 54.589376255824725 45.89117562233506 40.36087214122113 27.65863337187866 12.041594578792296 54.56189146281496 58.69412236331676 27.80287754891569 45.617978911828175 70.178344238091 28.0178514522438 57.0350769263968 73.7563556583431 78.81624198095213 12.529964086141668 88.63972021616495 106.4048871058092 80.049984384758 65.25335240430181 62.48199740725323 22.80350850198276 94.33981132056604 72.13875518748573 31.78049716414141 49.49747468305833 16.55294535724685 52.773099207835045 37.8549864614954 66.03029607687671 87.47571091451616 35.73513677041127 69.2314957226839 33.06055050963308 91.59148432032315 60.207972893961475 64.8459713474939 13.0 94.57801012920498 59.20304046246274 65.94694837519019 105.30906893520614 104.0096149401583 52.009614495783374 88.45903006477066 36.05551275463989 70.21395872616783 34.058772731852805 92.57429448826494 60.74537019394976 65.7419196555744 13.038404810405298 95.4148835350125 60.166435825965294 66.60330322138685 106.23088063270491 104.84750831564858 53.009433122794285
tskDis  0.0 77.12976079309465 18.24828759089466 55.97320787662612 33.24154027718932 86.05230967266364 30.870698080866262 90.75791976461338 68.3593446428504 43.18564576337837 78.77182237323191 58.05170109479997 73.00684899377592 37.16180835212409 77.12976079309465 0.0 60.74537019394976 42.190046219457976 94.03190947758107 87.55569655939013 47.265209192385896 48.27007354458868 109.63576058932597 67.94115100585212 89.88882021697692 114.10959644131601 118.56221995222593 52.630789467763066 18.24828759089466 60.74537019394976 0.0 38.07886552931954 37.20215047547655 73.43023900274328 18.867962264113206 72.80109889280519 65.92419889539804 31.016124838541646 67.77905281132217 61.29437168288782 72.53275122315436 20.0 55.97320787662612 42.190046219457976 38.07886552931954 0.0 58.9406481131655 49.01020301937138 39.824615503479755 34.785054261852174 67.94115100585212 27.784887978899608 49.03060268852505 74.94664769020693 77.07788269017254 19.235384061671343 33.24154027718932 94.03190947758107 37.20215047547655 58.9406481131655 0.0 67.23094525588644 56.0357029044876 90.08884503644167 36.68787265568828 33.015148038438355 57.42821606144492 25.0 40.11234224026316 42.04759208325728 86.05230967266364 87.55569655939013 73.43023900274328 49.01020301937138 67.23094525588644 0.0 84.11896337925236 49.678969393496885 47.01063709417264 43.01162633521314 11.045361017187261 65.76473218982953 55.326304774492215 55.71355310873648 30.870698080866262 47.265209192385896 18.867962264113206 39.824615503479755 56.0357029044876 84.11896337925236 0.0 71.61005515987263 83.67795408588812 45.0111097397076 80.4114419718985 80.1311425102625 90.75791976461338 28.635642126552707 90.75791976461338 48.27007354458868 72.80109889280519 34.785054261852174 90.08884503644167 49.678969393496885 71.61005515987263 0.0 88.10221336606703 57.07889277132134 56.72741841473134 100.96038827183659 97.49358953285082 53.85164807134504 68.3593446428504 109.63576058932597 65.92419889539804 67.94115100585212 36.68787265568828 47.01063709417264 83.67795408588812 88.10221336606703 0.0 42.190046219457976 36.05551275463989 21.095023109728988 9.433981132056603 59.481089431852205 43.18564576337837 67.94115100585212 31.016124838541646 27.784887978899608 33.015148038438355 43.01162633521314 45.0111097397076 57.07889277132134 42.190046219457976 0.0 36.76955262170047 47.16990566028302 50.80354318352215 17.72004514666935 78.77182237323191 89.88882021697692 67.77905281132217 49.03060268852505 57.42821606144492 11.045361017187261 80.4114419718985 56.72741841473134 36.05551275463989 36.76955262170047 0.0 54.74486277268398 44.553338819890925 51.78802950489621 58.05170109479997 114.10959644131601 61.29437168288782 74.94664769020693 25.0 65.76473218982953 80.1311425102625 100.96038827183659 21.095023109728988 47.16990566028302 54.74486277268398 0.0 18.867962264113206 61.554853586049575 73.00684899377592 118.56221995222593 72.53275122315436 77.07788269017254 40.11234224026316 55.326304774492215 90.75791976461338 97.49358953285082 9.433981132056603 50.80354318352215 44.553338819890925 18.867962264113206 0.0 67.7421582177598 37.16180835212409 52.630789467763066 20.0 19.235384061671343 42.04759208325728 55.71355310873648 28.635642126552707 53.85164807134504 59.481089431852205 17.72004514666935 51.78802950489621 61.554853586049575 67.7421582177598 0.0

rob_x  35 99 62 26 84 67 27 77 58 41 27 99 34 34
rob_y  2 52 24 47 11 19 51 19 27 1 44 53 3 2
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.0754217002569991 0.07568948581423451 0.07105297747517648 0.020030815511046997 0.06348399670685075 0.07947228975673111 0.046567024030267495 0.09427611345746 0.09137955338349824 0.03365170153950013 0.032202384412543285 0.07115939201336023 0.04402901596222018 0.02832196009579108

tsk_x  18 0 21 36 51 85 5 47 86 50 84 75 91 33
tsk_y  89 14 71 36 93 35 61 3 82 60 46 100 90 55
tsk_rat  0.030816515869245498 0.07992934863538484 0.0984427560889774 0.07668325312988196 0.07241009914919784 0.10425829894746329 0.09485768275691873 0.03448699579041255 0.07382014400777762 0.10070376490043827 0.09787517746136394 0.0988085629776039 0.11457678531598475 0.07549430176840898
