time 2020-01-07 17:28:02
14_14_RANDOMCLUSTERED_CENTRAL_LVLCV_MSVFLV_SVSCV_thre0.1
robNum  14
taskNum  14
comp_threhold  0.1
rob2tskDis  58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 34.17601498127012 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 26.076809620810597 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 43.86342439892262 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 50.47771785649585 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 34.92849839314596 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 32.2490309931942 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 31.906112267087632 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 34.785054261852174 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 49.64876634922564 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 45.12205669071391 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 15.132745950421556 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 19.235384061671343 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089 10.04987562112089
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  99 18 36 68 8 64 78 77 83 97 94 65 67 60
rob_y  18 38 72 10 22 18 34 33 39 66 60 48 41 49
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.5517259421236147 0.7381871297536715 0.19910063268122327 1.1247688669112994 0.8346087450884858 0.5906763379093694 1.509882818642481 0.764089061946784 1.0302322413233846 0.7737304829246611 1.9920403992281241 0.2082191427867797 0.5898211715303882 1.5599785711100647

tsk_x  50 50 50 50 50 50 50 50 50 50 50 50 50 50
tsk_y  50 50 50 50 50 50 50 50 50 50 50 50 50 50
tsk_rat  0.09893824370926735 0.12230495283561002 0.0990527935576281 0.1994789297373195 0.1711897237679742 0.12776766573287887 0.13210713418287004 0.05181804991982501 0.031784957567926056 0.14574259720203406 0.19627282883018154 0.04744618940864789 0.5067068012405325 1.589757352680978
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  10.150134274728215 12.528354956896829 14.593134064567883 24.451271262388577 19.984808566666068 15.221289017635636 19.025681822991636 7.658747297218134 3.807986460962508 20.595720776592742 21.280893419596737 6.804834485977836 60.4363653494444 228.08614081216388
