time 2020-01-07 17:28:02
14_14_RANDOM_CLUSTERED_MSVFLV_SVLCV_QUADRANT_thre0.1
robNum  14
taskNum  14
comp_threhold  0.1
rob2tskDis  84.8999411071645 28.284271247461902 49.64876634922564 61.05735008989499 39.66106403010388 92.13034245024816 61.40032573203501 33.24154027718932 37.73592452822641 87.78382538941898 59.93329625508679 66.75327707311455 49.47726750741192 54.08326913195984 35.90264614203248 37.48332962798263 9.899494936611665 36.40054944640259 21.02379604162864 33.83784863137726 37.8021163428716 34.20526275297414 22.20360331117452 37.64306044943742 41.773197148410844 17.69180601295413 12.529964086141668 5.830951894845301 24.08318915758459 47.53945729601885 24.020824298928627 18.439088914585774 22.20360331117452 36.05551275463989 19.849433241279208 45.880278987817846 24.413111231467404 26.870057685088806 24.413111231467404 36.05551275463989 28.071337695236398 22.561028345356956 44.598206241955516 52.92447448959697 30.0 57.62811813689564 44.40720662234904 26.476404589747453 59.033888572581766 48.33218389437829 45.17742799230607 44.64302857109943 63.60031446463138 12.529964086141668 29.274562336608895 26.076809620810597 24.08318915758459 60.8276253029822 41.0 7.211102550927978 34.36568055487916 46.17358552246078 7.615773105863909 60.207972893961475 36.49657518178932 27.16615541441225 12.165525060596439 53.85164807134504 45.12205669071391 40.162171256046406 62.07253821135398 31.0 23.323807579381203 62.16912416947821 36.76955262170047 51.42956348249516 63.50590523722971 26.0 36.124783736376884 63.28506932918696 66.73080248281148 15.652475842498529 19.4164878389476 23.40939982143925 83.95236744726142 25.612496949731394 40.11234224026316 76.94153624668537 47.29693436154187 76.15773105863909 78.08969202141856 22.825424421026653 45.60701700396552 85.61541917201598 80.049984384758 40.496913462633174 36.22154055254967 42.579337712087536 24.596747752497688 52.392747589718944 31.78049716414141 9.433981132056603 25.96150997149434 42.2965719651132 10.816653826391969 51.478150704935004 28.160255680657446 27.730849247724095 15.652475842498529 45.221676218380054 35.90264614203248 31.016124838541646 36.6742416417845 55.036351623268054 40.8166632639171 6.082762530298219 29.832867780352597 56.71860364994893 5.385164807134504 55.44366510251645 31.575306807693888 39.81205847478876 3.0 57.28001396647874 44.77722635447622 41.400483088968905 77.07788269017254 64.6297145282261 53.53503525729669 88.45903006477066 68.60029154456998 55.90169943749474 89.87213138676528 59.682493245507096 68.47627326307996 76.89603370785778 94.04786015641186 34.713109915419565 50.60632371551998 51.40038910358559 100.34440691936945 29.68164415931166 57.0087712549569 83.43260753446461 55.154328932550705 99.70456358662827 84.17244204607586 32.64965543462902 52.92447448959697 102.7277956543408 84.17244204607586 66.61080993352356 54.56189146281496 61.07372593840988 80.75270893288967 29.206163733020468 38.2099463490856 76.40026177965623 47.53945729601885 71.11258679024411 77.62087348130012 25.45584412271571 46.09772228646444 82.20097323024831 80.00624975587844 35.34119409414458 34.132096331752024 40.0 59.23681287847955 13.892443989449804 14.7648230602334 49.64876634922564 20.248456731316587 57.3149195236284 50.80354318352215 9.899494936611665 18.788294228055936 61.326992425847855 52.88667128870941 26.92582403567252 12.041594578792296 18.601075237738275 60.530983801686226 26.076809620810597 19.313207915827967 58.309518948453004 31.89043743820395 52.15361924162119 59.61543424315552 21.095023109728988 31.11269837220809 61.98386886924694 62.609903369994115 16.97056274847714 15.231546211727817 20.223748416156685
tskDis  0.0 70.71067811865476 44.598206241955516 30.59411708155671 46.22769732530488 25.612496949731394 31.400636936215164 68.4470598345904 48.41487374764082 3.1622776601683795 36.22154055254967 48.16637831516918 48.08326112068523 41.48493702538308 70.71067811865476 0.0 27.586228448267445 56.142675390472796 26.476404589747453 70.9365914038728 57.07889277132134 5.0 24.331050121192877 73.06161783043132 58.034472514187634 40.496913462633174 25.612496949731394 31.827660925679098 44.598206241955516 27.586228448267445 0.0 39.0 15.231546211727817 43.60045871318328 40.311288741492746 24.413111231467404 15.524174696260024 46.61544808322666 43.41658669218482 19.924858845171276 4.123105625617661 4.47213595499958 30.59411708155671 56.142675390472796 39.0 0.0 30.01666203960727 50.99019513592785 1.4142135623730951 56.00892785976178 32.0 33.734255586866 6.324555320336759 54.037024344425184 43.08131845707603 38.948684188300895 46.22769732530488 26.476404589747453 15.231546211727817 30.01666203960727 0.0 52.92447448959697 31.064449134018133 26.0 2.23606797749979 48.91829923454004 32.7566787083184 35.11409973215888 18.027756377319946 18.439088914585774 25.612496949731394 70.9365914038728 43.60045871318328 50.99019513592785 52.92447448959697 0.0 52.172789842982326 67.20863039818622 54.62600113499065 24.041630560342615 57.271284253105414 35.77708763999664 45.34313619501854 39.20459156782532 31.400636936215164 57.07889277132134 40.311288741492746 1.4142135623730951 31.064449134018133 52.172789842982326 0.0 57.0350769263968 33.015148038438355 34.52535300326414 5.0990195135927845 55.44366510251645 44.384682042344295 40.311288741492746 68.4470598345904 5.0 24.413111231467404 56.00892785976178 26.0 67.20863039818622 57.0350769263968 0.0 24.020824298928627 70.66116330771806 58.42088667591412 35.84689665786984 21.93171219946131 28.42534080710379 48.41487374764082 24.331050121192877 15.524174696260024 32.0 2.23606797749979 54.62600113499065 33.015148038438355 24.020824298928627 0.0 51.088159097779204 34.52535300326414 35.4400902933387 17.88854381999832 19.1049731745428 3.1622776601683795 73.06161783043132 46.61544808322666 33.734255586866 48.91829923454004 24.041630560342615 34.52535300326414 70.66116330771806 51.088159097779204 0.0 39.319206502675 49.01020301937138 49.9799959983992 43.32435804486894 36.22154055254967 58.034472514187634 43.41658669218482 6.324555320336759 32.7566787083184 57.271284253105414 5.0990195135927845 58.42088667591412 34.52535300326414 39.319206502675 0.0 59.464274989274024 47.41307836451879 43.829214001622255 48.16637831516918 40.496913462633174 19.924858845171276 54.037024344425184 35.11409973215888 35.77708763999664 55.44366510251645 35.84689665786984 35.4400902933387 49.01020301937138 59.464274989274024 0.0 18.110770276274835 17.0 48.08326112068523 25.612496949731394 4.123105625617661 43.08131845707603 18.027756377319946 45.34313619501854 44.384682042344295 21.93171219946131 17.88854381999832 49.9799959983992 47.41307836451879 18.110770276274835 0.0 6.708203932499369 41.48493702538308 31.827660925679098 4.47213595499958 38.948684188300895 18.439088914585774 39.20459156782532 40.311288741492746 28.42534080710379 19.1049731745428 43.32435804486894 43.829214001622255 17.0 6.708203932499369 0.0

rob_x  68 45 28 52 12 72 92 21 17 81 97 90 65 70
rob_y  96 42 50 19 58 37 52 56 70 4 84 45 56 42
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.11238056602452645 0.11221316318384603 0.08404478134832155 0.18792417505270526 0.17807329573381137 0.16764629404147074 0.07381762280946408 0.12453264686692594 0.17419008687730703 0.09041332495506067 0.12539410175883578 0.5458286571131511 1.8937498744405847 1.230574746763993

tsk_x  10 72 52 16 46 26 15 72 48 9 14 58 56 50
tsk_y  34 68 49 64 63 14 65 63 64 31 70 30 48 45
tsk_rat  0.03858950106669759 0.14613523729755568 0.13220784879300507 0.0786797041943403 0.057028809389436996 0.15350125185834104 0.1191561120520846 0.12811609257583847 0.07197026457355511 0.020636977400554084 0.1843570925980416 0.1578967363997703 0.09805600355686717 0.07561127899487328
