time 2020-01-07 17:28:02
17_17_ECCENTRIC_RANDOM_LVLCV_SVLCV_SVLCV_thre0.1
robNum  17
taskNum  17
comp_threhold  0.1
rob2tskDis  88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606 88.0056816347672 85.09406559801923 75.16648189186454 36.89173349139343 56.00892785976178 107.01868995647442 137.90213921473443 40.311288741492746 72.56721022610694 88.23831367382311 124.84390253432484 90.4267659490264 29.068883707497267 119.85407794480753 92.9623579735368 14.142135623730951 77.92945527847606
tskDis  0.0 118.79393923933998 77.80102827083971 74.32361670424818 32.0 106.92988356862641 95.63472172804185 66.2117814289874 22.02271554554524 57.245087125446844 94.26027795418386 57.56735185849702 59.00847396772772 90.55385138137417 87.20665112249179 78.5175139698144 15.556349186104045 118.79393923933998 0.0 43.04648650006177 56.32051136131489 98.79271228182775 41.10960958218893 95.63472172804185 60.92618484691127 96.89685237405806 71.58910531638176 77.64663547121665 73.00684899377592 86.68333173107735 74.24284477308234 45.39823785126467 75.23961722390672 103.23759005323593 77.80102827083971 43.04648650006177 0.0 38.27531841800928 63.788713735268246 35.05709628591621 66.73080248281148 36.40054944640259 56.60388679233962 29.120439557122072 51.22499389946279 30.805843601498726 62.16912416947821 46.400431032480725 17.88854381999832 61.40032573203501 62.42595614005443 74.32361670424818 56.32051136131489 38.27531841800928 0.0 46.861498055439924 70.83784299369935 102.30347012687302 8.246211251235321 53.45091205957107 54.56189146281496 88.41379982785493 56.79788728465171 30.364452901377952 83.45058418010026 56.08029957123981 23.259406699226016 60.08327554319921 32.0 98.79271228182775 63.788713735268246 46.861498055439924 0.0 97.86725703727473 104.27847332982968 39.59797974644666 20.518284528683193 55.54277630799526 97.26767191621273 57.0087712549569 27.018512172212592 92.64987857520376 78.31347265956222 46.87216658103186 23.706539182259394 106.92988356862641 41.10960958218893 35.05709628591621 70.83784299369935 97.86725703727473 0.0 56.0357029044876 70.61161377563892 87.5956619930462 50.24937810560445 38.118237105091836 50.47771785649585 97.01546268507923 35.6931365951495 19.924858845171276 93.98404119849285 92.47702417357513 95.63472172804185 95.63472172804185 66.73080248281148 102.30347012687302 104.27847332982968 56.0357029044876 0.0 97.62171889492625 85.70297544426332 50.80354318352215 18.027756377319946 48.82622246293481 117.2006825918689 21.587033144922902 52.81098370604357 123.76186811776881 86.83317338436964 66.2117814289874 60.92618484691127 36.40054944640259 8.246211251235321 39.59797974644666 70.61161377563892 97.62171889492625 0.0 45.221676218380054 48.54894437575342 84.64632301523794 50.774009099144415 27.018512172212592 79.64923100695951 54.230987451824994 26.1725046566048 51.86520991955976 22.02271554554524 96.89685237405806 56.60388679233962 53.45091205957107 20.518284528683193 87.5956619930462 85.70297544426332 45.221676218380054 0.0 40.049968789001575 80.62257748298549 41.0 43.965895873961216 76.32168761236873 67.67569726275453 61.204574992397426 6.708203932499369 57.245087125446844 71.58910531638176 29.120439557122072 54.56189146281496 55.54277630799526 50.24937810560445 50.80354318352215 48.54894437575342 40.049968789001575 0.0 41.7612260356422 2.23606797749979 66.40030120413611 37.107950630558946 31.240998703626616 74.2024258363566 43.73785545725808 94.26027795418386 77.64663547121665 51.22499389946279 88.41379982785493 97.26767191621273 38.118237105091836 18.027756377319946 84.64632301523794 80.62257748298549 41.7612260356422 0.0 40.26164427839479 106.55045753069294 5.0 35.77708763999664 110.75197515168747 83.09632964216891 57.56735185849702 73.00684899377592 30.805843601498726 56.79788728465171 57.0087712549569 50.47771785649585 48.82622246293481 50.774009099144415 41.0 2.23606797749979 40.26164427839479 0.0 68.41052550594829 35.6931365951495 31.827660925679098 76.40026177965623 44.40720662234904 59.00847396772772 86.68333173107735 62.16912416947821 30.364452901377952 27.018512172212592 97.01546268507923 117.2006825918689 27.018512172212592 43.965895873961216 66.40030120413611 106.55045753069294 68.41052550594829 0.0 101.59724405711013 79.55501241279521 20.615528128088304 49.03060268852505 90.55385138137417 74.24284477308234 46.400431032480725 83.45058418010026 92.64987857520376 35.6931365951495 21.587033144922902 79.64923100695951 76.32168761236873 37.107950630558946 5.0 35.6931365951495 101.59724405711013 0.0 31.38470965295043 105.75916035975324 79.00632886041473 87.20665112249179 45.39823785126467 17.88854381999832 56.08029957123981 78.31347265956222 19.924858845171276 52.81098370604357 54.230987451824994 67.67569726275453 31.240998703626616 35.77708763999664 31.827660925679098 79.55501241279521 31.38470965295043 0.0 79.25906888173743 72.61542535852834 78.5175139698144 75.23961722390672 61.40032573203501 23.259406699226016 46.87216658103186 93.98404119849285 123.76186811776881 26.1725046566048 61.204574992397426 74.2024258363566 110.75197515168747 76.40026177965623 20.615528128088304 105.75916035975324 79.25906888173743 0.0 67.02984409947557 15.556349186104045 103.23759005323593 62.42595614005443 60.08327554319921 23.706539182259394 92.47702417357513 86.83317338436964 51.86520991955976 6.708203932499369 43.73785545725808 83.09632964216891 44.40720662234904 49.03060268852505 79.00632886041473 72.61542535852834 67.02984409947557 0.0

rob_x  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
rob_y  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.087255115236193 1.193475016595071 0.603169221007445 0.6850826537080055 0.3211965229265959 1.6155300905708498 0.09170400816187792 0.6552339577693783 1.9799864592814385 0.2709301486796116 1.4061395716288727 1.2735602860564306 0.7282235895678273 1.2567164103581472 0.3437734356244752 1.664408206598021 1.693934403926435

