time 2020-01-07 17:28:02
17_17_RANDOMCLUSTERED_ECCENTRIC_LVLCV_QUADRANT_UNITARY_thre0.1
robNum  17
taskNum  17
comp_threhold  0.1
rob2tskDis  37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 37.44329045369811 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 104.75208828467335 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 96.76776322722355 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 90.70832376358854 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 104.5609869884557 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 69.8927750200262 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 47.70744176750625 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 88.23264701911646 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 51.86520991955976 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 83.2946576918352 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 91.2633551870629 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 50.15974481593781 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 102.35721762533407 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 69.12307863514182 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 60.63827174318213 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057 72.83543093852057
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  31 98 92 22 87 66 40 51 43 7 12 75 4 26 17 59 11
rob_y  21 37 30 88 58 23 26 72 29 83 9 52 50 99 67 14 72
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.9802469520550419 0.45106204513392084 1.0354984744622646 1.4276390704461177 0.7445928046142334 0.4359762413511633 1.4224885843876414 1.4230802512298666 1.500205029918432 1.9903575015171726 0.7180117723549587 1.1919156949318623 1.1795106614045818 0.8388328990450918 0.9120167412357014 0.882598317286775 0.7990351182257395

