time 2020-01-07 17:28:03
17_23_CENTRAL_CLUSTERED_SVLCV_QUADRANT_LVLCV_thre0.1
robNum  17
taskNum  23
comp_threhold  0.1
rob2tskDis  24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585 24.20743687382041 57.4543296888929 46.87216658103186 36.87817782917155 41.773197148410844 42.01190307520001 28.231188426986208 42.579337712087536 31.064449134018133 33.734255586866 37.16180835212409 34.48187929913333 28.231188426986208 40.44749683231337 55.226805085936306 24.08318915758459 24.041630560342615 27.018512172212592 21.93171219946131 43.41658669218482 44.77722635447622 38.118237105091836 48.05205510693585
tskDis  0.0 80.60397012554654 67.11929677819934 28.600699292150182 23.08679276123039 28.0178514522438 8.06225774829855 24.351591323771842 11.180339887498949 16.1245154965971 15.0 28.653097563788805 8.06225774829855 29.698484809834994 78.40918313565064 1.4142135623730951 2.8284271247461903 2.8284271247461903 6.082762530298219 64.41273166075166 67.11929677819934 57.38466694161429 68.4470598345904 80.60397012554654 0.0 21.213203435596427 77.69813382572325 91.0494371207203 86.53323061113575 82.07313811473277 91.21403400793103 88.50988645343524 84.29116205154607 90.50966799187809 74.09453421137081 82.07313811473277 82.15229759416349 2.23606797749979 80.80222769206304 81.02468759581859 83.40863264674707 76.57675887630658 20.248456731316587 14.422205101855956 29.154759474226502 20.09975124224178 67.11929677819934 21.213203435596427 0.0 58.89821729050889 73.59347797189639 68.01470429252781 66.88796603276258 73.55270219373317 76.55063683601855 67.62396025078685 74.63243262818116 55.31726674375732 66.88796603276258 63.25345840347388 20.024984394500787 67.62396025078685 68.15423684555495 69.77822009767804 62.177166226839255 4.47213595499958 10.295630140987 10.0 1.4142135623730951 28.600699292150182 77.69813382572325 58.89821729050889 0.0 16.76305461424021 9.219544457292887 21.470910553583888 16.15549442140351 38.948684188300895 15.297058540778355 23.08679276123039 3.605551275463989 21.470910553583888 4.47213595499958 75.8023746329889 30.0 31.400636936215164 29.154759474226502 23.345235059857504 58.008620049092706 63.28506932918696 49.20365840057018 60.30754513325841 23.08679276123039 91.0494371207203 73.59347797189639 16.76305461424021 0.0 9.055385138137417 15.297058540778355 1.4142135623730951 30.0 8.06225774829855 9.899494936611665 19.697715603592208 15.297058540778355 14.035668847618199 89.02246907382428 24.351591323771842 25.632011235952593 21.93171219946131 21.02379604162864 72.13875518748573 76.69419795525604 63.655321851358195 75.0066663703967 28.0178514522438 86.53323061113575 68.01470429252781 9.219544457292887 9.055385138137417 0.0 20.0 8.0 36.796738985948195 12.041594578792296 17.88854381999832 12.727922061357855 20.0 5.385164807134504 84.59905436823747 29.410882339705484 30.805843601498726 27.65863337187866 24.166091947189145 67.00746227100382 72.11102550927978 58.25804665451803 69.42621983083913 8.06225774829855 82.07313811473277 66.88796603276258 21.470910553583888 15.297058540778355 20.0 0.0 16.492422502470642 17.4928556845359 8.06225774829855 8.94427190999916 22.135943621178654 0.0 22.02271554554524 79.93122043357026 9.433981132056603 10.816653826391969 7.810249675906654 6.324555320336759 64.63745044476924 68.11754546370561 56.938563381947034 68.26419266350405 24.351591323771842 91.21403400793103 73.55270219373317 16.15549442140351 1.4142135623730951 8.0 16.492422502470642 0.0 31.400636936215164 9.0 11.313708498984761 19.235384061671343 16.492422502470642 13.152946437965905 89.20201791439474 25.632011235952593 26.92582403567252 23.259406699226016 22.090722034374522 72.18032973047436 76.83749084919418 63.63961030678928 74.96665925596525 11.180339887498949 88.50988645343524 76.55063683601855 38.948684188300895 30.0 36.796738985948195 17.4928556845359 31.400636936215164 0.0 24.839484696748443 20.248456731316587 39.395431207184416 17.4928556845359 39.408120990476064 86.28441342444185 10.04987562112089 9.0 9.848857801796104 17.26267650163207 73.53910524340094 75.59100475585703 67.05221845696084 77.83315488916018 16.1245154965971 84.29116205154607 67.62396025078685 15.297058540778355 8.06225774829855 12.041594578792296 8.06225774829855 9.0 24.839484696748443 0.0 8.06225774829855 17.0 8.06225774829855 14.7648230602334 82.21921916437786 17.4928556845359 18.867962264113206 15.620499351813308 13.152946437965905 65.85590330410783 70.03570517957252 57.62811813689564 69.02897942168927 15.0 90.50966799187809 74.63243262818116 23.08679276123039 9.899494936611665 17.88854381999832 8.94427190999916 11.313708498984761 20.248456731316587 8.06225774829855 0.0 25.019992006393608 8.94427190999916 21.840329667841555 88.3911760301898 16.0312195418814 17.11724276862369 13.152946437965905 15.231546211727817 72.62231062146122 76.4198926981712 64.63745044476924 76.02631123499285 28.653097563788805 74.09453421137081 55.31726674375732 3.605551275463989 19.697715603592208 12.727922061357855 22.135943621178654 19.235384061671343 39.395431207184416 17.0 25.019992006393608 0.0 22.135943621178654 8.06225774829855 72.20110802473879 30.01666203960727 31.38470965295043 29.546573405388315 23.021728866442675 54.405882034941776 59.682493245507096 45.60701700396552 56.72741841473134 8.06225774829855 82.07313811473277 66.88796603276258 21.470910553583888 15.297058540778355 20.0 0.0 16.492422502470642 17.4928556845359 8.06225774829855 8.94427190999916 22.135943621178654 0.0 22.02271554554524 79.93122043357026 9.433981132056603 10.816653826391969 7.810249675906654 6.324555320336759 64.63745044476924 68.11754546370561 56.938563381947034 68.26419266350405 29.698484809834994 82.15229759416349 63.25345840347388 4.47213595499958 14.035668847618199 5.385164807134504 22.02271554554524 13.152946437965905 39.408120990476064 14.7648230602334 21.840329667841555 8.06225774829855 22.02271554554524 0.0 80.26207074328447 31.11269837220809 32.526911934581186 29.832867780352597 25.0 62.42595614005443 67.7421582177598 53.600373133029585 64.66065264130884 78.40918313565064 2.23606797749979 20.024984394500787 75.8023746329889 89.02246907382428 84.59905436823747 79.93122043357026 89.20201791439474 86.28441342444185 82.21921916437786 88.3911760301898 72.20110802473879 79.93122043357026 80.26207074328447 0.0 78.60025445251433 78.81624198095213 81.21576201698781 74.41102068914255 18.681541692269406 12.529964086141668 27.51363298439521 19.0 1.4142135623730951 80.80222769206304 67.62396025078685 30.0 24.351591323771842 29.410882339705484 9.433981132056603 25.632011235952593 10.04987562112089 17.4928556845359 16.0312195418814 30.01666203960727 9.433981132056603 31.11269837220809 78.60025445251433 0.0 1.4142135623730951 3.1622776601683795 7.280109889280518 64.8459713474939 67.4166151627327 57.9396237474839 68.94200461257273 2.8284271247461903 81.02468759581859 68.15423684555495 31.400636936215164 25.632011235952593 30.805843601498726 10.816653826391969 26.92582403567252 9.0 18.867962264113206 17.11724276862369 31.38470965295043 10.816653826391969 32.526911934581186 78.81624198095213 1.4142135623730951 0.0 4.0 8.54400374531753 65.30696746902278 67.7421582177598 58.52349955359813 69.46221994724903 2.8284271247461903 83.40863264674707 69.77822009767804 29.154759474226502 21.93171219946131 27.65863337187866 7.810249675906654 23.259406699226016 9.848857801796104 15.620499351813308 13.152946437965905 29.546573405388315 7.810249675906654 29.832867780352597 81.21576201698781 3.1622776601683795 4.0 0.0 8.06225774829855 67.11929677819934 69.8927750200262 60.00833275470999 71.11258679024411 6.082762530298219 76.57675887630658 62.177166226839255 23.345235059857504 21.02379604162864 24.166091947189145 6.324555320336759 22.090722034374522 17.26267650163207 13.152946437965905 15.231546211727817 23.021728866442675 6.324555320336759 25.0 74.41102068914255 7.280109889280518 8.54400374531753 8.06225774829855 0.0 59.682493245507096 62.80127387243033 52.32590180780452 63.52952069707436 64.41273166075166 20.248456731316587 4.47213595499958 58.008620049092706 72.13875518748573 67.00746227100382 64.63745044476924 72.18032973047436 73.53910524340094 65.85590330410783 72.62231062146122 54.405882034941776 64.63745044476924 62.42595614005443 18.681541692269406 64.8459713474939 65.30696746902278 67.11929677819934 59.682493245507096 0.0 7.0710678118654755 8.94427190999916 5.0990195135927845 67.11929677819934 14.422205101855956 10.295630140987 63.28506932918696 76.69419795525604 72.11102550927978 68.11754546370561 76.83749084919418 75.59100475585703 70.03570517957252 76.4198926981712 59.682493245507096 68.11754546370561 67.7421582177598 12.529964086141668 67.4166151627327 67.7421582177598 69.8927750200262 62.80127387243033 7.0710678118654755 0.0 15.297058540778355 10.0 57.38466694161429 29.154759474226502 10.0 49.20365840057018 63.655321851358195 58.25804665451803 56.938563381947034 63.63961030678928 67.05221845696084 57.62811813689564 64.63745044476924 45.60701700396552 56.938563381947034 53.600373133029585 27.51363298439521 57.9396237474839 58.52349955359813 60.00833275470999 52.32590180780452 8.94427190999916 15.297058540778355 0.0 11.40175425099138 68.4470598345904 20.09975124224178 1.4142135623730951 60.30754513325841 75.0066663703967 69.42621983083913 68.26419266350405 74.96665925596525 77.83315488916018 69.02897942168927 76.02631123499285 56.72741841473134 68.26419266350405 64.66065264130884 19.0 68.94200461257273 69.46221994724903 71.11258679024411 63.52952069707436 5.0990195135927845 10.0 11.40175425099138 0.0

rob_x  50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
rob_y  50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.12319996982639504 0.02416074693420834 0.15334485010114746 0.106038563346856 0.14773542379762528 0.18265268243390298 0.06508014633136662 0.1885701610932423 0.18203242061524025 0.028713471576024937 0.13677681098418043 0.09297809692377236 0.04528255610685267 0.11184193248594027 0.1914709815305843 0.08446769866972519 0.11360367608054867

tsk_x  65 1 4 42 58 49 61 57 76 57 65 40 61 44 3 66 67 67 59 8 9 12 3
tsk_y  69 20 41 86 91 92 76 92 67 83 84 83 76 90 21 68 67 71 70 39 32 47 40
tsk_rat  0.2140234199009693 0.21053590471874398 0.20830592584773705 0.15384636397167412 0.20556624216363795 0.14121323882224654 0.20970991412373513 0.2086452148922 0.21057162497335585 0.17602704641077332 0.21128809872392937 0.17614054970554263 0.1983853748022559 0.21933657907391257 0.19536836335467148 0.22093778963552646 0.21059368574295975 0.1705038545094485 0.14398453221950902 0.1607004862743316 0.15911665168224465 0.05742153154479229 0.10156206920170806
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  55.18257374930123 46.372565632271666 53.084833959181154 41.988539394227175 49.362074034833334 35.2329680376446 38.628463538611946 40.3321853888954 52.89053261687043 36.02202458953521 35.111705044508774 43.03911748381805 30.305251885764967 47.13761375016531 36.5862666497422 39.275037273378146 36.72105213326957 50.66597294746691 37.105667479113876 24.80951514701516 31.900845199313917 9.083140122287249 29.09001799499381
