time 2020-01-07 17:28:03
17_23_CENTRAL_RANDOM_LVSCV_LVLCV_LVSCV_thre0.1
robNum  17
taskNum  23
comp_threhold  0.1
rob2tskDis  50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214 50.60632371551998 27.459060435491963 46.09772228646444 52.0 46.32493928760188 23.345235059857504 40.44749683231337 19.209372712298546 51.07837115648854 58.69412236331676 53.53503525729669 36.40054944640259 54.037024344425184 28.653097563788805 51.22499389946279 35.34119409414458 54.20332093147061 31.144823004794873 45.803929962395145 50.99019513592785 58.60034129593445 36.40054944640259 47.634021455258214
tskDis  0.0 77.07788269017254 79.1580697086532 102.41581909060729 96.89685237405806 49.09175083453431 31.25699921617557 33.52610922848042 75.8946638440411 108.23123393919151 71.58910531638176 80.72174428244226 104.29285689825551 69.87131027825369 57.14017850864661 63.953107821277925 101.11874208078342 41.43669871020132 94.26027795418386 92.41753080449618 60.07495318350236 80.4114419718985 97.9081201943945 77.07788269017254 0.0 35.90264614203248 25.80697580112788 23.323807579381203 45.35416188179427 67.00746227100382 43.829214001622255 63.0317380372777 39.56008088970496 68.81860213634101 34.48187929913333 32.64965543462902 19.1049731745428 72.2357252334328 49.92995093127971 42.0 46.861498055439924 32.0 48.104053883222775 79.84985911070852 17.0 26.92582403567252 79.1580697086532 35.90264614203248 0.0 51.66236541235796 55.14526271584895 69.42621983083913 83.19254774317228 49.33558553417604 94.62557793746889 72.24956747275377 98.59513172565875 69.6419413859206 64.38167441127949 18.867962264113206 97.30878685915265 79.64923100695951 77.41446893184762 38.01315561749642 67.47592163134935 83.81527307120105 104.63746938836012 20.0 60.03332407921454 102.41581909060729 25.80697580112788 51.66236541235796 0.0 10.295630140987 65.12296062065974 89.10667763978185 69.46221994724903 73.16419889536138 23.08679276123039 80.95677859203639 40.85339643163099 15.231546211727817 41.048751503547585 88.81441324469807 64.13267497929586 34.20526275297414 72.12489168102785 27.018512172212592 48.41487374764082 96.17692030835673 32.69556544854363 14.866068747318506 96.89685237405806 23.323807579381203 55.14526271584895 10.295630140987 0.0 56.71860364994893 81.25269226308751 64.81512169239521 62.96824596572466 17.11724276862369 70.8801805866774 30.675723300355934 9.486832980505138 41.43669871020132 79.30952023559341 54.45181356024793 25.059928172283335 70.0 16.97056274847714 38.28837943815329 86.57944328765345 35.22782990761707 5.385164807134504 49.09175083453431 45.35416188179427 69.42621983083913 65.12296062065974 56.71860364994893 0.0 25.079872407968907 31.400636936215164 31.144823004794873 63.56099432828282 31.38470965295043 33.015148038438355 61.68468205316454 51.61395160225576 28.0178514522438 16.1245154965971 53.823786563191554 49.040799340956916 48.75448697299562 43.41658669218482 35.510561809129406 58.137767414994535 55.78530272392541 31.25699921617557 67.00746227100382 83.19254774317228 89.10667763978185 81.25269226308751 25.079872407968907 0.0 35.0 45.617978911828175 88.63972021616495 40.52159917870962 57.8013840664737 86.64871608973787 68.00735254367721 26.0 36.069377593742864 78.54934754662193 52.32590180780452 73.824115301167 66.60330322138685 29.832867780352597 76.68767828015137 80.65358020571685 33.52610922848042 43.829214001622255 49.33558553417604 69.46221994724903 64.81512169239521 31.400636936215164 35.0 0.0 62.51399843235114 77.83315488916018 62.36184731067546 54.62600113499065 72.91776189653656 37.013511046643494 54.70831746635972 47.095647357266465 73.24616030891995 18.35755975068582 65.0 68.62215385719105 61.032778078668514 47.265209192385896 66.52818951391959 75.8946638440411 63.0317380372777 94.62557793746889 73.16419889536138 62.96824596572466 31.144823004794873 45.617978911828175 62.51399843235114 0.0 61.204574992397426 9.219544457292887 32.31098884280702 63.34824385884742 75.8023746329889 25.0 15.811388300841896 47.0 79.83107164506812 48.05205510693585 30.14962686336267 29.546573405388315 79.20858539325141 59.481089431852205 108.23123393919151 39.56008088970496 72.24956747275377 23.08679276123039 17.11724276862369 63.56099432828282 88.63972021616495 77.83315488916018 61.204574992397426 0.0 70.06425622241343 31.78049716414141 8.06225774829855 58.240879114244144 81.61494961096282 56.88585061331157 14.866068747318506 85.23496934944014 14.866068747318506 32.01562118716424 88.2779700718135 52.3450093132096 12.649110640673518 71.58910531638176 68.81860213634101 98.59513172565875 80.95677859203639 70.8801805866774 31.38470965295043 40.52159917870962 62.36184731067546 9.219544457292887 70.06425622241343 0.0 40.26164427839479 71.84705978674423 79.98124780221924 17.029386365926403 19.1049731745428 56.0357029044876 80.32434251209281 56.568542494923804 39.319206502675 20.591260281974 84.38601779915912 67.68308503607086 80.72174428244226 34.48187929913333 69.6419413859206 40.85339643163099 30.675723300355934 33.015148038438355 57.8013840664737 54.62600113499065 32.31098884280702 31.78049716414141 40.26164427839479 0.0 32.01562118716424 51.24451190127583 50.08991914547278 25.179356624028344 20.808652046684813 67.26812023536856 17.11724276862369 15.0 57.0 51.478150704935004 27.459060435491963 104.29285689825551 32.64965543462902 64.38167441127949 15.231546211727817 9.486832980505138 61.68468205316454 86.64871608973787 72.91776189653656 63.34824385884742 8.06225774829855 71.84705978674423 32.01562118716424 0.0 50.92150822589606 82.02438661763951 57.0350769263968 19.849433241279208 79.05694150420949 15.297058540778355 35.77708763999664 89.00561780022652 44.553338819890925 6.4031242374328485 69.87131027825369 19.1049731745428 18.867962264113206 41.048751503547585 41.43669871020132 51.61395160225576 68.00735254367721 37.013511046643494 75.8023746329889 58.240879114244144 79.98124780221924 51.24451190127583 50.92150822589606 0.0 79.63039620647382 60.959002616512684 61.032778078668514 32.7566787083184 51.03920062069938 65.73431371817918 87.09190547921202 10.770329614269007 45.60701700396552 57.14017850864661 72.2357252334328 97.30878685915265 88.81441324469807 79.30952023559341 28.0178514522438 26.0 54.70831746635972 25.0 81.61494961096282 17.029386365926403 50.08991914547278 82.02438661763951 79.63039620647382 0.0 25.0 68.65857557508748 73.06161783043132 67.1863081289633 53.14132102234569 7.615773105863909 85.95929269136641 77.02596964660685 63.953107821277925 49.92995093127971 79.64923100695951 64.13267497929586 54.45181356024793 16.1245154965971 36.069377593742864 47.095647357266465 15.811388300841896 56.88585061331157 19.1049731745428 25.179356624028344 57.0350769263968 60.959002616512684 25.0 0.0 44.598206241955516 64.13267497929586 42.2965719651132 30.805843601498726 32.14031735997639 65.29931086925804 52.03844732503075 101.11874208078342 42.0 77.41446893184762 34.20526275297414 25.059928172283335 53.823786563191554 78.54934754662193 73.24616030891995 47.0 14.866068747318506 56.0357029044876 20.808652046684813 19.849433241279208 61.032778078668514 68.65857557508748 44.598206241955516 0.0 83.57032966310472 10.0 17.26267650163207 74.96665925596525 57.55866572463264 19.72308292331602 41.43669871020132 46.861498055439924 38.01315561749642 72.12489168102785 70.0 49.040799340956916 52.32590180780452 18.35755975068582 79.83107164506812 85.23496934944014 80.32434251209281 67.26812023536856 79.05694150420949 32.7566787083184 73.06161783043132 64.13267497929586 83.57032966310472 0.0 74.32361670424818 82.03657720797473 79.32212806020776 43.41658669218482 72.94518489934754 94.26027795418386 32.0 67.47592163134935 27.018512172212592 16.97056274847714 48.75448697299562 73.824115301167 65.0 48.05205510693585 14.866068747318506 56.568542494923804 17.11724276862369 15.297058540778355 51.03920062069938 67.1863081289633 42.2965719651132 10.0 74.32361670424818 0.0 21.400934559032695 74.02702209328699 47.67598976424087 12.206555615733702 92.41753080449618 48.104053883222775 83.81527307120105 48.41487374764082 38.28837943815329 43.41658669218482 66.60330322138685 68.62215385719105 30.14962686336267 32.01562118716424 39.319206502675 15.0 35.77708763999664 65.73431371817918 53.14132102234569 30.805843601498726 17.26267650163207 82.03657720797473 21.400934559032695 0.0 58.9406481131655 65.0 33.60059523282288 60.07495318350236 79.84985911070852 104.63746938836012 96.17692030835673 86.57944328765345 35.510561809129406 29.832867780352597 61.032778078668514 29.546573405388315 88.2779700718135 20.591260281974 57.0 89.00561780022652 87.09190547921202 7.615773105863909 32.14031735997639 74.96665925596525 79.32212806020776 74.02702209328699 58.9406481131655 0.0 93.53608929178085 84.1486779456457 80.4114419718985 17.0 20.0 32.69556544854363 35.22782990761707 58.137767414994535 76.68767828015137 47.265209192385896 79.20858539325141 52.3450093132096 84.38601779915912 51.478150704935004 44.553338819890925 10.770329614269007 85.95929269136641 65.29931086925804 57.55866572463264 43.41658669218482 47.67598976424087 65.0 93.53608929178085 0.0 40.049968789001575 97.9081201943945 26.92582403567252 60.03332407921454 14.866068747318506 5.385164807134504 55.78530272392541 80.65358020571685 66.52818951391959 59.481089431852205 12.649110640673518 67.68308503607086 27.459060435491963 6.4031242374328485 45.60701700396552 77.02596964660685 52.03844732503075 19.72308292331602 72.94518489934754 12.206555615733702 33.60059523282288 84.1486779456457 40.049968789001575 0.0

rob_x  50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
rob_y  50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.9763919333780577 1.4969371816045127 0.48089036814926034 0.5485260063971966 1.1908650488731725 1.2011507219033675 1.9071693275114432 0.34582476260973166 0.711947174474284 1.349210684046313 0.9961488674179046 0.4998633135299007 0.25421151852780394 1.1605324325248665 1.7440882175845722 0.3007248493682753 1.1401505252458306

tsk_x  25 55 20 70 75 66 56 35 97 92 95 85 84 36 82 82 97 19 87 100 85 40 80
tsk_y  6 77 85 98 89 33 10 38 30 91 21 60 92 75 10 35 77 47 77 60 3 85 87
tsk_rat  0.28347837981835916 0.10014049515825406 1.9022762915459557 0.6265076925428998 1.3208045757085007 0.46141399959392165 0.4256224981384693 1.5966662027244778 0.49521948549525685 1.1207385453964698 0.9138811302627945 0.6663263219322019 1.6746018847963202 1.966772772021244 1.2138875154249615 0.6942692671184164 0.15647101484131826 1.566424577926774 1.8515870510197023 1.943143112835117 0.13910927554403543 1.4881327591392792 0.30891055102962794
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  46.98941194788537 18.891842187397486 357.64424136537355 100.17210142005037 238.696973704766 82.00465770600582 70.45420796376942 313.18238618699996 92.97081104558592 173.1115824821178 139.658760515947 119.9481217388104 278.76922996321673 352.6192277936823 228.545495022832 121.65748151889963 28.603350478142776 307.98357740094053 347.12059694056643 334.3817311010872 25.797277063219525 296.89178637781845 53.95293474275933
