time 2020-01-07 17:28:03
17_23_CENTRAL_RANDOM_LVSCV_LVSCV_QUADRANT_thre0.1
robNum  17
taskNum  23
comp_threhold  0.1
rob2tskDis  36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308 36.24913792078372 18.027756377319946 40.311288741492746 42.579337712087536 43.829214001622255 52.49761899362675 22.67156809750927 57.0087712549569 34.92849839314596 29.732137494637012 43.104524124504614 48.05205510693585 66.60330322138685 42.638011210655684 46.61544808322666 52.32590180780452 7.0710678118654755 48.30113870293329 51.03920062069938 42.04759208325728 18.384776310850235 51.07837115648854 15.620499351813308
tskDis  0.0 26.40075756488817 5.385164807134504 12.041594578792296 77.23341245859851 71.5122367151245 36.71511950137164 60.03332407921454 1.4142135623730951 64.63745044476924 15.620499351813308 80.15609770940699 100.7670581092849 48.373546489791295 82.49242389456137 80.39900496896712 42.941821107167776 84.52810183601665 44.91102314577124 41.10960958218893 20.09975124224178 87.32124598286491 45.27692569068709 26.40075756488817 0.0 31.622776601683793 28.178005607210743 51.61395160225576 68.6804193347711 11.180339887498949 42.95346318982906 25.0 40.311288741492746 27.51363298439521 65.96969000988257 75.21303078589507 28.792360097775937 58.872744118140105 70.26378868236469 22.02271554554524 62.0966987850401 33.97057550292606 50.28916384272063 19.4164878389476 65.5133574166368 33.12099032335839 5.385164807134504 31.622776601683793 0.0 14.7648230602334 82.07313811473277 71.84010022264724 42.05948168962618 65.0 6.708203932499369 69.20260110718382 18.788294228055936 82.60750571225353 105.55093557141026 53.600373133029585 86.82165628459296 82.05485969764375 47.16990566028302 88.58893836140041 49.49747468305833 39.66106403010388 23.08679276123039 91.23595782365635 48.05205510693585 12.041594578792296 28.178005607210743 14.7648230602334 0.0 79.61155694998057 82.85529554590944 36.124783736376884 52.46903848937962 12.206555615733702 68.4470598345904 4.123105625617661 89.05054744357274 103.1746092796091 42.720018726587654 86.92525524840292 90.4267659490264 48.507731342539614 89.81091247727082 36.0 53.150729063673246 29.614185789921695 93.00537618869137 54.08326913195984 77.23341245859851 51.61395160225576 82.07313811473277 79.61155694998057 0.0 76.53103945458993 44.28317965096906 60.67124524847005 75.82216034906945 14.866068747318506 78.39005038906404 50.99019513592785 23.600847442411894 52.08646657242167 15.811388300841896 62.96824596572466 36.89173349139343 22.80350850198276 67.36467917239716 82.54089895318563 62.00806399170998 27.202941017470888 47.80167361086848 71.5122367151245 68.6804193347711 71.84010022264724 82.85529554590944 76.53103945458993 0.0 75.16648189186454 109.48059188732951 70.9365914038728 63.56099432828282 85.42833253669417 32.69556544854363 90.55385138137417 95.13148795220224 67.11929677819934 21.400934559032695 53.53503525729669 62.64982043070834 102.6498904042279 36.05551275463989 54.20332093147061 61.39218191268331 37.20215047547655 36.71511950137164 11.180339887498949 42.05948168962618 36.124783736376884 44.28317965096906 75.16648189186454 0.0 34.40930106817051 35.35533905932738 35.35533905932738 34.40930106817051 67.62396025078685 67.60177512462228 20.0 53.9351462406472 73.78346698278686 23.323807579381203 58.215118311311535 29.546573405388315 60.41522986797286 30.066592756745816 62.07253821135398 38.18376618407357 60.03332407921454 42.95346318982906 65.0 52.46903848937962 60.67124524847005 109.48059188732951 34.40930106817051 0.0 59.07622195096772 59.61543424315552 48.662100242385755 98.73702446397704 79.1580697086532 14.422205101855956 75.18643494673756 106.5269918846862 56.568542494923804 81.32035415564789 17.46424919657298 93.04837451562494 62.03224967708329 85.72630868059116 72.34638899074369 1.4142135623730951 25.0 6.708203932499369 12.206555615733702 75.82216034906945 70.9365914038728 35.35533905932738 59.07622195096772 0.0 63.245553203367585 15.556349186104045 79.1012010022604 99.35793878699377 47.265209192385896 81.12336284942828 79.51100552753688 41.593268686170845 83.19254774317228 44.14748010928823 41.036569057366385 19.026297590440446 86.00581375697809 44.181444068749045 64.63745044476924 40.311288741492746 69.20260110718382 68.4470598345904 14.866068747318506 63.56099432828282 35.35533905932738 59.61543424315552 63.245553203367585 0.0 67.77905281132217 41.86884283091664 36.87817782917155 48.27007354458868 18.681541692269406 52.478567053607705 22.67156809750927 23.0 62.39390995922599 67.67569726275453 48.104053883222775 27.073972741361768 32.984845004941285 15.620499351813308 27.51363298439521 18.788294228055936 4.123105625617661 78.39005038906404 85.42833253669417 34.40930106817051 48.662100242385755 15.556349186104045 67.77905281132217 0.0 90.27181176868004 101.87246929372037 39.395431207184416 86.37708029332781 92.19544457292888 48.662100242385755 89.56003573022959 32.01562118716424 56.586217403180434 31.622776601683793 92.89241088485109 55.44366510251645 80.15609770940699 65.96969000988257 82.60750571225353 89.05054744357274 50.99019513592785 32.69556544854363 67.62396025078685 98.73702446397704 79.1012010022604 41.86884283091664 90.27181176868004 0.0 60.07495318350236 85.58621384311844 38.07886552931954 13.0 44.598206241955516 32.2490309931942 97.16995420396162 58.52349955359813 60.07495318350236 30.0 35.0 100.7670581092849 75.21303078589507 105.55093557141026 103.1746092796091 23.600847442411894 90.55385138137417 67.60177512462228 79.1580697086532 99.35793878699377 36.87817782917155 101.87246929372037 60.07495318350236 0.0 73.00684899377592 23.769728648009426 73.06161783043132 59.54829972383762 28.0178514522438 88.52683209061533 102.85912696499032 84.95881355103778 30.14962686336267 68.0 48.373546489791295 28.792360097775937 53.600373133029585 42.720018726587654 52.08646657242167 95.13148795220224 20.0 14.422205101855956 47.265209192385896 48.27007354458868 39.395431207184416 85.58621384311844 73.00684899377592 0.0 65.27633568147036 92.80086206496145 42.5205832509386 70.8590149522275 15.524174696260024 79.05694150420949 48.08326112068523 75.13321502504735 58.05170109479997 82.49242389456137 58.872744118140105 86.82165628459296 86.92525524840292 15.811388300841896 67.11929677819934 53.9351462406472 75.18643494673756 81.12336284942828 18.681541692269406 86.37708029332781 38.07886552931954 23.769728648009426 65.27633568147036 0.0 50.80354318352215 39.66106403010388 7.0710678118654755 80.02499609497022 79.75587752636166 64.81512169239521 11.40175425099138 45.221676218380054 80.39900496896712 70.26378868236469 82.05485969764375 90.4267659490264 62.96824596572466 21.400934559032695 73.78346698278686 106.5269918846862 79.51100552753688 52.478567053607705 92.19544457292888 13.0 73.06161783043132 92.80086206496145 50.80354318352215 0.0 50.47771785649585 45.17742799230607 103.07764064044152 52.55473337388365 60.8276253029822 43.0 37.33630940518894 42.941821107167776 22.02271554554524 47.16990566028302 48.507731342539614 36.89173349139343 53.53503525729669 23.323807579381203 56.568542494923804 41.593268686170845 22.67156809750927 48.662100242385755 44.598206241955516 59.54829972383762 42.5205832509386 39.66106403010388 50.47771785649585 0.0 41.6293165929973 52.773099207835045 47.51841748206689 25.45584412271571 44.598206241955516 16.55294535724685 84.52810183601665 62.0966987850401 88.58893836140041 89.81091247727082 22.80350850198276 62.64982043070834 58.215118311311535 81.32035415564789 83.19254774317228 23.0 89.56003573022959 32.2490309931942 28.0178514522438 70.8590149522275 7.0710678118654755 45.17742799230607 41.6293165929973 0.0 85.28774824088158 78.2368199762746 66.03786792439622 4.47213595499958 44.553338819890925 44.91102314577124 33.97057550292606 49.49747468305833 36.0 67.36467917239716 102.6498904042279 29.546573405388315 17.46424919657298 44.14748010928823 62.39390995922599 32.01562118716424 97.16995420396162 88.52683209061533 15.524174696260024 80.02499609497022 103.07764064044152 52.773099207835045 85.28774824088158 0.0 81.49233092751734 51.03920062069938 89.45389874119518 66.61080993352356 41.10960958218893 50.28916384272063 39.66106403010388 53.150729063673246 82.54089895318563 36.05551275463989 60.41522986797286 93.04837451562494 41.036569057366385 67.67569726275453 56.586217403180434 58.52349955359813 102.85912696499032 79.05694150420949 79.75587752636166 52.55473337388365 47.51841748206689 78.2368199762746 81.49233092751734 0.0 31.016124838541646 79.02531240052139 34.92849839314596 20.09975124224178 19.4164878389476 23.08679276123039 29.614185789921695 62.00806399170998 54.20332093147061 30.066592756745816 62.03224967708329 19.026297590440446 48.104053883222775 31.622776601683793 60.07495318350236 84.95881355103778 48.08326112068523 64.81512169239521 60.8276253029822 25.45584412271571 66.03786792439622 51.03920062069938 31.016124838541646 0.0 68.47627326307996 25.179356624028344 87.32124598286491 65.5133574166368 91.23595782365635 93.00537618869137 27.202941017470888 61.39218191268331 62.07253821135398 85.72630868059116 86.00581375697809 27.073972741361768 92.89241088485109 30.0 30.14962686336267 75.13321502504735 11.40175425099138 43.0 44.598206241955516 4.47213595499958 89.45389874119518 79.02531240052139 68.47627326307996 0.0 46.09772228646444 45.27692569068709 33.12099032335839 48.05205510693585 54.08326913195984 47.80167361086848 37.20215047547655 38.18376618407357 72.34638899074369 44.181444068749045 32.984845004941285 55.44366510251645 35.0 68.0 58.05170109479997 45.221676218380054 37.33630940518894 16.55294535724685 44.553338819890925 66.61080993352356 34.92849839314596 25.179356624028344 46.09772228646444 0.0

rob_x  50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
rob_y  50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.6178303796207898 1.1512448974348544 0.35188462305450086 1.5040166229962983 0.4625017799265486 1.8484099458543164 1.7105675392485515 1.393844342236303 1.9328614898024246 0.2744146512484479 1.6149465796205054 1.870530187865409 0.7076372456846556 0.9057370132215468 0.30251214703796814 1.5099298618271246 0.2335890139316349

tsk_x  83 67 85 92 25 16 65 85 82 30 93 3 6 77 12 3 45 7 92 52 63 3 38
tsk_y  35 56 30 43 86 10 67 95 36 72 47 40 100 83 77 27 55 72 79 8 37 70 40
tsk_rat  0.9312482129198432 1.0840759370096629 1.0870225588164686 0.7754475938978009 0.6498742686253431 0.5753181139476495 1.545150736457949 1.3279858675277012 1.8448188279569266 0.3412214597217176 0.9767857222577301 1.4473528393524862 0.5548538938003004 0.23147736714652256 1.2765534694055853 0.8958820349261032 0.2628242610551832 1.9610206870687352 1.6868897071264726 0.2530099452233701 1.0025524004635515 1.0020421467213574 1.5241000927133448
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  140.9915324356184 134.98940951202255 203.38000736327587 126.63073499395887 105.48609863714404 71.76788270990339 180.3603182657276 137.30495255614423 297.30053148350265 61.54704381603426 190.9685746555164 175.3743127796471 107.53225829101706 32.36052033612074 207.0524814726402 127.51442901114416 46.72843031721751 307.04021436846483 213.47260616198378 39.16295521562351 194.2678508509641 193.88304853502655 193.80596767541275
