time 2020-01-07 17:28:03
17_23_RANDOMCLUSTERED_RANDOM_SVSCV_SVLCV_SVLCV_thre0.1
robNum  17
taskNum  23
comp_threhold  0.1
rob2tskDis  80.52949770115296 84.64632301523794 83.05419917138447 68.26419266350405 54.56189146281496 28.460498941515414 52.80151512977634 65.80273550544841 76.53757247260981 61.39218191268331 33.24154027718932 42.95346318982906 38.0 38.27531841800928 67.67569726275453 66.64833081180653 80.77747210701756 18.35755975068582 24.698178070456937 12.529964086141668 7.0710678118654755 34.058772731852805 36.87817782917155 55.31726674375732 21.02379604162864 31.827660925679098 15.652475842498529 25.612496949731394 84.31488599292535 48.010415536631214 39.66106403010388 12.36931687685298 33.015148038438355 66.2872536767062 56.462376853972415 63.60031446463138 29.017236257093817 42.1070065428546 51.03920062069938 17.204650534085253 53.53503525729669 74.00675644831355 63.13477647065839 61.326992425847855 34.828149534535996 37.53664875824692 89.87213138676528 62.93647591023825 74.63243262818116 57.201398584300364 19.4164878389476 73.824115301167 8.0 21.400934559032695 53.75872022286245 65.21502894272147 26.92582403567252 13.152946437965905 22.090722034374522 21.470910553583888 74.88658090739622 80.06247560499239 53.9351462406472 49.36598018878993 39.824615503479755 53.45091205957107 48.104053883222775 43.68065933568311 50.0 51.66236541235796 72.42237223399962 62.6418390534633 52.478567053607705 59.77457653551382 32.55764119219941 69.00724599634447 75.7099729229908 66.60330322138685 37.8549864614954 60.37383539249432 64.53681120105021 63.324560795950255 42.95346318982906 41.012193308819754 37.36308338453881 72.83543093852057 13.892443989449804 55.31726674375732 19.72308292331602 24.08318915758459 21.95449840010015 18.384776310850235 60.41522986797286 70.68238818828917 65.27633568147036 52.20153254455275 50.53711507397311 32.449961479175904 57.14017850864661 65.45991139621256 63.631753079732135 42.190046219457976 47.41307836451879 51.78802950489621 50.32891812864648 33.1058907144937 47.80167361086848 46.52956049652737 69.06518659932803 2.0 43.139309220245984 12.165525060596439 13.601470508735444 17.46424919657298 18.027756377319946 70.25667228100119 21.213203435596427 42.15447781671598 30.01666203960727 26.0 98.71676655968832 46.57252408878007 32.7566787083184 14.317821063276353 49.49747468305833 71.06335201775947 58.309518948453004 67.02984409947557 38.07886552931954 58.077534382926416 67.47592163134935 10.0 68.01470429252781 81.39410298049853 77.00649323271382 74.33034373659252 50.32891812864648 53.823786563191554 116.18089343777659 98.48857801796105 107.35455276791944 89.96110270555825 55.44366510251645 70.178344238091 36.345563690772494 53.9351462406472 89.26925562588724 92.80086206496145 14.142135623730951 23.021728866442675 14.866068747318506 50.99019513592785 101.53324578678651 103.9471019317037 89.94442728707543 60.03332407921454 22.02271554554524 57.584720195551874 51.62363799656123 65.79513659838392 71.42128534267638 80.45495634204272 77.92945527847606 78.91767862779544 63.071388124885914 45.0 38.62641583165593 42.5440947723653 55.60575509783138 69.42621983083913 59.23681287847955 25.632011235952593 33.24154027718932 29.427877939124322 29.546573405388315 66.64833081180653 67.20119046564577 73.08214556237385 21.095023109728988 21.633307652783937 20.024984394500787 14.0 31.016124838541646 35.35533905932738 47.095647357266465 10.0 17.46424919657298 10.63014581273465 41.88078318274385 93.94147114027967 64.35060217278468 54.48853090330111 10.44030650891055 30.528675044947494 82.46211251235322 73.00684899377592 80.00624975587844 44.721359549995796 37.0 47.16990566028302 17.029386365926403 63.90618123468183 89.35882720806042 74.0 73.24616030891995 44.598206241955516 45.17742799230607 44.9221548904324 25.059928172283335 25.942243542145693 8.54400374531753 33.015148038438355 77.82673062643708 54.45181356024793 48.75448697299562 19.1049731745428 22.0 68.35202996254024 60.74537019394976 66.64082832618455 30.463092423455635 31.25699921617557 40.01249804748511 25.80697580112788 47.53945729601885 73.97972695272672 57.584720195551874 56.753854494650845 28.231188426986208 29.410882339705484 78.00640999302557 102.39628899525607 92.97311439335567 82.76472678623425 82.92767933567175 7.211102550927978 85.38149682454625 96.60227740586657 96.02083107326243 68.00735254367721 66.007575322837 76.2954782408499 71.17583859709698 65.45991139621256 69.87131027825369 64.03124237432849 101.82828683622247 31.89043743820395 54.589376255824725 24.596747752497688 29.732137494637012 49.8196748283246 48.02082881417188 72.71863585079137 47.51841748206689 57.14017850864661 39.66106403010388 10.0 70.43436661176133 23.853720883753127 25.317977802344327 38.3275357934736 48.02082881417188 39.319206502675 29.5296461204668 36.40054944640259 7.615773105863909 57.8013840664737 63.694583757176716 40.049968789001575 41.593268686170845 48.507731342539614 48.60041152089147 44.598206241955516 30.01666203960727 36.013886210738214 101.31633629380802 78.84795495128583 89.1852005660132 71.69379331573968 35.510561809129406 70.61161377563892 17.08800749063506 34.785054261852174 69.6419413859206 77.07788269017254 13.45362404707371 3.0 7.211102550927978 33.421549934136806 86.37129152675674 90.21086409075129 70.03570517957252 51.97114584074513 28.319604517012593 53.0 47.01063709417264 52.15361924162119 58.309518948453004 71.11258679024411 41.0 52.630789467763066 35.38361202590826 6.082762530298219 76.48529270389177 26.90724809414742 23.194827009486403 31.78049716414141 46.61544808322666 46.09772228646444 35.11409973215888 42.7551166528639 13.45362404707371 56.462376853972415 63.324560795950255 33.0 46.87216658103186 55.731499172371095 54.56189146281496 50.93132631298737 32.984845004941285 38.47076812334269 88.05112151472007 113.01769772916099 103.73041983911952 93.47726996441435 92.00543462209176 11.661903789690601 92.70382947861431 104.95713410721541 106.50821564555478 78.74642849044012 70.8590149522275 82.56512580987206 76.48529270389177 74.65252842335616 80.4114419718985 74.24284477308234 112.2007130102122 41.773197148410844 58.034472514187634 33.421549934136806 37.73592452822641 60.21627686929839 58.66856057549052 76.02631123499285 100.16985574512923 90.75791976461338 80.52949770115296 80.99382692526635 7.810249675906654 83.81527307120105 94.81033698917012 93.81364506296512 65.80273550544841 65.00769185258002 74.96665925596525 70.06425622241343 63.51377803280167 67.7421582177598 62.00806399170998 99.6393496566492 29.832867780352597 53.9351462406472 22.847319317591726 28.160255680657446 47.634021455258214 45.79301256742124 76.48529270389177 44.27188724235731 57.38466694161429 40.311288741492746 1.4142135623730951 79.02531240052139 22.20360331117452 18.027756377319946 35.11409973215888 52.0 44.04543109109048 31.78049716414141 40.11234224026316 16.1245154965971 61.84658438426491 68.6804193347711 35.35533905932738 50.11985634456667 54.817880294662984 57.201398584300364 53.150729063673246 37.48332962798263 43.18564576337837
tskDis  0.0 55.731499172371095 32.57299494980466 40.311288741492746 76.96752561957543 82.29823813423954 96.56603957913983 93.40770846134703 57.0 24.698178070456937 102.06860437960343 99.35793878699377 102.53292154230269 68.60029154456998 15.0 14.317821063276353 64.03124237432849 62.24146527838174 102.08329931972223 70.83784299369935 73.92563831310488 50.44799302251776 45.221676218380054 55.731499172371095 0.0 24.020824298928627 20.518284528683193 43.657759905886145 102.88342918079665 65.79513659838392 53.600373133029585 9.219544457292887 40.496913462633174 86.83317338436964 75.96051605933177 83.74365647617735 50.0 46.61544808322666 56.859475903318 11.40175425099138 72.49827584156743 95.0 82.46211251235322 81.27115109311545 53.225933528685054 54.378304497290095 32.57299494980466 24.020824298928627 0.0 17.4928556845359 57.3149195236284 95.0789145920377 79.51100552753688 71.21797525905943 27.85677655436824 25.079872407968907 94.15412895885129 86.6083136886985 92.57429448826494 56.36488268416781 26.870057685088806 36.87817782917155 33.95585369269929 67.26812023536856 98.95453501482385 77.41446893184762 78.02563681252464 49.01020301937138 47.265209192385896 40.311288741492746 20.518284528683193 17.4928556845359 0.0 40.36087214122113 83.773504164503 62.289646009589745 55.226805085936306 17.72004514666935 20.615528128088304 76.89603370785778 69.1158447825099 75.15317691222374 39.0 28.284271247461902 38.07886552931954 25.0 54.120236510939236 82.37718130647589 64.28841264178172 63.953107821277925 34.92849839314596 34.92849839314596 76.96752561957543 43.657759905886145 57.3149195236284 40.36087214122113 0.0 80.43009387039157 22.47220505424423 17.11724276862369 34.539832078341085 52.55473337388365 45.09988913511872 32.55764119219941 41.048751503547585 17.4928556845359 62.39390995922599 69.3757882838098 34.52535300326414 51.478150704935004 56.04462507680822 58.60034129593445 54.56189146281496 38.63935817272331 44.28317965096906 82.29823813423954 102.88342918079665 95.0789145920377 83.773504164503 80.43009387039157 0.0 81.15417426109393 93.29523031752481 96.04165762834376 70.40596565632774 60.207972893961475 71.30918594402827 65.62011886609167 63.12685640834652 73.17103251970687 68.11754546370561 101.51354589413178 30.805843601498726 48.16637831516918 21.93171219946131 26.076809620810597 49.73932046178355 48.84669896727925 96.56603957913983 65.79513659838392 79.51100552753688 62.289646009589745 22.47220505424423 81.15417426109393 0.0 17.72004514666935 56.79788728465171 71.8679344353238 30.01666203960727 14.317821063276353 24.166091947189145 28.792360097775937 81.6333265278342 87.23531395025755 55.97320787662612 57.3149195236284 44.204072210600685 61.1310068623117 55.65968020030299 51.419840528729765 57.723478758647246 93.40770846134703 53.600373133029585 71.21797525905943 55.226805085936306 17.11724276862369 93.29523031752481 17.72004514666935 0.0 45.34313619501854 69.26037828369117 47.4236228055175 31.953090617340916 41.78516483155236 32.7566787083184 79.05694150420949 86.34813257969161 42.720018726587654 66.12866246946176 61.05735008989499 72.00694410957877 67.23094525588644 55.226805085936306 61.07372593840988 57.0 9.219544457292887 27.85677655436824 17.72004514666935 34.539832078341085 96.04165762834376 56.79788728465171 45.34313619501854 0.0 38.27531841800928 77.64663547121665 66.76076692189807 74.52516353554684 41.048751503547585 45.89117562233506 55.78530272392541 7.280109889280518 65.36818798161687 86.02325267042627 75.13321502504735 73.53910524340094 46.32493928760188 48.27007354458868 24.698178070456937 40.496913462633174 25.079872407968907 20.615528128088304 52.55473337388365 70.40596565632774 71.8679344353238 69.26037828369117 38.27531841800928 0.0 78.81624198095213 75.0066663703967 78.74642849044012 44.04543109109048 9.848857801796104 18.027756377319946 45.5411901469428 44.181444068749045 80.52949770115296 54.037024344425184 55.57877292636101 28.231188426986208 24.515301344262525 102.06860437960343 86.83317338436964 94.15412895885129 76.89603370785778 45.09988913511872 60.207972893961475 30.01666203960727 47.4236228055175 77.64663547121665 78.81624198095213 0.0 15.811388300841896 6.4031242374328485 37.94733192202055 87.45856161634491 89.80534505250787 79.05694150420949 46.51881339845203 15.0 45.12205669071391 39.05124837953327 51.66236541235796 57.28001396647874 99.35793878699377 75.96051605933177 86.6083136886985 69.1158447825099 32.55764119219941 71.30918594402827 14.317821063276353 31.953090617340916 66.76076692189807 75.0066663703967 15.811388300841896 0.0 9.848857801796104 31.144823004794873 84.38601779915912 88.48163651289458 67.08203932499369 51.478150704935004 30.4138126514911 53.08483775994799 47.16990566028302 50.60632371551998 56.824290580701486 102.53292154230269 83.74365647617735 92.57429448826494 75.15317691222374 41.048751503547585 65.62011886609167 24.166091947189145 41.78516483155236 74.52516353554684 78.74642849044012 6.4031242374328485 9.848857801796104 0.0 36.235341863986875 87.72684879784524 90.78546139112804 75.4254598925323 49.64876634922564 21.400934559032695 49.36598018878993 43.289721643826724 52.49761899362675 58.412327466040935 68.60029154456998 50.0 56.36488268416781 39.0 17.4928556845359 63.12685640834652 28.792360097775937 32.7566787083184 41.048751503547585 44.04543109109048 37.94733192202055 31.144823004794873 36.235341863986875 0.0 53.600373133029585 58.59180830116101 43.93176527297759 34.0 45.0 41.23105625617661 37.48332962798263 23.08679276123039 29.274562336608895 15.0 46.61544808322666 26.870057685088806 28.284271247461902 62.39390995922599 73.17103251970687 81.6333265278342 79.05694150420949 45.89117562233506 9.848857801796104 87.45856161634491 84.38601779915912 87.72684879784524 53.600373133029585 0.0 10.295630140987 53.150729063673246 49.72926703662542 88.19297024139736 59.033888572581766 61.40032573203501 36.05551275463989 31.304951684997057 14.317821063276353 56.859475903318 36.87817782917155 38.07886552931954 69.3757882838098 68.11754546370561 87.23531395025755 86.34813257969161 55.78530272392541 18.027756377319946 89.80534505250787 88.48163651289458 90.78546139112804 58.59180830116101 10.295630140987 0.0 63.06346010171025 48.30113870293329 88.81441324469807 56.64803615307419 59.93329625508679 38.28837943815329 32.526911934581186 64.03124237432849 11.40175425099138 33.95585369269929 25.0 34.52535300326414 101.51354589413178 55.97320787662612 42.720018726587654 7.280109889280518 45.5411901469428 79.05694150420949 67.08203932499369 75.4254598925323 43.93176527297759 53.150729063673246 63.06346010171025 0.0 70.7248188403477 88.45903006477066 80.26207074328447 78.26237921249263 52.009614495783374 54.45181356024793 62.24146527838174 72.49827584156743 67.26812023536856 54.120236510939236 51.478150704935004 30.805843601498726 57.3149195236284 66.12866246946176 65.36818798161687 44.181444068749045 46.51881339845203 51.478150704935004 49.64876634922564 34.0 49.72926703662542 48.30113870293329 70.7248188403477 0.0 41.72529209005013 10.198039027185569 11.704699910719626 19.313207915827967 20.024984394500787 102.08329931972223 95.0 98.95453501482385 82.37718130647589 56.04462507680822 48.16637831516918 44.204072210600685 61.05735008989499 86.02325267042627 80.52949770115296 15.0 30.4138126514911 21.400934559032695 45.0 88.19297024139736 88.81441324469807 88.45903006477066 41.72529209005013 0.0 37.21558813185679 31.622776601683793 52.32590180780452 56.938563381947034 70.83784299369935 82.46211251235322 77.41446893184762 64.28841264178172 58.60034129593445 21.93171219946131 61.1310068623117 72.00694410957877 75.13321502504735 54.037024344425184 45.12205669071391 53.08483775994799 49.36598018878993 41.23105625617661 59.033888572581766 56.64803615307419 80.26207074328447 10.198039027185569 37.21558813185679 0.0 6.082762530298219 29.410882339705484 30.14962686336267 73.92563831310488 81.27115109311545 78.02563681252464 63.953107821277925 54.56189146281496 26.076809620810597 55.65968020030299 67.23094525588644 73.53910524340094 55.57877292636101 39.05124837953327 47.16990566028302 43.289721643826724 37.48332962798263 61.40032573203501 59.93329625508679 78.26237921249263 11.704699910719626 31.622776601683793 6.082762530298219 0.0 29.154759474226502 31.144823004794873 50.44799302251776 53.225933528685054 49.01020301937138 34.92849839314596 38.63935817272331 49.73932046178355 51.419840528729765 55.226805085936306 46.32493928760188 28.231188426986208 51.66236541235796 50.60632371551998 52.49761899362675 23.08679276123039 36.05551275463989 38.28837943815329 52.009614495783374 19.313207915827967 52.32590180780452 29.410882339705484 29.154759474226502 0.0 6.324555320336759 45.221676218380054 54.378304497290095 47.265209192385896 34.92849839314596 44.28317965096906 48.84669896727925 57.723478758647246 61.07372593840988 48.27007354458868 24.515301344262525 57.28001396647874 56.824290580701486 58.412327466040935 29.274562336608895 31.304951684997057 32.526911934581186 54.45181356024793 20.024984394500787 56.938563381947034 30.14962686336267 31.144823004794873 6.324555320336759 0.0

rob_x  17 78 39 40 35 84 3 22 93 77 12 52 23 59 2 14 57
rob_y  57 37 17 78 66 21 14 48 44 48 90 29 15 27 94 89 22
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.06966094770594483 0.08810105010888789 0.08119587158342491 0.08920594519960934 0.062232821398531674 0.052606446755960795 0.0888294289229135 0.03176746554528853 0.023430576501191586 0.04179855852215593 0.09212770242398324 0.05050892647589304 0.04330242354598497 0.03418386049431654 0.08088651363716144 0.03987195320497952 0.03516668659070968

tsk_x  90 99 100 85 58 8 39 56 90 77 13 26 17 49 81 76 92 33 4 23 22 51 53
tsk_y  91 36 60 51 21 84 9 4 34 70 24 15 19 36 79 88 27 66 36 68 62 59 65
tsk_rat  0.08458433852573671 0.11307402331553676 0.07901329404017823 0.03321191145175545 0.07308667999372097 0.08495612042244365 0.06653002453597155 0.02529576601715714 0.03500883145554861 0.046612464677711296 0.04842530641976877 0.056102871827311704 0.08252204217126156 0.05911622674995956 0.08766815975252194 0.029626254921789972 0.029413507058736455 0.08489080332225771 0.11159881574061437 0.10985691657346709 0.0989585160739764 0.075447229384535 0.10871664052536059
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  10.837870556395215 19.303180893946866 8.603112466919121 5.473086868119772 12.61058359358247 16.649550039629375 8.085319081587025 4.783822340285824 6.312930063395394 8.455578131210487 7.196864936422836 8.205523057693837 10.550278915708857 7.705524002138188 10.7436629589295 4.181308936319616 3.4477934669302965 8.687791769885694 21.75624389641194 16.386189332301278 16.151217812839114 13.423902655125266 19.243157572137108
