time 2020-01-07 17:28:03
20_20_RANDOMCLUSTERED_CENTRAL_LVLCV_LVLCV_LVSCV_thre0.1
robNum  20
taskNum  20
comp_threhold  0.1
rob2tskDis  45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 45.27692569068709 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 38.600518131237564 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 32.526911934581186 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 39.20459156782532 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 8.06225774829855 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 28.792360097775937 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.01190307520001 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 42.5205832509386 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 6.324555320336759 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 28.635642126552707 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 47.634021455258214 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 22.360679774997898 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 47.80167361086848 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 18.110770276274835 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 24.698178070456937 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 43.93176527297759 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 47.50789408087881 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 29.206163733020468 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  17 73 73 54 5 51 60 49 78 44 76 87 70 79 68 73 83 81 73 72
rob_y  19 81 27 11 39 58 23 92 18 52 38 80 60 88 48 59 79 86 68 41
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.09324600385482108 0.38787433536080557 1.0162069301180185 0.6298123575387543 0.41256987312056576 1.7741998880370797 0.8543861327989131 0.45244639303541195 0.6665772187576829 1.8227035734246078 0.6918700346425861 0.027071155380702164 0.8061964499730229 1.262977986853996 0.8951355158186703 0.42908269937450255 1.007866930636108 0.6665410112915912 0.5999588275808022 0.2342305904356861

