time 2020-01-07 17:28:03
20_20_RANDOM_CENTRAL_SVLCV_QUADRANT_SVSCV_thre0.1
robNum  20
taskNum  20
comp_threhold  0.1
rob2tskDis  20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 20.248456731316587 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 33.52610922848042 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 58.82176467941097 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 23.769728648009426 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 20.12461179749811 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 42.485291572496 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 31.304951684997057 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 50.92150822589606 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 43.382023926967726 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 14.866068747318506 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 23.600847442411894 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 27.730849247724095 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 46.32493928760188 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 29.732137494637012 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 35.4682957019364 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 34.20526275297414 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 37.53664875824692 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096 52.3450093132096
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  67 57 82 98 41 59 88 78 67 31 45 36 7 38 5 22 17 23 78 12
rob_y  61 69 40 84 72 68 31 64 98 11 64 31 6 75 39 40 63 29 25 14
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.03414260678056985 0.15541482449928617 0.1196062265936465 0.11700400864567331 0.0775740598327647 0.0699868505940908 0.05235601624933381 0.03743071897353091 0.13496004486507934 0.08089474283362087 0.08034240623345368 0.19589277335212515 0.06335353005071169 0.045200605347853626 0.16122340925593026 0.1715251958242587 0.050493468974695546 0.03768465347950961 0.04436786457839938 0.024567957307987845

