time 2020-01-07 17:28:03
20_20_RANDOM_ECCENTRIC_UNITARY_LVSCV_LVLCV_thre0.1
robNum  20
taskNum  20
comp_threhold  0.1
rob2tskDis  81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 81.49233092751734 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 33.83784863137726 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 61.84658438426491 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 134.46932735757994 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 18.681541692269406 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 50.53711507397311 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 86.31338250816034 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 13.416407864998739 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 38.07886552931954 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 78.587530817554 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 95.77055915050303 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 54.230987451824994 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 78.64477096412705 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 91.39474820797966 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 103.31505214633539 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 101.59232254457027 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 66.18912297349165 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 29.068883707497267 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 60.40695324215582 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304 20.615528128088304
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  79 19 60 99 5 23 59 6 35 76 46 21 59 28 45 95 66 29 20 16
rob_y  20 28 15 91 18 45 63 12 15 20 84 50 52 87 93 36 5 2 57 13
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

