time 2020-01-07 17:28:03
20_24_CLUSTERED_RANDOMCLUSTERED_MSVFLV_SVLCV_UNITARY_thre0.1
robNum  20
taskNum  24
comp_threhold  0.1
rob2tskDis  48.83646178829912 59.77457653551382 80.91971329657564 22.20360331117452 53.75872022286245 63.06346010171025 46.010868281309364 69.77105417004964 47.885279575251516 54.589376255824725 73.92563831310488 53.41348144429457 68.15423684555495 33.1058907144937 9.899494936611665 43.657759905886145 8.06225774829855 31.78049716414141 11.704699910719626 43.829214001622255 34.20526275297414 25.317977802344327 43.04648650006177 36.24913792078372 85.14693182963201 23.53720459187964 21.0 83.18653737234169 24.020824298928627 26.570660511172846 22.135943621178654 73.68174807915459 64.77653896280658 61.39218191268331 27.459060435491963 74.67261881037788 18.601075237738275 98.73702446397704 65.79513659838392 57.0701322935211 60.8276253029822 97.3498844375277 60.876925020897694 67.91170738539859 98.6154146165801 89.1852005660132 64.76109943476871 101.78899744078434 80.95677859203639 44.9221548904324 8.06225774829855 87.86353054595519 44.553338819890925 48.104053883222775 29.966648127543394 94.72592042308166 84.02380615040002 52.46903848937962 7.615773105863909 94.02127418834527 39.824615503479755 105.3612832116238 77.41446893184762 76.05918747922567 71.69379331573968 103.9471019317037 72.89718787443039 86.37129152675674 104.06248123122954 94.79451460923254 83.2946576918352 108.18964830333815 11.661903789690601 84.38009243891595 86.81589716175259 23.53720459187964 78.5175139698144 88.56635930193812 58.54912467321779 106.23088063270491 84.62860036654276 33.83784863137726 74.43117626371358 90.78546139112804 90.0 40.11234224026316 47.38143096192854 79.40403012442127 44.204072210600685 39.05124837953327 48.41487374764082 81.05553651663777 35.510561809129406 30.066592756745816 80.0 41.43669871020132 58.309518948453004 68.0 93.81364506296512 25.495097567963924 62.26556030423239 70.68238818828917 58.82176467941097 67.446274915669 45.89117562233506 68.18357573492314 87.65842800324451 48.84669896727925 77.17512552629896 27.0 12.206555615733702 44.01136216933077 17.029386365926403 26.019223662515376 17.204650534085253 40.52159917870962 30.4138126514911 24.166091947189145 40.792156108742276 30.01666203960727 75.58438992278762 44.77722635447622 13.341664064126334 82.80700453464067 43.68065933568311 48.30113870293329 26.248809496813376 93.86160024205851 82.05485969764375 47.265209192385896 5.385164807134504 92.04890004774636 40.80441152620633 100.44899203078147 73.348483283569 74.02702209328699 67.53517601961218 99.03534722511958 68.94200461257273 84.0535543567314 99.03534722511958 89.80534505250787 81.02468759581859 103.24727599312246 91.0 18.027756377319946 26.68332812825267 86.53900854527974 20.248456731316587 20.223748416156685 27.073972741361768 68.11754546370561 61.1310068623117 68.41052550594829 35.0 70.83078426785913 11.180339887498949 101.21264743103995 66.70832032063167 53.75872022286245 62.20128616033595 99.84988733093293 61.71709649683789 64.8459713474939 101.51847122568385 92.13576938409967 61.68468205316454 104.31682510506155 88.02272433866155 20.09975124224178 24.186773244895647 84.581321815162 21.37755832643195 22.80350850198276 24.331050121192877 70.34912934784623 62.369864518050704 65.0 31.622776601683793 72.18032973047436 14.422205101855956 99.64436762808022 65.79513659838392 54.817880294662984 61.07372593840988 98.2700361249552 60.8276253029822 65.80273550544841 99.76472322419383 90.35485598461214 62.6418390534633 102.7277956543408 8.94427190999916 86.57944328765345 87.84645695758026 25.96150997149434 80.75270893288967 90.79647570252934 60.29925372672534 109.0 87.41853350405736 33.421549934136806 75.17978451685 93.60555539069249 92.02173656261873 42.01190307520001 50.20956084253277 82.15229759416349 47.01063709417264 41.0 51.22499389946279 83.86894538504703 37.21558813185679 32.2490309931942 82.80096617793781 43.18564576337837 91.7877987534291 30.01666203960727 15.231546211727817 91.7877987534291 31.78049716414141 32.14031735997639 30.4138126514911 80.09993757800315 72.78049189171504 66.27216610312357 26.40075756488817 82.56512580987206 22.561028345356956 107.64757312638311 75.0066663703967 65.25335240430181 70.00714249274856 106.25441167311595 70.09279563550022 76.24303246854758 107.37783756436893 97.94386147176351 73.08214556237385 110.67971810589327 42.44997055358225 62.369864518050704 79.90619500389191 18.110770276274835 56.293871780150276 65.92419889539804 45.45327270945405 75.66372975210778 53.85164807134504 49.16299421312742 71.84705978674423 59.665735560705194 70.21395872616783 32.202484376209235 16.278820596099706 49.24428900898052 13.416407864998739 30.805843601498726 17.4928556845359 50.0 32.202484376209235 22.847319317591726 49.09175083453431 35.22782990761707 47.70744176750625 67.67569726275453 88.52683209061533 16.55294535724685 61.68468205316454 70.8801805866774 53.74011537017761 74.46475676452586 52.55473337388365 58.008620049092706 80.99382692526635 56.938563381947034 76.15773105863909 25.079872407968907 14.317821063276353 49.24428900898052 15.297058540778355 23.769728648009426 18.0 47.853944456021594 26.476404589747453 18.0 47.53945729601885 28.231188426986208 56.586217403180434 55.94640292279746 81.27115109311545 29.120439557122072 50.08991914547278 58.872744118140105 46.32493928760188 62.16912416947821 40.24922359499622 60.63827174318213 75.64390259630977 45.60701700396552 64.88451279003334 37.107950630558946 2.23606797749979 36.40054944640259 4.47213595499958 35.90264614203248 5.0990195135927845 36.05551275463989 39.20459156782532 31.016124838541646 35.35533905932738 40.26164427839479 79.6994353806851 44.27188724235731 9.219544457292887 86.45229898620394 43.73785545725808 47.53945729601885 28.635642126552707 93.94147114027967 83.00602387778854 51.35172830587107 7.211102550927978 93.00537618869137 39.44616584663204 103.9471019317037 76.05918747922567 75.02666192761077 70.32780389006896 102.53292154230269 71.55417527999327 85.28774824088158 102.6498904042279 93.38094023943002 82.21921916437786 106.77546534667971 78.16009211867653 42.720018726587654 10.770329614269007 84.38601779915912 41.97618372363071 46.09772228646444 26.40075756488817 92.19544457292888 81.0 50.15974481593781 7.810249675906654 91.0 38.27531841800928 101.82337649086284 73.824115301167 73.00684899377592 68.09552114493287 100.40916292848975 69.31810730249349 83.21658488546619 100.56838469419701 91.28526715741155 80.15609770940699 104.66135867644753 52.20153254455275 63.694583757176716 86.83317338436964 21.93171219946131 57.77542730261716 66.73080248281148 51.85556864985669 69.07966415668217 47.16990566028302 60.29925372672534 80.1311425102625 51.62363799656123 72.44998274671983 29.120439557122072 9.055385138137417 43.93176527297759 11.180339887498949 27.892651361962706 13.152946437965905 42.485291572496 31.144823004794873 23.08679276123039 42.15447781671598 32.28002478313795 83.5224520712844 43.174066289845804 5.385164807134504 89.49860334105779 43.18564576337837 46.17358552246078 30.528675044947494 93.2148056909416 83.15046602394962 55.326304774492215 10.770329614269007 93.13431161500041 37.57658845611187 106.7941945987702 78.03204469959762 75.23961722390672 72.40165743959182 105.38026380684383 73.43023900274328 85.70880934886448 105.64563407921787 96.33275663033837 82.60750571225353 109.65856099730654 88.68483523128404 29.068883707497267 15.297058540778355 88.68483523128404 30.265491900843113 31.575306807693888 27.294688127912362 79.30952023559341 71.19691004531025 63.387695966961914 24.758836806279895 81.04936767180853 22.47220505424423 104.62313319720452 72.24956747275377 63.56099432828282 67.17886572427373 103.22790320451152 67.35725647619564 74.46475676452586 104.30723848324239 94.87360012142472 71.30918594402827 107.64757312638311 47.4236228055175 74.33034373659252 94.79451460923254 13.45362404707371 68.35202996254024 77.4919350642375 60.14149981501958 79.05694150420949 57.28001396647874 61.204574992397426 86.83893136145792 60.83584469702052 82.85529554590944 18.384776310850235 20.0 54.589376255824725 21.840329667841555 17.08800749063506 24.186773244895647 52.20153254455275 20.09975124224178 12.36931687685298 52.20153254455275 21.540659228538015 88.29496021857646 38.2099463490856 6.082762530298219 91.83681179135085 39.05124837953327 40.792156108742276 31.11269837220809 88.45903006477066 79.76214641043707 61.032778078668514 17.88854381999832 89.67719888578144 31.622776601683793 108.57716150277645 78.00640999302557 72.00694410957877 72.62231062146122 107.16809226630845 73.23933369440222 82.76472678623425 107.80074211247342 98.40731680114035 79.62411694957753 111.5212984142491
tskDis  0.0 91.78235124467012 88.88756943465155 34.785054261852174 86.12200647918046 96.1041102138717 64.03124237432849 116.8289347721702 95.42536350467836 30.805843601498726 75.39230729988306 101.91172650877817 96.51942809610924 50.08991914547278 58.728187440104094 89.87213138676528 55.226805085936306 49.16299421312742 59.464274989274024 92.09777413162601 45.0 40.792156108742276 90.9065454189081 51.0 91.78235124467012 0.0 44.28317965096906 80.4114419718985 6.082762530298219 4.47213595499958 30.528675044947494 50.24937810560445 43.657759905886145 74.30343195303969 50.15974481593781 53.16013544000805 10.0 92.69843580125827 55.90169943749474 36.6742416417845 52.55473337388365 91.4166286842826 50.99019513592785 47.853944456021594 93.96275858019496 84.8999411071645 44.721359549995796 95.85927185202274 88.88756943465155 44.28317965096906 0.0 94.64142856064674 45.0111097397076 46.87216658103186 35.0 94.53041838477179 85.58621384311844 60.530983801686226 15.132745950421556 95.524865872714 37.64306044943742 111.80339887498948 82.37718130647589 77.78174593052023 76.84399781375251 110.39021695784459 77.69813382572325 88.45903006477066 110.75197515168747 101.41498903022176 85.32877591996736 114.69088891450794 34.785054261852174 80.4114419718985 94.64142856064674 0.0 74.33034373659252 84.01190391843289 61.40032573203501 91.0 69.07966415668217 52.88667128870941 84.86459803710851 73.43023900274328 88.05679985100527 18.788294228055936 30.675723300355934 65.52098900352466 30.265491900843113 17.46424919657298 33.734255586866 64.40496875241847 16.278820596099706 7.615773105863909 64.07807737440318 21.095023109728988 86.12200647918046 6.082762530298219 45.0111097397076 74.33034373659252 0.0 10.04987562112089 26.248809496813376 50.21951811795888 41.0 69.6419413859206 49.040799340956916 50.80354318352215 15.0 86.7294644281861 50.11985634456667 33.52610922848042 46.61544808322666 85.44003745317531 45.17742799230607 44.598206241955516 87.93179174792243 78.84795495128583 41.43669871020132 89.88882021697692 96.1041102138717 4.47213595499958 46.87216658103186 84.01190391843289 10.04987562112089 0.0 34.9857113690718 48.010415536631214 43.382023926967726 78.77182237323191 53.665631459994955 52.55473337388365 10.198039027185569 95.81753492967766 58.69412236331676 36.89173349139343 55.65968020030299 94.5568612000208 53.85164807134504 48.02082881417188 97.26767191621273 88.29496021857646 44.94441010848846 98.97979591815695 64.03124237432849 30.528675044947494 35.0 61.40032573203501 26.248809496813376 34.9857113690718 0.0 72.91776189653656 58.05170109479997 43.829214001622255 30.59411708155671 67.89698078707183 32.984845004941285 77.62087348130012 47.50789408087881 50.00999900019995 41.88078318274385 76.21679604916491 42.941821107167776 59.21148537234985 77.10382610480494 67.67569726275453 56.32051136131489 80.60397012554654 116.8289347721702 50.24937810560445 94.53041838477179 91.0 50.21951811795888 48.010415536631214 72.91776189653656 0.0 21.93171219946131 110.8873302050329 99.20181449953424 20.024984394500787 58.008620049092706 93.74433316206373 60.41522986797286 27.018512172212592 62.26556030423239 92.9623579735368 58.180752831155424 26.92582403567252 97.74456506629922 91.39474820797966 26.92582403567252 96.5090669315583 95.42536350467836 43.657759905886145 85.58621384311844 69.07966415668217 41.0 43.382023926967726 58.05170109479997 21.93171219946131 0.0 91.80958555619343 87.14355971613737 10.0 53.31041174104736 72.56031973468694 38.48376280978771 8.06225774829855 40.496913462633174 71.7007670809734 36.359317925395686 6.324555320336759 76.2954782408499 69.6419413859206 5.0990195135927845 75.4254598925323 30.805843601498726 74.30343195303969 60.530983801686226 52.88667128870941 69.6419413859206 78.77182237323191 43.829214001622255 110.8873302050329 91.80958555619343 0.0 46.09772228646444 100.34440691936945 76.32168761236873 71.47027354082255 62.81719509815764 84.62860036654276 57.28001396647874 70.21395872616783 61.032778078668514 90.4267659490264 67.77905281132217 60.440052945046304 88.32326986700618 73.38937252763509 75.39230729988306 50.15974481593781 15.132745950421556 84.86459803710851 49.040799340956916 53.665631459994955 30.59411708155671 99.20181449953424 87.14355971613737 46.09772228646444 0.0 97.12878049270464 46.04345773288535 102.82509421342633 77.07788269017254 79.1012010022604 71.17583859709698 101.41498903022176 72.80109889280519 89.00561780022652 101.13851887386922 92.02173656261873 86.0 105.55093557141026 101.91172650877817 53.16013544000805 95.524865872714 73.43023900274328 50.80354318352215 52.55473337388365 67.89698078707183 20.024984394500787 10.0 100.34440691936945 97.12878049270464 0.0 62.625873247404705 74.46475676452586 43.60045871318328 18.027756377319946 46.69047011971501 73.76313442364011 42.44997055358225 10.0 78.74642849044012 73.00684899377592 12.083045973594572 77.12976079309465 96.51942809610924 10.0 37.64306044943742 88.05679985100527 15.0 10.198039027185569 32.984845004941285 58.008620049092706 53.31041174104736 76.32168761236873 46.04345773288535 62.625873247404705 0.0 101.23734488813898 65.0 46.52956049652737 61.26989472816156 99.92497185388645 60.03332407921454 57.706152185014034 102.18121158021175 92.97311439335567 54.589376255824725 104.38869670610895 50.08991914547278 92.69843580125827 111.80339887498948 18.788294228055936 86.7294644281861 95.81753492967766 77.62087348130012 93.74433316206373 72.56031973468694 71.47027354082255 102.82509421342633 74.46475676452586 101.23734488813898 0.0 37.656340767525464 71.00704190430693 40.162171256046406 1.4142135623730951 42.20189569201838 66.91038783328041 5.830951894845301 11.180339887498949 67.47592163134935 3.1622776601683795 58.728187440104094 55.90169943749474 82.37718130647589 30.675723300355934 50.11985634456667 58.69412236331676 47.50789408087881 60.41522986797286 38.48376280978771 62.81719509815764 77.07788269017254 43.60045871318328 65.0 37.656340767525464 0.0 34.92849839314596 6.082762530298219 36.49657518178932 5.0 34.132096331752024 40.049968789001575 32.14031735997639 33.54101966249684 40.792156108742276 89.87213138676528 36.6742416417845 77.78174593052023 65.52098900352466 33.52610922848042 36.89173349139343 50.00999900019995 27.018512172212592 8.06225774829855 84.62860036654276 79.1012010022604 18.027756377319946 46.52956049652737 71.00704190430693 34.92849839314596 0.0 35.84689665786984 70.02856560004639 31.953090617340916 11.180339887498949 74.24284477308234 66.91038783328041 8.06225774829855 74.0 55.226805085936306 52.55473337388365 76.84399781375251 30.265491900843113 46.61544808322666 55.65968020030299 41.88078318274385 62.26556030423239 40.496913462633174 57.28001396647874 71.17583859709698 46.69047011971501 61.26989472816156 40.162171256046406 6.082762530298219 35.84689665786984 0.0 38.897300677553446 4.242640687119285 36.87817782917155 41.773197148410844 33.13608305156178 35.805027579936315 43.32435804486894 49.16299421312742 91.4166286842826 110.39021695784459 17.46424919657298 85.44003745317531 94.5568612000208 76.21679604916491 92.9623579735368 71.7007670809734 70.21395872616783 101.41498903022176 73.76313442364011 99.92497185388645 1.4142135623730951 36.49657518178932 70.02856560004639 38.897300677553446 0.0 41.0 66.09841147864296 5.656854249492381 9.848857801796104 66.61080993352356 4.47213595499958 59.464274989274024 50.99019513592785 77.69813382572325 33.734255586866 45.17742799230607 53.85164807134504 42.941821107167776 58.180752831155424 36.359317925395686 61.032778078668514 72.80109889280519 42.44997055358225 60.03332407921454 42.20189569201838 5.0 31.953090617340916 4.242640687119285 41.0 0.0 32.64965543462902 44.28317965096906 36.0 31.622776601683793 45.35416188179427 92.09777413162601 47.853944456021594 88.45903006477066 64.40496875241847 44.598206241955516 48.02082881417188 59.21148537234985 26.92582403567252 6.324555320336759 90.4267659490264 89.00561780022652 10.0 57.706152185014034 66.91038783328041 34.132096331752024 11.180339887498949 36.87817782917155 66.09841147864296 32.64965543462902 0.0 70.83078426785913 64.51356446515724 3.1622776601683795 69.72087205421343 45.0 93.96275858019496 110.75197515168747 16.278820596099706 87.93179174792243 97.26767191621273 77.10382610480494 97.74456506629922 76.2954782408499 67.77905281132217 101.13851887386922 78.74642849044012 102.18121158021175 5.830951894845301 40.049968789001575 74.24284477308234 41.773197148410844 5.656854249492381 44.28317965096906 70.83078426785913 0.0 9.433981132056603 71.19691004531025 6.0 40.792156108742276 84.8999411071645 101.41498903022176 7.615773105863909 78.84795495128583 88.29496021857646 67.67569726275453 91.39474820797966 69.6419413859206 60.440052945046304 92.02173656261873 73.00684899377592 92.97311439335567 11.180339887498949 32.14031735997639 66.91038783328041 33.13608305156178 9.848857801796104 36.0 64.51356446515724 9.433981132056603 0.0 64.5600495662759 13.601470508735444 90.9065454189081 44.721359549995796 85.32877591996736 64.07807737440318 41.43669871020132 44.94441010848846 56.32051136131489 26.92582403567252 5.0990195135927845 88.32326986700618 86.0 12.083045973594572 54.589376255824725 67.47592163134935 33.54101966249684 8.06225774829855 35.805027579936315 66.61080993352356 31.622776601683793 3.1622776601683795 71.19691004531025 64.5600495662759 0.0 70.34912934784623 51.0 95.85927185202274 114.69088891450794 21.095023109728988 89.88882021697692 98.97979591815695 80.60397012554654 96.5090669315583 75.4254598925323 73.38937252763509 105.55093557141026 77.12976079309465 104.38869670610895 3.1622776601683795 40.792156108742276 74.0 43.32435804486894 4.47213595499958 45.35416188179427 69.72087205421343 6.0 13.601470508735444 70.34912934784623 0.0

rob_x  64 23 3 38 78 5 28 26 36 16 59 68 69 4 6 70 4 17 71 8
rob_y  64 12 20 91 67 25 6 9 93 6 68 71 58 21 22 66 17 9 77 11
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.03263620675250393 0.06532178340257844 0.12138564444914245 0.18057267529575316 0.02497729139576451 0.059514462047358455 0.16428968337628558 0.05970061810786978 0.029503899703606902 0.04554042426732834 0.16940313374054214 0.07582200706740533 0.10283513528148595 0.1159373006174412 0.13871603635561236 0.08689430391630712 0.037900428874262065 0.15440705871147545 0.19240045956340782 1.013658247363805

