time 2020-01-07 17:28:03
20_24_CLUSTERED_RANDOM_SVLCV_UNITARY_LVSCV_thre0.1
robNum  20
taskNum  24
comp_threhold  0.1
rob2tskDis  19.1049731745428 66.27216610312357 63.694583757176716 43.829214001622255 75.71657678474378 21.93171219946131 86.83317338436964 81.05553651663777 51.24451190127583 27.65863337187866 27.294688127912362 59.90826320300064 30.479501308256342 71.58910531638176 49.8196748283246 29.832867780352597 11.045361017187261 26.248809496813376 44.204072210600685 24.186773244895647 14.7648230602334 49.76946855251722 50.039984012787215 29.154759474226502 63.89053137985315 45.044422518220834 17.4928556845359 88.0 5.830951894845301 86.1278120005379 32.202484376209235 13.0 38.01315561749642 105.11898020814318 51.10772935672255 26.0 78.40918313565064 54.037024344425184 77.64663547121665 107.35455276791944 87.66413177577246 98.03060746521976 35.11409973215888 66.70832032063167 79.37883848986453 29.732137494637012 70.8590149522275 84.17244204607586 31.89043743820395 33.97057550292606 16.76305461424021 66.09841147864296 30.479501308256342 58.077534382926416 50.21951811795888 37.73592452822641 16.1245154965971 74.33034373659252 19.924858845171276 15.524174696260024 47.885279575251516 43.41658669218482 60.03332407921454 76.55063683601855 56.92099788303083 68.8839603971781 11.313708498984761 40.311288741492746 50.35871324805669 3.0 54.644304369257 58.309518948453004 16.278820596099706 63.00793600809346 63.06346010171025 49.64876634922564 76.21679604916491 27.65863337187866 89.05054744357274 82.07313811473277 49.03060268852505 30.01666203960727 27.65863337187866 58.52349955359813 24.758836806279895 67.7421582177598 55.31726674375732 32.0624390837628 15.231546211727817 30.870698080866262 45.254833995939045 29.0 20.591260281974 49.24428900898052 55.226805085936306 34.9857113690718 43.01162633521314 5.0 27.16615541441225 92.13034245024816 45.0111097397076 79.30952023559341 71.449282711585 54.00925846556311 13.601470508735444 89.05054744357274 41.23105625617661 18.439088914585774 46.51881339845203 14.422205101855956 88.0056816347672 91.08786966440702 73.10950690573696 87.69264507357501 40.36087214122113 64.88451279003334 70.83078426785913 27.202941017470888 83.09632964216891 81.93289937503738 16.401219466856727 57.706152185014034 63.41135544995076 61.29437168288782 78.5175139698144 39.20459156782532 94.41398201537736 85.27602242131137 46.51881339845203 37.107950630558946 31.76476034853718 57.4543296888929 13.601470508735444 61.0 66.48308055437865 38.8329756778952 25.612496949731394 41.048751503547585 49.39635614091387 39.45883931389772 32.2490309931942 50.24937810560445 65.92419889539804 46.647615158762406 43.174066289845804 14.866068747318506 16.1245154965971 86.7294644281861 34.058772731852805 76.4198926981712 60.40695324215582 43.04648650006177 10.44030650891055 89.10667763978185 37.33630940518894 7.615773105863909 51.40038910358559 24.698178070456937 81.12336284942828 91.2414379544733 72.3394774656273 86.0 32.202484376209235 60.166435825965294 68.18357573492314 18.601075237738275 75.71657678474378 77.87810988975015 62.48199740725323 52.46903848937962 22.0 79.30952023559341 5.656854249492381 79.84985911070852 22.561028345356956 6.4031242374328485 41.773197148410844 100.4987562112089 48.104053883222775 31.016124838541646 79.25906888173743 61.98386886924694 68.06614430096654 102.7277956543408 83.21658488546619 92.19544457292888 30.610455730027933 60.166435825965294 73.79024325749306 29.966648127543394 61.1310068623117 76.92203845452875 41.43669871020132 11.661903789690601 20.024984394500787 87.32124598286491 38.118237105091836 75.95393340703298 64.28063471995279 47.095647357266465 9.055385138137417 87.5728268357257 37.107950630558946 11.180339887498949 48.25971404805462 21.470910553583888 82.37718130647589 89.67719888578144 71.06335201775947 85.09406559801923 33.97057550292606 60.40695324215582 67.60177512462228 20.518284528683193 77.20103626247513 77.88452991448301 66.52818951391959 49.040799340956916 21.02379604162864 88.09086218218096 5.0990195135927845 87.28115489611719 28.653097563788805 9.433981132056603 41.6293165929973 106.89246933250256 53.25410782277739 29.732137494637012 81.60882305241266 58.034472514187634 77.23341245859851 109.12836478203089 89.47066558375433 99.36800289831733 36.6742416417845 67.72001181334805 80.77747210701756 32.55764119219941 70.34912934784623 84.92938243034621 49.040799340956916 21.02379604162864 10.816653826391969 88.32326986700618 27.073972741361768 80.00624975587844 54.12947441089743 36.05551275463989 17.204650534085253 94.36630754670864 41.048751503547585 7.0 58.89821729050889 30.4138126514911 81.43709228600933 96.54014708917737 77.27871634544663 90.27181176868004 32.31098884280702 62.64982043070834 72.02777242147643 19.4164878389476 75.59100475585703 80.62257748298549 20.248456731316587 64.38167441127949 67.95586803212802 56.462376853972415 82.13403679352427 33.61547262794322 96.25487000666512 88.41379982785493 52.20153254455275 29.832867780352597 34.058772731852805 62.609903369994115 20.591260281974 68.0294054067798 62.96824596572466 31.575306807693888 19.1049731745428 34.20526275297414 51.85556864985669 37.013511046643494 27.51363298439521 54.405882034941776 63.12685640834652 41.6293165929973 41.012193308819754 6.708203932499369 27.018512172212592 90.35485598461214 45.09988913511872 77.3692445355388 71.25307010929424 54.08326913195984 12.041594578792296 87.05170877128145 39.395431207184416 18.110770276274835 44.721359549995796 15.620499351813308 86.40023148117139 89.08984229416954 71.11258679024411 85.70880934886448 39.05124837953327 63.071388124885914 68.8839603971781 26.076809620810597 81.5659242576212 80.05623023850174 38.18376618407357 36.89173349139343 13.038404810405298 67.468511173732 24.041630560342615 61.66036003787198 43.73785545725808 31.064449134018133 20.615528128088304 79.30952023559341 25.059928172283335 15.620499351813308 54.589376255824725 46.647615158762406 60.00833275470999 81.54140052758476 61.84658438426491 73.00684899377592 11.180339887498949 43.01162633521314 54.3415126767741 6.0 54.120236510939236 61.0 18.027756377319946 62.289646009589745 65.73431371817918 56.36488268416781 79.98124780221924 33.83784863137726 94.33981132056604 86.31338250816034 49.9799959983992 31.575306807693888 32.01562118716424 60.37383539249432 19.4164878389476 66.06814663663572 62.369864518050704 33.37663853655727 19.849433241279208 35.22782990761707 49.8196748283246 36.013886210738214 27.313000567495326 52.20153254455275 62.289646009589745 41.593268686170845 23.194827009486403 70.34912934784623 67.06713054842886 41.23105625617661 78.54934754662193 18.601075237738275 88.61715409558128 83.60023923410746 55.14526271584895 24.041630560342615 30.463092423455635 63.56099432828282 33.94112549695428 75.7099729229908 48.25971404805462 26.248809496813376 7.0 22.135943621178654 46.87216658103186 24.041630560342615 12.36931687685298 53.14132102234569 49.040799340956916 26.40075756488817 40.44749683231337 12.206555615733702 20.0 86.4060183089118 38.2099463490856 74.96665925596525 64.19501538281614 47.16990566028302 8.06225774829855 86.57944328765345 36.138621999185304 11.045361017187261 47.43416490252569 21.95449840010015 81.54140052758476 88.68483523128404 70.06425622241343 84.09518416651456 33.24154027718932 59.464274989274024 66.61080993352356 19.849433241279208 76.40026177965623 76.92203845452875 51.62363799656123 12.649110640673518 21.095023109728988 95.85927185202274 36.6742416417845 85.58621384311844 64.03124237432849 45.5411901469428 19.026297590440446 97.73944955850733 46.52956049652737 15.0 57.8013840664737 21.0 89.94442728707543 99.84988733093293 81.15417426109393 95.02105029939419 40.8166632639171 69.3757882838098 77.31752712031083 27.294688127912362 84.38009243891595 87.0976463516667 13.92838827718412 60.00833275470999 61.40032573203501 52.839379254491625 75.16648189186454 31.144823004794873 89.04493247793498 81.32035415564789 46.57252408878007 33.015148038438355 26.90724809414742 56.462376853972415 21.2602916254693 64.4980619863884 57.97413216254298 35.0 18.788294228055936 34.438350715445125 44.68780594300866 31.144823004794873 23.853720883753127 47.70744176750625 57.55866572463264 38.27531841800928 36.68787265568828 19.209372712298546 15.811388300841896 79.84985911070852 34.20526275297414 69.35416353759881 59.0 42.95346318982906 5.0 82.37718130647589 30.265491900843113 7.211102550927978 46.69047011971501 28.844410203711913 74.62573282722254 84.52810183601665 65.49045732013177 79.00632886041473 26.1725046566048 53.16013544000805 61.1310068623117 12.806248474865697 69.40461079784254 70.83078426785913
tskDis  0.0 47.16990566028302 47.70744176750625 56.586217403180434 62.22539674441618 38.47076812334269 78.26237921249263 68.8839603971781 32.7566787083184 46.17358552246078 15.811388300841896 42.5440947723653 21.02379604162864 52.630789467763066 58.180752831155424 48.25971404805462 30.14962686336267 45.12205669071391 33.12099032335839 30.528675044947494 30.01666203960727 34.20526275297414 56.08029957123981 43.41658669218482 47.16990566028302 0.0 30.805843601498726 97.06183596038146 48.093658625644196 83.93449827097318 74.96665925596525 57.07889277132134 18.601075237738275 93.0 46.09772228646444 22.47220505424423 49.040799340956916 9.848857801796104 93.00537618869137 95.00526301210897 77.31752712031083 92.07062506576133 45.27692569068709 69.77822009767804 75.43208866258443 32.01562118716424 88.09086218218096 86.7294644281861 47.70744176750625 30.805843601498726 0.0 80.4114419718985 18.439088914585774 74.43117626371358 44.28317965096906 27.294688127912362 20.615528128088304 91.0823802938856 36.68787265568828 9.055385138137417 61.07372593840988 40.52159917870962 72.44998274671983 93.30058949438637 73.68174807915459 85.5102333057278 24.186773244895647 56.0 66.91038783328041 13.92838827718412 66.30987860040162 74.00675644831355 56.586217403180434 97.06183596038146 80.4114419718985 0.0 83.05419917138447 23.53720459187964 79.47955712005447 83.86298349093002 78.7210264160726 45.5411901469428 51.10772935672255 81.60882305241266 73.78346698278686 104.95713410721541 14.866068747318506 46.87216658103186 39.05124837953327 31.400636936215164 56.293871780150276 27.459060435491963 29.068883707497267 68.96375859826666 21.095023109728988 14.866068747318506 62.22539674441618 48.093658625644196 18.439088914585774 83.05419917138447 0.0 82.21921916437786 27.51363298439521 9.0 38.897300677553446 102.0 48.60041152089147 27.459060435491963 77.93587107359485 57.42821606144492 72.3394774656273 104.23531071570709 84.59905436823747 94.33981132056604 31.76476034853718 62.6418390534633 75.76938695805846 28.600699292150182 65.49045732013177 79.83107164506812 38.47076812334269 83.93449827097318 74.43117626371358 23.53720459187964 82.21921916437786 0.0 86.40023148117139 85.492689745966 66.91038783328041 25.059928172283335 39.11521443121589 73.00684899377592 52.40229002629561 90.47651629014017 33.54101966249684 26.92582403567252 15.524174696260024 12.806248474865697 51.19570294468082 19.697715603592208 8.54400374531753 61.07372593840988 36.40054944640259 9.0 78.26237921249263 74.96665925596525 44.28317965096906 79.47955712005447 27.51363298439521 86.40023148117139 0.0 19.235384061671343 63.071388124885914 109.71326264403953 62.64982043070834 53.150729063673246 97.14422267947796 84.52810183601665 65.80273550544841 111.8659912573969 93.34880824091971 99.20181449953424 45.18849411078001 67.35725647619564 82.13403679352427 49.64876634922564 58.82176467941097 81.30190649671138 68.8839603971781 57.07889277132134 27.294688127912362 83.86298349093002 9.0 85.492689745966 19.235384061671343 0.0 47.53945729601885 106.53168542738823 54.45181356024793 36.345563690772494 85.58621384311844 66.37017402418047 72.02777242147643 108.75660899458019 89.30845424706443 97.94386147176351 36.87817782917155 65.79513659838392 79.64923100695951 36.235341863986875 65.00769185258002 82.21921916437786 32.7566787083184 18.601075237738275 20.615528128088304 78.7210264160726 38.897300677553446 66.91038783328041 63.071388124885914 47.53945729601885 0.0 78.77182237323191 28.160255680657446 12.206555615733702 41.773197148410844 27.586228448267445 74.4043009509531 80.89499366462674 62.12889826803627 76.05918747922567 27.202941017470888 51.62363799656123 58.54912467321779 14.866068747318506 69.52697318307479 68.96375859826666 46.17358552246078 93.0 91.0823802938856 45.5411901469428 102.0 25.059928172283335 109.71326264403953 106.53168542738823 78.77182237323191 0.0 54.42425929675111 87.55569655939013 49.9799959983992 97.41663102366043 57.87054518492115 2.23606797749979 17.46424919657298 14.142135623730951 70.2353187506115 42.42640687119285 27.586228448267445 77.1621668954417 61.326992425847855 33.24154027718932 15.811388300841896 46.09772228646444 36.68787265568828 51.10772935672255 48.60041152089147 39.11521443121589 62.64982043070834 54.45181356024793 28.160255680657446 54.42425929675111 0.0 34.058772731852805 36.22154055254967 53.85164807134504 48.83646178829912 56.64803615307419 37.0 49.25444142409901 17.804493814764857 23.706539182259394 31.0 22.80350850198276 45.221676218380054 40.80441152620633 42.5440947723653 22.47220505424423 9.055385138137417 81.60882305241266 27.459060435491963 73.00684899377592 53.150729063673246 36.345563690772494 12.206555615733702 87.55569655939013 34.058772731852805 0.0 53.74011537017761 32.31098884280702 75.13321502504735 89.73850901368932 70.40596565632774 83.2946576918352 25.942243542145693 55.731499172371095 65.03076195155643 12.649110640673518 69.46221994724903 73.68174807915459 21.02379604162864 49.040799340956916 61.07372593840988 73.78346698278686 77.93587107359485 52.40229002629561 97.14422267947796 85.58621384311844 41.773197148410844 49.9799959983992 36.22154055254967 53.74011537017761 0.0 50.635955604688654 77.62087348130012 51.54609587543949 39.20459156782532 54.644304369257 52.20153254455275 49.9799959983992 45.0 49.39635614091387 76.24303246854758 59.405386961116584 52.630789467763066 9.848857801796104 40.52159917870962 104.95713410721541 57.42821606144492 90.47651629014017 84.52810183601665 66.37017402418047 27.586228448267445 97.41663102366043 53.85164807134504 32.31098884280702 50.635955604688654 0.0 101.67103815738285 99.32270636667126 82.56512580987206 97.74456506629922 54.67174773134658 77.52418977325722 81.93289937503738 41.617304093369626 97.0 93.94147114027967 58.180752831155424 93.00537618869137 72.44998274671983 14.866068747318506 72.3394774656273 33.54101966249684 65.80273550544841 72.02777242147643 74.4043009509531 57.87054518492115 48.83646178829912 75.13321502504735 77.62087348130012 101.67103815738285 0.0 59.464274989274024 48.041648597857254 44.01136216933077 49.193495504995376 27.730849247724095 36.05551275463989 62.64982043070834 7.0710678118654755 24.73863375370596 48.25971404805462 95.00526301210897 93.30058949438637 46.87216658103186 104.23531071570709 26.92582403567252 111.8659912573969 108.75660899458019 80.89499366462674 2.23606797749979 56.64803615307419 89.73850901368932 51.54609587543949 99.32270636667126 59.464274989274024 0.0 19.697715603592208 15.524174696260024 72.47068372797375 44.553338819890925 29.732137494637012 79.37883848986453 63.071388124885914 34.92849839314596 30.14962686336267 77.31752712031083 73.68174807915459 39.05124837953327 84.59905436823747 15.524174696260024 93.34880824091971 89.30845424706443 62.12889826803627 17.46424919657298 37.0 70.40596565632774 39.20459156782532 82.56512580987206 48.041648597857254 19.697715603592208 0.0 15.652475842498529 52.839379254491625 26.92582403567252 12.649110640673518 59.77457653551382 49.8196748283246 24.331050121192877 45.12205669071391 92.07062506576133 85.5102333057278 31.400636936215164 94.33981132056604 12.806248474865697 99.20181449953424 97.94386147176351 76.05918747922567 14.142135623730951 49.25444142409901 83.2946576918352 54.644304369257 97.74456506629922 44.01136216933077 15.524174696260024 15.652475842498529 0.0 62.93647591023825 32.2490309931942 18.681541692269406 71.84705978674423 47.885279575251516 19.72308292331602 33.12099032335839 45.27692569068709 24.186773244895647 56.293871780150276 31.76476034853718 51.19570294468082 45.18849411078001 36.87817782917155 27.202941017470888 70.2353187506115 17.804493814764857 25.942243542145693 52.20153254455275 54.67174773134658 49.193495504995376 72.47068372797375 52.839379254491625 62.93647591023825 0.0 32.14031735997639 44.27188724235731 13.601470508735444 43.56604182158393 50.039984012787215 30.528675044947494 69.77822009767804 56.0 27.459060435491963 62.6418390534633 19.697715603592208 67.35725647619564 65.79513659838392 51.62363799656123 42.42640687119285 23.706539182259394 55.731499172371095 49.9799959983992 77.52418977325722 27.730849247724095 44.553338819890925 26.92582403567252 32.2490309931942 32.14031735997639 0.0 14.866068747318506 43.289721643826724 26.476404589747453 18.027756377319946 30.01666203960727 75.43208866258443 66.91038783328041 29.068883707497267 75.76938695805846 8.54400374531753 82.13403679352427 79.64923100695951 58.54912467321779 27.586228448267445 31.0 65.03076195155643 45.0 81.93289937503738 36.05551275463989 29.732137494637012 12.649110640673518 18.681541692269406 44.27188724235731 14.866068747318506 0.0 53.33854141237835 37.33630940518894 14.422205101855956 34.20526275297414 32.01562118716424 13.92838827718412 68.96375859826666 28.600699292150182 61.07372593840988 49.64876634922564 36.235341863986875 14.866068747318506 77.1621668954417 22.80350850198276 12.649110640673518 49.39635614091387 41.617304093369626 62.64982043070834 79.37883848986453 59.77457653551382 71.84705978674423 13.601470508735444 43.289721643826724 53.33854141237835 0.0 57.14017850864661 61.29437168288782 56.08029957123981 88.09086218218096 66.30987860040162 21.095023109728988 65.49045732013177 36.40054944640259 58.82176467941097 65.00769185258002 69.52697318307479 61.326992425847855 45.221676218380054 69.46221994724903 76.24303246854758 97.0 7.0710678118654755 63.071388124885914 49.8196748283246 47.885279575251516 43.56604182158393 26.476404589747453 37.33630940518894 57.14017850864661 0.0 28.178005607210743 43.41658669218482 86.7294644281861 74.00675644831355 14.866068747318506 79.83107164506812 9.0 81.30190649671138 82.21921916437786 68.96375859826666 33.24154027718932 40.80441152620633 73.68174807915459 59.405386961116584 93.94147114027967 24.73863375370596 34.92849839314596 24.331050121192877 19.72308292331602 50.039984012787215 18.027756377319946 14.422205101855956 61.29437168288782 28.178005607210743 0.0

rob_x  71 3 28 68 9 62 10 12 11 3 6 69 11 25 67 75 12 1 65 17
rob_y  71 32 52 76 74 86 63 25 67 28 56 84 74 46 83 70 67 65 78 62
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.09039947774063023 0.029657083602078457 0.02374962171890544 0.056421855247278274 0.18254681476691584 0.13913521053354339 0.1756804161965354 0.08397175051579935 0.16155434197013907 0.025594317417373225 0.11820863204250097 0.09443722235138034 0.18063383951476963 0.1906983010645419 0.066253336962117 0.060572106220107 0.11522100598898957 0.09848263943731529 0.16437904797533884 0.04886463429899298

