time 2020-01-07 17:28:03
20_24_RANDOMCLUSTERED_CLUSTERED_LVLCV_LVSCV_MSVFLV_thre0.1
robNum  20
taskNum  24
comp_threhold  0.1
rob2tskDis  64.32728814430156 70.00714249274856 13.601470508735444 52.08646657242167 15.620499351813308 42.638011210655684 66.76076692189807 17.0 39.20459156782532 49.24428900898052 70.3846574190711 70.00714249274856 64.51356446515724 60.63827174318213 25.612496949731394 20.591260281974 61.40032573203501 37.64306044943742 18.439088914585774 40.36087214122113 50.44799302251776 10.44030650891055 48.093658625644196 8.06225774829855 70.3846574190711 78.03204469959762 2.23606797749979 66.007575322837 14.560219778561036 53.23532661682466 73.79024325749306 6.082762530298219 50.08991914547278 62.64982043070834 78.54934754662193 78.03204469959762 72.069410986909 73.97972695272672 18.110770276274835 12.649110640673518 66.40783086353596 48.30113870293329 4.47213595499958 50.60632371551998 57.245087125446844 4.123105625617661 62.20128616033595 13.45362404707371 44.384682042344295 33.83784863137726 83.60023923410746 49.040799340956916 72.47068372797375 75.96051605933177 39.35733730830886 87.6184911990614 73.68174807915459 57.3149195236284 33.015148038438355 33.83784863137726 36.24913792078372 60.207972893961475 96.20810776644555 80.49844718999243 49.33558553417604 74.33034373659252 87.65842800324451 76.84399781375251 42.1070065428546 80.60397012554654 43.41658669218482 69.8927750200262 68.09552114493287 64.51356446515724 60.530983801686226 8.602325267042627 57.55866572463264 34.0147027033899 66.2117814289874 63.150613615387776 32.2490309931942 15.033296378372908 64.19501538281614 64.51356446515724 62.64982043070834 21.633307652783937 67.4166151627327 65.27633568147036 69.63476143421474 33.28663395418648 65.49045732013177 35.35533905932738 57.0087712549569 57.42821606144492 1.4142135623730951 51.088159097779204 88.48163651289458 83.6301381082203 76.23647421018367 13.038404810405298 76.24303246854758 34.48187929913333 86.09297300012354 78.02563681252464 34.92849839314596 15.033296378372908 83.19254774317228 83.6301381082203 82.49242389456137 5.656854249492381 79.63039620647382 83.43260753446461 90.4267659490264 36.76955262170047 81.2219182240853 37.12142238654117 77.98717843338096 73.33484846919642 19.849433241279208 69.12307863514182 92.41753080449618 87.23531395025755 80.39900496896712 17.4928556845359 80.65358020571685 37.16180835212409 89.88882021697692 82.09750300709517 37.94733192202055 19.026297590440446 86.76981041814025 87.23531395025755 86.28441342444185 8.246211251235321 83.38465086573187 87.80091115700337 94.49338601193207 39.84971769034255 85.37564055396598 39.92492955535426 82.13403679352427 77.52418977325722 24.20743687382041 73.49829930005184 42.05948168962618 30.886890422961002 85.27602242131137 53.009433122794285 73.57309290766564 79.55501241279521 36.76955262170047 89.37561188601732 77.20103626247513 61.204574992397426 30.01666203960727 30.886890422961002 33.83784863137726 64.28063471995279 98.29038610159185 81.49233092751734 47.29693436154187 77.79460135510689 89.20201791439474 80.36168241145776 41.012193308819754 82.3286098510111 47.265209192385896 71.40028011149536 41.43669871020132 41.012193308819754 48.82622246293481 36.796738985948195 38.897300677553446 51.35172830587107 40.792156108742276 52.80151512977634 48.16637831516918 40.8166632639171 41.0 41.012193308819754 37.48332962798263 49.678969393496885 61.5223536610881 47.12748667179272 42.05948168962618 48.041648597857254 53.0 51.088159097779204 29.154759474226502 45.803929962395145 29.698484809834994 35.35533905932738 25.612496949731394 19.313207915827967 68.6804193347711 53.48831648126533 55.44366510251645 74.0 22.02271554554524 73.0 71.02816342831905 59.90826320300064 18.973665961010276 19.313207915827967 18.439088914585774 66.30987860040162 83.00602387778854 63.00793600809346 29.5296461204668 71.11258679024411 72.12489168102785 74.06078584514209 21.095023109728988 65.94694837519019 46.486557196677836 54.48853090330111 54.74486277268398 60.166435825965294 21.400934559032695 49.47726750741192 14.317821063276353 46.22769732530488 57.0087712549569 25.495097567963924 42.638011210655684 48.33218389437829 60.53924347066124 60.166435825965294 54.70831746635972 59.61543424315552 35.22782990761707 22.02271554554524 52.08646657242167 41.400483088968905 25.553864678361276 44.40720662234904 40.792156108742276 18.439088914585774 44.40720662234904 8.246211251235321 28.160255680657446 17.204650534085253 79.30952023559341 59.22837157984339 65.94694837519019 82.29823813423954 22.847319317591726 83.6301381082203 79.51100552753688 66.48308055437865 16.401219466856727 17.204650534085253 19.924858845171276 71.56814934033156 93.60021367496978 73.40980860893181 33.54101966249684 79.76214641043707 82.73451516749222 82.60750571225353 28.635642126552707 76.57675887630658 52.61178575186362 65.11528238439882 57.706152185014034 45.35416188179427 101.25709851659784 59.77457653551382 90.35485598461214 89.05054744357274 51.97114584074513 105.20931517693668 87.20665112249179 68.62215385719105 44.384682042344295 45.35416188179427 49.49747468305833 68.8839603971781 113.45483682946268 98.38699100999075 63.387695966961914 88.11923740024082 105.39449701004318 90.33825324855468 58.215118311311535 98.22932352408826 55.54277630799526 87.66413177577246 39.35733730830886 29.732137494637012 78.24321056807422 48.16637831516918 66.73080248281148 73.54590403278758 34.66987164671943 82.3286098510111 71.06335201775947 56.0 29.0 29.732137494637012 31.38470965295043 60.01666435249463 91.21951545584969 74.70609078247904 44.01136216933077 71.56814934033156 82.20097323024831 74.21590126111789 36.22154055254967 75.28612089887484 42.0 64.40496875241847 91.00549433962765 96.46242791885346 23.08679276123039 62.39390995922599 38.2099463490856 39.01281840626232 93.40770846134703 20.12461179749811 37.05401462729781 56.04462507680822 96.79876032264049 96.46242791885346 91.09335870413386 66.09841147864296 11.661903789690601 37.94733192202055 87.96590248499699 35.05709628591621 25.059928172283335 36.013886210738214 77.12976079309465 23.345235059857504 61.29437168288782 33.06055050963308 78.39005038906404 76.15773105863909 57.21887800367987 10.0 57.9396237474839 21.095023109728988 77.1621668954417 59.00847396772772 19.849433241279208 4.47213595499958 75.92759709091287 76.15773105863909 73.68174807915459 15.811388300841896 61.0 64.8459713474939 79.17701686727027 21.213203435596427 62.20128616033595 22.80350850198276 66.24198064671678 54.3323108288245 12.649110640673518 50.59644256269407 31.78049716414141 40.45985664828782 40.162171256046406 63.8200595424354 24.166091947189145 69.35416353759881 35.510561809129406 44.598206241955516 65.76473218982953 65.79513659838392 41.10960958218893 40.45985664828782 34.20526275297414 76.05918747922567 56.32051136131489 30.0 27.892651361962706 64.8459713474939 42.04759208325728 67.97793759742936 19.209372712298546 38.3275357934736 57.14017850864661 27.294688127912362 53.08483775994799 57.28001396647874 26.92582403567252 43.965895873961216 20.09975124224178 43.56604182158393 54.74486277268398 30.805843601498726 39.96248240537617 43.41658669218482 57.56735185849702 57.28001396647874 52.172789842982326 54.56189146281496 39.698866482558415 28.0 51.088159097779204 38.948684188300895 31.304951684997057 42.05948168962618 39.05124837953327 23.853720883753127 38.63935817272331 14.317821063276353 92.9623579735368 88.63972021616495 75.95393340703298 16.401219466856727 77.25283166331187 31.016124838541646 90.82400563727631 77.41446893184762 32.01562118716424 14.866068747318506 88.23831367382311 88.63972021616495 87.23531395025755 3.605551275463989 78.10249675906654 84.11896337925236 94.62557793746889 33.95585369269929 80.89499366462674 33.83784863137726 82.00609733428362 73.16419889536138 23.600847442411894 69.8927750200262 33.24154027718932 41.400483088968905 38.62641583165593 61.85466837676846 22.825424421026653 67.11929677819934 36.71511950137164 43.08131845707603 63.52952069707436 63.702433234531945 42.01190307520001 41.400483088968905 35.22782990761707 74.02702209328699 54.70831746635972 29.068883707497267 29.614185789921695 62.609903369994115 40.70626487409524 65.7419196555744 20.248456731316587 36.68787265568828 55.226805085936306 25.495097567963924 23.08679276123039 12.727922061357855 76.83749084919418 61.40032573203501 62.93647591023825 83.02409288875127 17.88854381999832 81.21576201698781 80.09993757800315 68.24954212300622 12.041594578792296 12.727922061357855 14.866068747318506 74.0 91.52595260361949 70.178344238091 28.442925306655784 80.22468448052632 80.05623023850174 83.15046602394962 24.041630560342615 74.2024258363566 54.57105459856901 62.625873247404705
tskDis  0.0 13.152946437965905 71.8679344353238 76.66159403508382 55.94640292279746 92.19544457292888 6.082762530298219 76.32168761236873 88.84255736976509 81.85963596303125 14.142135623730951 13.152946437965905 8.246211251235321 89.69392398596462 87.92041856133307 61.40032573203501 6.324555320336759 88.45903006477066 73.824115301167 91.59148432032315 14.035668847618199 69.8927750200262 69.46221994724903 58.52349955359813 13.152946437965905 0.0 79.25906888173743 72.80109889280519 64.07027391856539 92.26592003551474 7.0710678118654755 83.72574275573791 89.1403387922662 79.12016177940993 1.0 0.0 6.4031242374328485 85.61541917201598 94.81033698917012 70.43436661176133 19.4164878389476 89.05054744357274 81.83520025025906 92.0869154657707 21.2602916254693 76.94153624668537 65.7875368135941 65.29931086925804 71.8679344353238 79.25906888173743 0.0 65.00769185258002 16.278820596099706 51.42956348249516 75.15317691222374 4.47213595499958 48.33218389437829 61.40032573203501 79.75587752636166 79.25906888173743 73.35529974037323 72.69112738154499 16.278820596099706 14.866068747318506 68.00735254367721 46.51881339845203 5.0 48.76474136094644 58.60034129593445 3.1622776601683795 61.40032573203501 14.212670403551895 76.66159403508382 72.80109889280519 65.00769185258002 0.0 63.788713735268246 30.610455730027933 74.68600939935136 67.1863081289633 29.698484809834994 8.94427190999916 72.44998274671983 72.80109889280519 71.11258679024411 13.038404810405298 70.09279563550022 71.19691004531025 78.2368199762746 31.144823004794873 70.00714249274856 32.55764119219941 65.60487786742691 62.0 7.211102550927978 56.88585061331157 55.94640292279746 64.07027391856539 16.278820596099706 63.788713735268246 0.0 58.05170109479997 59.53990258641679 20.615528128088304 54.56189146281496 62.39390995922599 64.63745044476924 64.07027391856539 57.982756057296896 73.7360156233031 32.55764119219941 8.246211251235321 51.86520991955976 53.075418038862395 17.88854381999832 55.86591089385369 43.04648650006177 15.0 58.69412236331676 7.810249675906654 92.19544457292888 92.26592003551474 51.42956348249516 30.610455730027933 58.05170109479997 0.0 92.07062506576133 51.62363799656123 3.605551275463989 21.93171219946131 92.19544457292888 92.26592003551474 88.81441324469807 29.068883707497267 49.49747468305833 63.00793600809346 91.76055797563569 5.0 55.94640292279746 3.0 78.84795495128583 49.24428900898052 33.54101966249684 50.24937810560445 6.082762530298219 7.0710678118654755 75.15317691222374 74.68600939935136 59.53990258641679 92.07062506576133 0.0 79.62411694957753 88.81441324469807 80.4114419718985 8.06225774829855 7.0710678118654755 3.605551275463989 87.65842800324451 91.0 65.45991139621256 12.36931687685298 88.56635930193812 77.41446893184762 91.6624241442479 16.55294535724685 73.00684899377592 67.54257916307313 61.465437442517235 76.32168761236873 83.72574275573791 4.47213595499958 67.1863081289633 20.615528128088304 51.62363799656123 79.62411694957753 0.0 48.703182647543684 63.071388124885914 84.21995013059554 83.72574275573791 77.82673062643708 74.24284477308234 12.041594578792296 18.24828759089466 72.42237223399962 46.8187996428785 5.0 48.84669896727925 63.071388124885914 7.0710678118654755 63.953107821277925 18.601075237738275 88.84255736976509 89.1403387922662 48.33218389437829 29.698484809834994 54.56189146281496 3.605551275463989 88.81441324469807 48.703182647543684 0.0 21.400934559032695 89.08984229416954 89.1403387922662 85.58621384311844 29.732137494637012 47.16990566028302 59.64059020499378 88.32326986700618 2.0 52.92447448959697 3.1622776601683795 75.43208866258443 46.06517122512408 31.906112267087632 46.75467891024384 81.85963596303125 79.12016177940993 61.40032573203501 8.94427190999916 62.39390995922599 21.93171219946131 80.4114419718985 63.071388124885914 21.400934559032695 0.0 78.84795495128583 79.12016177940993 76.89603370785778 11.40175425099138 64.6297145282261 69.26037828369117 82.85529554590944 23.021728866442675 66.37017402418047 24.08318915758459 69.9714227381436 58.54912467321779 14.0 55.02726596879042 14.142135623730951 1.0 79.75587752636166 72.44998274671983 64.63745044476924 92.19544457292888 8.06225774829855 84.21995013059554 89.08984229416954 78.84795495128583 0.0 1.0 7.211102550927978 85.23496934944014 95.25754563287887 71.06335201775947 20.396078054371138 89.02246907382428 82.37718130647589 92.04890004774636 21.93171219946131 77.41446893184762 65.45991139621256 65.76473218982953 13.152946437965905 0.0 79.25906888173743 72.80109889280519 64.07027391856539 92.26592003551474 7.0710678118654755 83.72574275573791 89.1403387922662 79.12016177940993 1.0 0.0 6.4031242374328485 85.61541917201598 94.81033698917012 70.43436661176133 19.4164878389476 89.05054744357274 81.83520025025906 92.0869154657707 21.2602916254693 76.94153624668537 65.7875368135941 65.29931086925804 8.246211251235321 6.4031242374328485 73.35529974037323 71.11258679024411 57.982756057296896 88.81441324469807 3.605551275463989 77.82673062643708 85.58621384311844 76.89603370785778 7.211102550927978 6.4031242374328485 0.0 84.07734534343957 89.05054744357274 64.20280367709809 14.0 85.37564055396598 75.8023746329889 88.45903006477066 15.0 71.11258679024411 63.97655820689325 59.50630218724736 89.69392398596462 85.61541917201598 72.69112738154499 13.038404810405298 73.7360156233031 29.068883707497267 87.65842800324451 74.24284477308234 29.732137494637012 11.40175425099138 85.23496934944014 85.61541917201598 84.07734534343957 0.0 75.23961722390672 80.65358020571685 91.2633551870629 31.622776601683793 77.64663547121665 31.78049716414141 78.60025445251433 69.87131027825369 20.248456731316587 66.40783086353596 87.92041856133307 94.81033698917012 16.278820596099706 70.09279563550022 32.55764119219941 49.49747468305833 91.0 12.041594578792296 47.16990566028302 64.6297145282261 95.25754563287887 94.81033698917012 89.05054744357274 75.23961722390672 0.0 30.066592756745816 84.20213774008353 45.17742799230607 16.1245154965971 46.52956049652737 74.46475676452586 18.027756377319946 68.00735254367721 29.546573405388315 61.40032573203501 70.43436661176133 14.866068747318506 71.19691004531025 8.246211251235321 63.00793600809346 65.45991139621256 18.24828759089466 59.64059020499378 69.26037828369117 71.06335201775947 70.43436661176133 64.20280367709809 80.65358020571685 30.066592756745816 0.0 56.79788728465171 58.008620049092706 14.0 60.60528029800704 49.20365840057018 15.264337522473747 66.37017402418047 14.317821063276353 6.324555320336759 19.4164878389476 68.00735254367721 78.2368199762746 51.86520991955976 91.76055797563569 12.36931687685298 72.42237223399962 88.32326986700618 82.85529554590944 20.396078054371138 19.4164878389476 14.0 91.2633551870629 84.20213774008353 56.79788728465171 0.0 87.80091115700337 69.6419413859206 90.95603333479313 13.0 66.21933252457322 71.02816342831905 55.10898293381942 88.45903006477066 89.05054744357274 46.51881339845203 31.144823004794873 53.075418038862395 5.0 88.56635930193812 46.8187996428785 2.0 23.021728866442675 89.02246907382428 89.05054744357274 85.37564055396598 31.622776601683793 45.17742799230607 58.008620049092706 87.80091115700337 0.0 51.07837115648854 3.1622776601683795 74.95331880577403 44.294469180700204 33.015148038438355 45.27692569068709 73.824115301167 81.83520025025906 5.0 70.00714249274856 17.88854381999832 55.94640292279746 77.41446893184762 5.0 52.92447448959697 66.37017402418047 82.37718130647589 81.83520025025906 75.8023746329889 77.64663547121665 16.1245154965971 14.0 69.6419413859206 51.07837115648854 0.0 53.225933528685054 60.90155991434045 8.06225774829855 66.37017402418047 17.804493814764857 91.59148432032315 92.0869154657707 48.76474136094644 32.55764119219941 55.86591089385369 3.0 91.6624241442479 48.84669896727925 3.1622776601683795 24.08318915758459 92.04890004774636 92.0869154657707 88.45903006477066 31.78049716414141 46.52956049652737 60.60528029800704 90.95603333479313 3.1622776601683795 53.225933528685054 0.0 78.10249675906654 46.647615158762406 34.9857113690718 48.08326112068523 14.035668847618199 21.2602916254693 58.60034129593445 65.60487786742691 43.04648650006177 78.84795495128583 16.55294535724685 63.071388124885914 75.43208866258443 69.9714227381436 21.93171219946131 21.2602916254693 15.0 78.60025445251433 74.46475676452586 49.20365840057018 13.0 74.95331880577403 60.90155991434045 78.10249675906654 0.0 56.462376853972415 58.412327466040935 44.94441010848846 69.8927750200262 76.94153624668537 3.1622776601683795 62.0 15.0 49.24428900898052 73.00684899377592 7.0710678118654755 46.06517122512408 58.54912467321779 77.41446893184762 76.94153624668537 71.11258679024411 69.87131027825369 18.027756377319946 15.264337522473747 66.21933252457322 44.294469180700204 8.06225774829855 46.647615158762406 56.462376853972415 0.0 58.309518948453004 11.661903789690601 69.46221994724903 65.7875368135941 61.40032573203501 7.211102550927978 58.69412236331676 33.54101966249684 67.54257916307313 63.953107821277925 31.906112267087632 14.0 65.45991139621256 65.7875368135941 63.97655820689325 20.248456731316587 68.00735254367721 66.37017402418047 71.02816342831905 33.015148038438355 66.37017402418047 34.9857113690718 58.412327466040935 58.309518948453004 0.0 52.15361924162119 58.52349955359813 65.29931086925804 14.212670403551895 56.88585061331157 7.810249675906654 50.24937810560445 61.465437442517235 18.601075237738275 46.75467891024384 55.02726596879042 65.76473218982953 65.29931086925804 59.50630218724736 66.40783086353596 29.546573405388315 14.317821063276353 55.10898293381942 45.27692569068709 17.804493814764857 48.08326112068523 44.94441010848846 11.661903789690601 52.15361924162119 0.0

rob_x  71 73 25 67 81 83 21 47 24 62 16 17 26 97 80 37 61 87 39 15
rob_y  79 93 25 32 16 12 26 52 46 75 39 9 31 85 35 79 69 17 78 44
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.787220552630303 1.458145511708469 1.1108488686949356 0.6530216998354982 0.7795119394947033 0.28835790647209397 1.2577969939590563 0.18387319985908848 0.7692842744984301 0.17099307640253347 1.5813916309084801 0.47409089880349387 1.4542512505727336 1.505426882970167 0.9422844133988025 1.419088253785109 1.0861137940159202 0.9869659831501354 0.7489875285498061 0.6710409658717659

