time 2020-01-07 17:28:03
20_24_RANDOMCLUSTERED_ECCENTRIC_SVLCV_MSVFLV_LVSCV_thre0.1
robNum  20
taskNum  24
comp_threhold  0.1
rob2tskDis  68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 100.68763578513501 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 112.89818421923357 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 61.91122676865643 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 40.52159917870962 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 56.0357029044876 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 94.33981132056604 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 56.79788728465171 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 19.924858845171276 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 67.60177512462228 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 72.3394774656273 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 97.18538984847466 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 101.31633629380802 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 67.17886572427373 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 70.8801805866774 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 66.03029607687671 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851 95.08417323613851
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  38 83 89 95 53 11 2 69 8 51 19 67 7 97 76 47 19 20 2 95
rob_y  57 57 69 61 32 39 56 0 94 25 6 9 72 6 67 48 1 68 66 4
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.14149802226502264 0.19308607278193468 0.17303971636744844 0.16910605315806365 0.031128438898417012 0.15103755738635058 0.0889278105825479 0.11683403612597718 0.06856862067457771 0.13951922187945542 0.11508453714676899 0.07650045935903135 0.14940325192678142 0.10030503679277647 0.04411772164301511 0.05160683137469038 0.18856907151704258 0.13127724167493213 0.1720159968486981 0.07922277767498588

