time 2020-01-07 17:28:03
23_20_RANDOM_CENTRAL_LVLCV_SVLCV_MSVFLV_thre0.1
robNum  23
taskNum  20
comp_threhold  0.1
rob2tskDis  43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 43.73785545725808 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 14.212670403551895 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 39.21734310225516 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 37.33630940518894 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 33.06055050963308 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 49.01020301937138 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 36.40054944640259 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.07440918375928 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 47.41307836451879 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 48.33218389437829 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 58.83026432033091 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 55.758407437802596 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 58.52349955359813 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 47.75981574503821 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 44.68780594300866 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 30.4138126514911 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 29.274562336608895 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 56.938563381947034 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 17.11724276862369 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 49.57822102496216 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453 26.476404589747453
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  42 41 30 37 63 48 1 79 96 8 94 81 20 18 95 21 72 54 21 67 13 87 45
rob_y  7 39 94 87 15 83 49 72 60 72 30 100 97 99 34 84 29 79 99 52 67 83 76
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.07972814049998167 0.028931901426906853 0.9150891196064677 1.0019826047928193 1.6176972919866996 1.0431616267711357 0.9550002381199244 0.3578116299695511 1.9294085159642544 1.3238303707621488 0.07784746616914835 0.6175233636996594 0.9107313916532344 1.5340717286893788 1.6363203310120422 1.3582916120655435 0.6625241793779048 0.47189326292859535 0.2506251102063123 0.2484995194762506 0.2936867926920032 1.1509190874075623 0.6189008264170917

