time 2020-01-07 17:28:03
23_20_RANDOM_ECCENTRIC_QUADRANT_SVLCV_QUADRANT_thre0.1
robNum  23
taskNum  20
comp_threhold  0.1
rob2tskDis  104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 104.9952379872535 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 81.49846624323675 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 98.2344135219425 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 17.08800749063506 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 74.21590126111789 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 60.8276253029822 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 100.43903623591775 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.41498903022176 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 83.40863264674707 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 77.3692445355388 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 84.20213774008353 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 33.13608305156178 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 92.02173656261873 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 61.554853586049575 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 87.5956619930462 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 62.96824596572466 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 47.853944456021594 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 112.50777750893491 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 68.5054742338158 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 50.695167422546305 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 46.2709412050371 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342 101.11874208078342
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  100 9 37 16 18 28 58 22 89 66 19 67 3 92 45 83 22 9 97 38 19 5 72
rob_y  32 81 91 6 72 54 82 99 48 51 75 51 33 2 42 28 59 47 57 57 47 46 71
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.5855106914550752 1.8473382896607122 1.3539415752184152 0.28740437116344775 1.7406809261597371 1.2920732497539305 0.12561059024155422 1.2547763332939292 1.6420668091179071 0.5093818585514603 1.5867073637429985 0.5361026164491292 0.11661001296570286 1.5137100457824784 0.9530908779316095 1.431080828725622 1.7736791648248003 0.7008130608253207 0.31143705674414934 1.0884406887974318 0.41111892666451394 0.6180216539214468 0.1703758152028801

