time 2020-01-07 17:28:03
23_23_CLUSTERED_RANDOM_QUADRANT_LVSCV_QUADRANT_thre0.1
robNum  23
taskNum  23
comp_threhold  0.1
rob2tskDis  45.65084884205331 19.4164878389476 34.20526275297414 63.245553203367585 29.206163733020468 69.87131027825369 82.29823813423954 53.33854141237835 73.348483283569 71.84010022264724 74.94664769020693 73.76313442364011 74.02702209328699 93.60555539069249 54.230987451824994 67.26812023536856 22.627416997969522 12.083045973594572 89.8276126811795 35.510561809129406 20.0 67.0 69.9714227381436 34.539832078341085 21.540659228538015 35.510561809129406 62.93647591023825 17.4928556845359 80.2807573457052 87.31551981177229 42.04759208325728 78.74642849044012 67.54257916307313 71.11961754677819 69.35416353759881 77.02596964660685 94.17536832951598 46.17358552246078 76.02631123499285 26.248809496813376 23.853720883753127 91.0494371207203 24.166091947189145 31.89043743820395 59.682493245507096 74.46475676452586 90.62008607367353 77.23341245859851 62.369864518050704 34.058772731852805 94.87360012142472 85.28774824088158 37.64306044943742 93.30058949438637 42.190046219457976 42.2965719651132 38.118237105091836 42.1070065428546 28.284271247461902 3.1622776601683795 69.92138442565336 68.18357573492314 74.02702209328699 94.03190947758107 9.0 92.17917335276988 102.95630140987001 62.39390995922599 38.05259518088089 34.88552708502482 18.384776310850235 32.449961479175904 60.108235708594876 18.439088914585774 77.62087348130012 84.15461959987698 42.5440947723653 75.58438992278762 65.39113089708727 68.87670143089025 67.23094525588644 73.92563831310488 91.28526715741155 45.0111097397076 73.06161783043132 23.08679276123039 22.02271554554524 88.09086218218096 24.698178070456937 30.805843601498726 58.309518948453004 71.30918594402827 27.459060435491963 28.160255680657446 40.496913462633174 65.80273550544841 10.04987562112089 89.28605714219886 93.40770846134703 34.48187929913333 85.14693182963201 67.11929677819934 71.02816342831905 68.79680225126747 81.93900170248598 97.20082304178294 42.720018726587654 84.29116205154607 33.13608305156178 33.28663395418648 94.57801012920498 17.11724276862369 41.012193308819754 56.61271941887264 80.36168241145776 46.22769732530488 12.649110640673518 26.92582403567252 56.08029957123981 31.400636936215164 63.788713735268246 74.24284477308234 54.037024344425184 65.30696746902278 66.2872536767062 69.12307863514182 68.24954212300622 66.06814663663572 86.05230967266364 51.419840528729765 60.03332407921454 15.0 9.848857801796104 82.13403679352427 36.76955262170047 20.615528128088304 63.387695966961914 61.91122676865643 91.7877987534291 79.51100552753688 64.66065264130884 36.069377593742864 96.51942809610924 88.2779700718135 40.52159917870962 94.2443632266673 45.17742799230607 42.7551166528639 38.47076812334269 42.42640687119285 31.25699921617557 6.082762530298219 70.83784299369935 71.17583859709698 76.40026177965623 96.56603957913983 12.0 93.64827814754524 105.58882516630251 62.80127387243033 41.048751503547585 37.16180835212409 20.591260281974 35.0 62.96824596572466 20.248456731316587 77.87810988975015 86.16263691415206 44.721359549995796 77.4919350642375 68.54195795277518 72.01388754955533 70.3846574190711 76.32168761236873 94.06912352095134 48.041648597857254 74.0 25.079872407968907 21.095023109728988 90.78546139112804 26.832815729997478 29.068883707497267 61.40032573203501 73.40980860893181 25.298221281347036 25.0 36.68787265568828 61.61168720299745 8.06225774829855 87.28115489611719 89.73850901368932 32.69556544854363 81.58431221748455 62.96824596572466 66.85057965343307 64.66065264130884 78.0 93.00537618869137 39.05124837953327 81.61494961096282 30.0 32.64965543462902 90.4267659490264 14.866068747318506 41.23105625617661 52.88667128870941 76.6550715869472 52.354560450833695 23.40939982143925 37.589892258425 66.73080248281148 35.805027579936315 66.18912297349165 82.68010643437755 60.03332407921454 73.57309290766564 76.90253571892151 79.81227975693966 78.85429601486528 75.69015788066504 96.40020746865642 60.530983801686226 65.11528238439882 25.553864678361276 8.06225774829855 92.31467922275417 42.190046219457976 13.45362404707371 73.06161783043132 70.80254232723568 26.90724809414742 15.524174696260024 25.96150997149434 51.22499389946279 14.317821063276353 79.30952023559341 79.07591289387686 34.713109915419565 71.02112361825881 54.56189146281496 58.180752831155424 56.36488268416781 67.23094525588644 82.61961026293939 34.0147027033899 72.3671196055225 20.396078054371138 29.154759474226502 79.88116173416608 18.027756377319946 39.395431207184416 47.16990566028302 65.96969000988257 44.77722635447622 18.601075237738275 33.421549934136806 62.42595614005443 28.42534080710379 70.03570517957252 81.8413098624405 52.478567053607705 72.91776189653656 70.8801805866774 74.0 72.80109889280519 73.40980860893181 92.84934033152847 53.23532661682466 67.1863081289633 21.93171219946131 12.529964086141668 89.10667763978185 34.66987164671943 20.808652046684813 66.0 69.46221994724903 47.01063709417264 19.72308292331602 34.40930106817051 63.51377803280167 30.610455730027933 68.73136110975832 81.88406438373708 54.70831746635972 72.89718787443039 72.53275122315436 75.58438992278762 74.46475676452586 73.87827826905551 93.72299611087985 55.326304774492215 66.37017402418047 22.67156809750927 10.770329614269007 89.87213138676528 36.89173349139343 18.601075237738275 68.00735254367721 69.6419413859206 25.019992006393608 34.0147027033899 45.60701700396552 69.6419413859206 9.433981132056603 95.60334722173695 98.71676655968832 31.25699921617557 90.60905032059435 69.02897942168927 73.10950690573696 70.60453243241541 86.7294644281861 100.9554357129917 42.95346318982906 90.44888059008801 39.01281840626232 39.44616584663204 98.6154146165801 15.524174696260024 46.75467891024384 56.859475903318 85.61541917201598 84.17244204607586 72.80109889280519 58.008620049092706 29.068883707497267 89.05054744357274 86.14522621712709 40.24922359499622 86.64871608973787 43.41658669218482 35.35533905932738 31.144823004794873 35.12833614050059 28.160255680657446 6.708203932499369 63.245553203367585 69.05070600652827 69.8927750200262 90.4267659490264 11.40175425099138 86.09297300012354 99.74467404327912 55.44366510251645 38.3275357934736 78.16009211867653 62.289646009589745 47.4236228055175 19.72308292331602 81.00617260431454 74.73285756613352 31.240998703626616 81.58431221748455 32.69556544854363 33.734255586866 30.364452901377952 34.20526275297414 16.76305461424021 12.041594578792296 58.54912467321779 57.723478758647246 59.033888572581766 79.07591289387686 9.486832980505138 78.79086241436883 88.11923740024082 53.23532661682466 26.92582403567252 89.15716460273958 76.69419795525604 61.84658438426491 33.24154027718932 93.74433316206373 86.46964785403026 39.21734310225516 91.706052144883 43.41658669218482 40.44749683231337 36.22154055254967 40.19950248448356 29.068883707497267 4.123105625617661 68.30812543175226 69.35416353759881 73.60027173862879 93.81364506296512 10.198039027185569 90.91754506144565 102.88342918079665 60.530983801686226 39.0 91.92388155425118 78.64477096412705 63.7808748764079 35.4682957019364 96.25487000666512 86.20904824900923 38.3275357934736 94.5568612000208 43.104524124504614 43.41658669218482 39.20459156782532 43.18564576337837 29.427877939124322 4.47213595499958 71.16881339463234 69.1158447825099 75.43208866258443 95.4148835350125 10.04987562112089 93.53608929178085 104.31682510506155 63.50590523722971 39.11521443121589 90.44335243676011 74.24957912338628 59.413803110051795 32.2490309931942 93.53608929178085 79.1580697086532 31.32091952673165 93.62157870918435 36.05551275463989 44.01136216933077 40.11234224026316 44.10215414239989 22.80350850198276 4.242640687119285 70.40596565632774 62.07253821135398 70.76722405181653 90.21086409075129 3.605551275463989 91.28526715741155 98.79271228182775 64.00781202322104 32.2490309931942 25.495097567963924 28.0178514522438 39.84971769034255 64.63745044476924 8.06225774829855 89.8443097808648 92.89241088485109 32.57299494980466 84.72307831990054 65.45991139621256 69.40461079784254 67.11929677819934 81.15417426109393 96.02083107326243 40.80441152620633 84.48076704197234 33.015148038438355 34.40930106817051 93.49331526906082 15.132745950421556 42.44997055358225 54.70831746635972 79.81227975693966 42.2965719651132 33.28663395418648 47.80167361086848 75.66372975210778 25.019992006393608 86.46964785403026 98.48857801796105 49.03060268852505 89.69392398596462 80.06247560499239 83.72574275573791 81.8413098624405 89.04493247793498 106.83164325236227 57.271284253105414 84.38009243891595 37.589892258425 28.160255680657446 103.58571330062848 32.0624390837628 32.202484376209235 71.06335201775947 85.86617494683223 90.13878188659973 74.96665925596525 60.108235708594876 32.449961479175904 93.64827814754524 81.2219182240853 33.52610922848042 93.14504817756014 38.118237105091836 43.01162633521314 39.01281840626232 43.01162633521314 24.515301344262525 2.23606797749979 69.85699678629192 64.1248781675256 71.58910531638176 91.2633551870629 5.0990195135927845 91.23595782365635 99.98499887483122 63.071388124885914 34.132096331752024 75.39230729988306 63.8200595424354 49.09175083453431 20.0 79.88116173416608 81.74350127074322 39.05124837953327 78.16009211867653 40.24922359499622 28.0178514522438 24.186773244895647 28.160255680657446 24.166091947189145 13.341664064126334 54.817880294662984 64.8459713474939 61.05735008989499 81.8413098624405 14.317821063276353 77.02596964660685 91.3892772703669 48.010415536631214 34.17601498127012
tskDis  0.0 40.80441152620633 44.9221548904324 59.22837157984339 17.46424919657298 104.31682510506155 95.02105029939419 7.810249675906654 88.36288813749809 51.03920062069938 55.47071299343465 52.20153254455275 80.22468448052632 88.60022573334675 22.02271554554524 95.2732911156112 44.94441010848846 55.80322571321482 87.64131445842195 10.44030650891055 65.5133574166368 34.828149534535996 82.09750300709517 40.80441152620633 0.0 14.866068747318506 43.829214001622255 29.832867780352597 63.97655820689325 65.7875368135941 48.41487374764082 57.28001396647874 53.75872022286245 56.515484603779164 55.731499172371095 55.758407437802596 74.33034373659252 41.23105625617661 56.88585061331157 5.0 21.0 70.7248188403477 33.1058907144937 32.01562118716424 52.172789842982326 52.92447448959697 44.9221548904324 14.866068747318506 0.0 29.154759474226502 39.20459156782532 61.220911460055866 53.150729063673246 51.62363799656123 45.27692569068709 42.01190307520001 44.10215414239989 44.01136216933077 41.593268686170845 59.464274989274024 37.48332962798263 50.566787519082126 12.083045973594572 33.52610922848042 55.90169943749474 40.11234224026316 43.93176527297759 45.17742799230607 40.024992192379 59.22837157984339 43.829214001622255 29.154759474226502 0.0 61.29437168288782 71.11961754677819 39.56008088970496 63.28506932918696 36.05551275463989 23.345235059857504 22.47220505424423 24.839484696748443 22.80350850198276 31.400636936215164 41.048751503547585 55.47071299343465 41.182520563948 62.24146527838174 29.068883707497267 59.23681287847955 72.11102550927978 39.0 28.844410203711913 17.46424919657298 29.832867780352597 39.20459156782532 61.29437168288782 0.0 93.40770846134703 92.22797840135064 24.698178070456937 84.48076704197234 59.665735560705194 63.7808748764079 61.220911460055866 79.40403012442127 92.43916918709297 33.61547262794322 86.68333173107735 34.713109915419565 40.311288741492746 90.35485598461214 7.0710678118654755 49.20365840057018 47.53945729601885 79.07591289387686 104.31682510506155 63.97655820689325 61.220911460055866 71.11961754677819 93.40770846134703 0.0 49.16299421312742 111.64676439557037 43.104524124504614 93.81364506296512 93.53608929178085 95.524865872714 58.05170109479997 82.38931969618392 98.49365461794989 17.11724276862369 59.481089431852205 58.309518948453004 76.32168761236873 97.082439194738 57.21887800367987 104.1393297462587 47.853944456021594 95.02105029939419 65.7875368135941 53.150729063673246 39.56008088970496 92.22797840135064 49.16299421312742 0.0 100.31948963187563 9.219544457292887 61.40032573203501 59.07622195096772 62.433965115151864 17.0 35.11409973215888 79.62411694957753 32.55764119219941 61.09828148156051 75.45197147855052 29.154759474226502 92.34717104492157 81.46778504415104 78.54934754662193 13.152946437965905 7.810249675906654 48.41487374764082 51.62363799656123 63.28506932918696 24.698178070456937 111.64676439557037 100.31948963187563 0.0 94.04786015641186 52.32590180780452 56.79788728465171 53.23532661682466 85.0 91.48223871331527 23.40939982143925 102.15674231297707 52.43090691567332 63.60031446463138 91.00549433962765 17.88854381999832 73.24616030891995 34.20526275297414 87.5728268357257 88.36288813749809 57.28001396647874 45.27692569068709 36.05551275463989 84.48076704197234 43.104524124504614 9.219544457292887 94.04786015641186 0.0 59.033888572581766 57.3149195236284 60.30754513325841 16.1245154965971 39.319206502675 74.33034373659252 26.019223662515376 52.49761899362675 66.2872536767062 33.24154027718932 85.0235261559999 72.24956747275377 74.70609078247904 7.211102550927978 51.03920062069938 53.75872022286245 42.01190307520001 23.345235059857504 59.665735560705194 93.81364506296512 61.40032573203501 52.32590180780452 59.033888572581766 0.0 4.47213595499958 2.0 44.41846462902562 41.048751503547585 29.154759474226502 78.60025445251433 53.150729063673246 74.54528824815154 42.190046219457976 55.154328932550705 85.37564055396598 20.09975124224178 51.85556864985669 55.47071299343465 56.515484603779164 44.10215414239989 22.47220505424423 63.7808748764079 93.53608929178085 59.07622195096772 56.79788728465171 57.3149195236284 4.47213595499958 0.0 4.0 42.20189569201838 37.0 33.61547262794322 77.93587107359485 55.57877292636101 77.10382610480494 38.47076812334269 59.413803110051795 87.82368700982668 24.331050121192877 50.20956084253277 52.20153254455275 55.731499172371095 44.01136216933077 24.839484696748443 61.220911460055866 95.524865872714 62.433965115151864 53.23532661682466 60.30754513325841 2.0 4.0 0.0 45.48626166217664 41.0 30.23243291566195 80.2122185206219 55.14526271584895 76.53103945458993 42.42640687119285 56.586217403180434 87.36704184073076 20.396078054371138 53.150729063673246 80.22468448052632 55.758407437802596 41.593268686170845 22.80350850198276 79.40403012442127 58.05170109479997 17.0 85.0 16.1245154965971 44.41846462902562 42.20189569201838 45.48626166217664 0.0 25.179356624028344 63.50590523722971 41.0 51.61395160225576 69.35416353759881 19.4164878389476 78.64477096412705 77.20103626247513 61.68468205316454 10.198039027185569 88.60022573334675 74.33034373659252 59.464274989274024 31.400636936215164 92.43916918709297 82.38931969618392 35.11409973215888 91.48223871331527 39.319206502675 41.048751503547585 37.0 41.0 25.179356624028344 0.0 68.15423684555495 65.27633568147036 71.06335201775947 90.97252332435328 6.082762530298219 89.89438247187641 99.84988733093293 61.1310068623117 35.014282800023196 22.02271554554524 41.23105625617661 37.48332962798263 41.048751503547585 33.61547262794322 98.49365461794989 79.62411694957753 23.40939982143925 74.33034373659252 29.154759474226502 33.61547262794322 30.23243291566195 63.50590523722971 68.15423684555495 0.0 86.53323061113575 43.41658669218482 61.1310068623117 67.89698078707183 27.784887978899608 72.03471385380801 13.92838827718412 67.446274915669 95.2732911156112 56.88585061331157 50.566787519082126 55.47071299343465 86.68333173107735 17.11724276862369 32.55764119219941 102.15674231297707 26.019223662515376 78.60025445251433 77.93587107359485 80.2122185206219 41.0 65.27633568147036 86.53323061113575 0.0 51.97114584074513 57.0701322935211 59.21148537234985 89.28605714219886 59.23681287847955 90.60905032059435 30.805843601498726 44.94441010848846 5.0 12.083045973594572 41.182520563948 34.713109915419565 59.481089431852205 61.09828148156051 52.43090691567332 52.49761899362675 53.150729063673246 55.57877292636101 55.14526271584895 51.61395160225576 71.06335201775947 43.41658669218482 51.97114584074513 0.0 21.587033144922902 67.20863039818622 37.69615364994153 32.2490309931942 53.45091205957107 48.33218389437829 55.80322571321482 21.0 33.52610922848042 62.24146527838174 40.311288741492746 58.309518948453004 75.45197147855052 63.60031446463138 66.2872536767062 74.54528824815154 77.10382610480494 76.53103945458993 69.35416353759881 90.97252332435328 61.1310068623117 57.0701322935211 21.587033144922902 0.0 86.6083136886985 46.09772228646444 11.045361017187261 72.83543093852057 63.89053137985315 87.64131445842195 70.7248188403477 55.90169943749474 29.068883707497267 90.35485598461214 76.32168761236873 29.154759474226502 91.00549433962765 33.24154027718932 42.190046219457976 38.47076812334269 42.42640687119285 19.4164878389476 6.082762530298219 67.89698078707183 59.21148537234985 67.20863039818622 86.6083136886985 0.0 88.23831367382311 95.1892851112981 62.03224967708329 29.068883707497267 10.44030650891055 33.1058907144937 40.11234224026316 59.23681287847955 7.0710678118654755 97.082439194738 92.34717104492157 17.88854381999832 85.0235261559999 55.154328932550705 59.413803110051795 56.586217403180434 78.64477096412705 89.89438247187641 27.784887978899608 89.28605714219886 37.69615364994153 46.09772228646444 88.23831367382311 0.0 55.47071299343465 41.593268686170845 79.22752047110903 65.5133574166368 32.01562118716424 43.93176527297759 72.11102550927978 49.20365840057018 57.21887800367987 81.46778504415104 73.24616030891995 72.24956747275377 85.37564055396598 87.82368700982668 87.36704184073076 77.20103626247513 99.84988733093293 72.03471385380801 59.23681287847955 32.2490309931942 11.045361017187261 95.1892851112981 55.47071299343465 0.0 83.86298349093002 70.76722405181653 34.828149534535996 52.172789842982326 45.17742799230607 39.0 47.53945729601885 104.1393297462587 78.54934754662193 34.20526275297414 74.70609078247904 20.09975124224178 24.331050121192877 20.396078054371138 61.68468205316454 61.1310068623117 13.92838827718412 90.60905032059435 53.45091205957107 72.83543093852057 62.03224967708329 41.593268686170845 83.86298349093002 0.0 67.53517601961218 82.09750300709517 52.92447448959697 40.024992192379 28.844410203711913 79.07591289387686 47.853944456021594 13.152946437965905 87.5728268357257 7.211102550927978 51.85556864985669 50.20956084253277 53.150729063673246 10.198039027185569 35.014282800023196 67.446274915669 30.805843601498726 48.33218389437829 63.89053137985315 29.068883707497267 79.22752047110903 70.76722405181653 67.53517601961218 0.0

rob_x  73 82 11 79 90 66 11 80 87 70 77 73 72 96 18 20 13 10 9 90 90 10 25
rob_y  78 70 4 69 65 74 1 72 62 84 58 77 79 63 4 16 3 3 10 63 80 8 10
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.9727876658550535 0.055947065258884515 0.40593689225719176 0.6459673933543201 0.9626952497130266 0.6206707327981065 0.2814259191094056 0.22684700228124408 0.34631838763733924 0.5025058979695335 0.27959334855616913 0.6848776747828197 0.8831102095156814 0.6468142042575742 0.553214260162844 0.9724376270392017 0.1970011745691649 0.1080673850404264 0.7670599868452479 0.7405344526322153 0.6106353686406867 0.38883132647804947 0.5951056240077847

tsk_x  95 62 52 37 91 4 0 100 7 53 49 53 15 12 78 6 57 62 11 92 61 73 13
tsk_y  38 62 51 26 55 89 40 32 46 9 7 7 32 7 24 72 62 83 13 48 94 11 42
tsk_rat  1.0161339190932883 0.9630829019556575 0.7350102329189938 0.28786428834738725 0.905922558528748 0.7719647057981966 0.48469057708508667 0.4605507510390119 0.8119207370316655 0.715761969836407 0.2675547802017427 0.9527374046997813 0.5741102525685867 1.005217253029647 0.7836446359526774 0.9902917922154235 1.0260353359747325 0.8155952337564993 0.9772526493009115 0.9916820869031 0.20984615179859445 0.22283180302516026 0.64228645618392
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  189.22266844944787 108.43790469024347 77.82292694382879 34.94145137566526 101.26515751722219 128.23457987240135 55.70767701277572 81.73484843289536 107.5452075153952 126.51543441724537 31.183969244052047 184.78408221497784 71.56413101482948 136.46679006772484 139.9422935947906 177.46883231795528 115.46307579917519 119.56774880164748 102.96709964901137 173.19458328259327 22.19132827841573 41.416547878534395 66.71152624470932
