time 2020-01-07 17:28:03
23_23_CLUSTERED_RANDOM_QUADRANT_MSVFLV_LVLCV_thre0.1
robNum  23
taskNum  23
comp_threhold  0.1
rob2tskDis  62.0966987850401 83.74365647617735 14.142135623730951 69.2314957226839 68.00735254367721 75.31268153505093 75.1065909225016 102.62553288534 86.76981041814025 46.04345773288535 27.730849247724095 50.59644256269407 79.17701686727027 63.245553203367585 75.76938695805846 63.60031446463138 26.68332812825267 45.27692569068709 26.019223662515376 89.15716460273958 70.83078426785913 34.23448553724738 83.6719785830358 32.2490309931942 29.614185789921695 78.02563681252464 26.248809496813376 13.601470508735444 2.8284271247461903 16.0312195418814 68.73136110975832 28.0178514522438 31.622776601683793 73.92563831310488 28.284271247461902 25.709920264364882 17.88854381999832 18.027756377319946 33.54101966249684 71.386273190299 38.600518131237564 78.26237921249263 47.38143096192854 8.06225774829855 85.44003745317531 23.0 39.20459156782532 32.0624390837628 86.00581375697809 32.2490309931942 21.2602916254693 10.04987562112089 21.02379604162864 71.02816342831905 25.96150997149434 40.162171256046406 82.365041127896 36.013886210738214 26.076809620810597 24.515301344262525 19.79898987322333 40.22437072223753 78.77182237323191 45.70557952810576 85.70880934886448 50.039984012787215 15.033296378372908 93.81364506296512 21.540659228538015 32.55764119219941 51.42956348249516 38.8329756778952 37.21558813185679 32.38826948140329 38.8329756778952 40.26164427839479 79.64923100695951 53.2634959423431 10.770329614269007 39.20459156782532 15.620499351813308 46.010868281309364 27.784887978899608 41.048751503547585 34.655446902326915 36.05551275463989 17.26267650163207 42.05948168962618 61.61980201201558 34.48187929913333 51.22499389946279 49.4064773081425 42.37924020083418 53.075418038862395 84.87638069569178 48.30113870293329 61.09828148156051 75.39230729988306 59.53990258641679 40.0 100.88111815399351 58.0 46.010868281309364 72.02777242147643 96.04686356149273 77.27871634544663 88.32326986700618 40.85339643163099 91.23595782365635 79.30952023559341 94.51454914456292 41.677331968349414 75.58438992278762 47.41307836451879 95.81753492967766 31.76476034853718 29.832867780352597 77.02596964660685 25.96150997149434 13.038404810405298 2.23606797749979 16.0 68.8839603971781 28.071337695236398 30.675723300355934 73.06161783043132 27.294688127912362 25.495097567963924 17.0 17.72004514666935 33.1058907144937 70.40596565632774 37.64306044943742 77.27871634544663 47.51841748206689 7.211102550927978 84.59905436823747 23.021728866442675 37.57658845611187 35.510561809129406 78.10249675906654 32.01562118716424 18.788294228055936 4.47213595499958 22.02271554554524 74.67261881037788 22.02271554554524 34.0 77.10382610480494 28.071337695236398 19.924858845171276 16.1245154965971 12.529964086141668 39.0 70.45565981523414 37.33630940518894 77.41446893184762 53.33854141237835 7.280109889280518 88.81441324469807 17.0 59.43904440685432 81.21576201698781 17.46424919657298 66.75327707311455 66.12110101926616 73.97972695272672 73.00684899377592 99.32270636667126 86.45229898620394 44.28317965096906 24.166091947189145 49.76946855251722 78.89233169326408 62.39390995922599 75.15317691222374 60.876925020897694 29.274562336608895 45.221676218380054 29.154759474226502 86.16263691415206 69.6419413859206 31.064449134018133 83.18653737234169 27.892651361962706 49.64876634922564 41.88078318274385 35.22782990761707 36.40054944640259 47.01063709417264 42.2965719651132 70.83784299369935 65.85590330410783 17.029386365926403 26.40075756488817 29.154759474226502 59.033888572581766 39.6232255123179 53.03772242470448 29.410882339705484 44.204072210600685 32.55764119219941 48.79549159502341 55.47071299343465 43.829214001622255 38.28837943815329 61.5223536610881 40.85339643163099 39.6232255123179 77.41446893184762 35.6931365951495 22.135943621178654 8.06225774829855 26.0 78.77182237323191 18.110770276274835 35.22782990761707 78.60025445251433 27.65863337187866 15.811388300841896 15.132745950421556 8.602325267042627 42.37924020083418 69.1158447825099 36.013886210738214 76.10519036176179 57.42821606144492 8.48528137423857 90.4267659490264 13.038404810405298 58.69412236331676 80.4114419718985 16.76305461424021 65.92419889539804 65.06919393998976 72.78049189171504 72.02777242147643 99.02019995940222 85.0881895447306 43.18564576337837 24.698178070456937 48.46648326421054 77.52418977325722 61.09828148156051 73.824115301167 60.166435825965294 28.160255680657446 43.829214001622255 28.284271247461902 85.61541917201598 68.41052550594829 32.01562118716424 81.8413098624405 37.64306044943742 30.066592756745816 86.00581375697809 30.528675044947494 20.0 10.04987562112089 19.235384061671343 69.02897942168927 27.892651361962706 39.56008088970496 81.41252974819048 36.124783736376884 27.784887978899608 25.0 21.2602916254693 38.600518131237564 79.07591289387686 46.09772228646444 85.98837130682264 48.041648597857254 15.297058540778355 92.78469701410896 23.40939982143925 50.00999900019995 71.84705978674423 23.853720883753127 57.42821606144492 57.42821606144492 66.09841147864296 64.03124237432849 90.13878188659973 80.44874144447506 35.90264614203248 19.026297590440446 43.04648650006177 73.00684899377592 55.47071299343465 68.60029154456998 51.419840528729765 32.38826948140329 40.311288741492746 34.17601498127012 76.69419795525604 62.03224967708329 28.861739379323623 76.8505042273634 31.89043743820395 50.99019513592785 39.05124837953327 36.71511950137164 32.2490309931942 39.05124837953327 40.024992192379 78.87331614684399 53.907327887774215 10.44030650891055 38.41874542459709 16.278820596099706 46.69047011971501 28.30194339616981 41.617304093369626 33.97057550292606 36.61966684720111 18.24828759089466 42.5440947723653 60.959002616512684 34.785054261852174 50.44799302251776 50.0 36.069377593742864 54.589376255824725 36.345563690772494 40.496913462633174 34.92849839314596 40.311288741492746 43.01162633521314 83.24061508662703 53.009433122794285 13.892443989449804 40.496913462633174 15.652475842498529 45.60701700396552 28.231188426986208 41.182520563948 38.18376618407357 32.7566787083184 14.866068747318506 38.91015291668744 65.11528238439882 35.6931365951495 52.43090691567332 49.39635614091387 37.656340767525464 46.22769732530488 86.68333173107735 42.720018726587654 56.04462507680822 70.21395872616783 53.71219600798314 33.13608305156178 96.04686356149273 55.44366510251645 49.64876634922564 69.18092222571191 91.59148432032315 73.33484846919642 83.74365647617735 35.90264614203248 91.92388155425118 77.27871634544663 95.69221493935649 34.132096331752024 70.83078426785913 52.55473337388365 90.95603333479313 37.33630940518894 48.79549159502341 81.40024569987489 43.41658669218482 56.08029957123981 70.3846574190711 54.70831746635972 39.319206502675 95.81753492967766 53.009433122794285 43.60045871318328 67.00746227100382 90.95603333479313 72.18032973047436 83.24061508662703 35.84689665786984 87.23531395025755 74.43117626371358 90.7358804442873 38.48376280978771 70.51950084905593 46.238512086787566 90.75791976461338 45.880278987817846 45.89117562233506 76.2954782408499 41.30375285612676 27.459060435491963 14.035668847618199 32.0624390837628 85.0 12.649110640673518 37.48332962798263 80.8084154033477 27.730849247724095 9.486832980505138 15.264337522473747 3.1622776601683795 47.53945729601885 67.02984409947557 34.36568055487916 74.02702209328699 63.63961030678928 12.649110640673518 92.76313923105448 7.615773105863909 37.53664875824692 56.356011214421486 34.36568055487916 42.190046219457976 36.87817782917155 42.2965719651132 44.9221548904324 84.50443775329198 54.644304369257 15.652475842498529 39.44616584663204 17.46424919657298 47.20169488482379 30.083217912982647 42.941821107167776 39.6232255123179 31.064449134018133 15.652475842498529 37.12142238654117 66.60330322138685 37.656340767525464 51.31276644267 51.10772935672255 42.5440947723653 54.45181356024793 82.37718130647589 48.877397639399746 61.326992425847855 75.64390259630977 60.207972893961475 43.01162633521314 100.90094152187085 57.07889277132134 43.139309220245984 71.17583859709698 95.88013350011565 76.90253571892151 88.23264701911646 41.14608122288197 89.05054744357274 78.10249675906654 92.17917335276988 43.829214001622255 75.61084578286372 44.294469180700204 95.85927185202274 31.622776601683793 27.294688127912362 80.09993757800315 25.079872407968907 13.45362404707371 5.656854249492381 14.317821063276353 66.48308055437865 30.01666203960727 32.984845004941285 74.70609078247904 30.59411708155671 28.160255680657446 20.591260281974 20.615528128088304 32.7566787083184 73.7563556583431 41.10960958218893 80.60397012554654 45.17742799230607 10.816653826391969 86.09297300012354 25.079872407968907 57.0087712549569 78.16009211867653 12.727922061357855 63.60031446463138 61.1310068623117 67.60177512462228 68.59300255857006 99.80981915623332 78.26237921249263 39.11521443121589 30.4138126514911 42.44997055358225 70.66116330771806 55.08175741568164 67.4166151627327 58.69412236331676 21.02379604162864 36.71511950137164 22.47220505424423 85.0 62.96824596572466 39.11521443121589 75.23961722390672 43.01162633521314 58.008620049092706 74.79304780526061 50.32891812864648 61.587336360651285 75.8023746329889 61.71709649683789 51.24451190127583 100.22474744293447 54.12947441089743 34.713109915419565 68.24954212300622 94.70480452437458 75.27283706623525 87.32124598286491 42.01190307520001 82.28000972289685 74.10802925459562 85.0 49.64876634922564 75.13321502504735 35.35533905932738 95.2732911156112
tskDis  0.0 22.02271554554524 68.87670143089025 8.54400374531753 18.788294228055936 33.1058907144937 19.209372712298546 47.70744176750625 58.52349955359813 22.80350850198276 48.83646178829912 34.17601498127012 53.9351462406472 36.0 46.09772228646444 2.23606797749979 68.41052550594829 44.294469180700204 74.06078584514209 29.068883707497267 33.24154027718932 58.82176467941097 53.45091205957107 22.02271554554524 0.0 89.5377015563835 14.560219778561036 22.80350850198276 32.01562118716424 14.7648230602334 39.20459156782532 57.21887800367987 40.70626487409524 70.45565981523414 47.38143096192854 55.31726674375732 43.04648650006177 47.53945729601885 21.02379604162864 87.32124598286491 58.728187440104094 93.47726996441435 18.0 35.4682957019364 79.83107164506812 52.3450093132096 68.87670143089025 89.5377015563835 0.0 75.02666192761077 71.19691004531025 76.0 79.07591289387686 112.44554237496477 83.16850365372699 49.47726750741192 41.43669871020132 50.039984012787215 75.58438992278762 62.289646009589745 73.54590403278758 70.66116330771806 14.422205101855956 41.97618372363071 12.041594578792296 97.24710792614863 71.02816342831905 48.373546489791295 80.77747210701756 8.54400374531753 14.560219778561036 75.02666192761077 0.0 14.0 27.65863337187866 11.40175425099138 46.61544808322666 53.75872022286245 26.627053911388696 57.271284253105414 35.22782990761707 50.039984012787215 33.95585369269929 42.04759208325728 8.602325267042627 73.24616030891995 46.22769732530488 79.25906888173743 26.076809620810597 29.017236257093817 67.35725647619564 48.662100242385755 18.788294228055936 22.80350850198276 71.19691004531025 14.0 0.0 14.317821063276353 8.602325267042627 59.77457653551382 40.024992192379 22.02271554554524 61.741396161732524 25.0 36.05551275463989 20.615528128088304 28.071337695236398 20.248456731316587 66.85057965343307 36.40054944640259 73.38937252763509 38.62641583165593 15.033296378372908 72.94518489934754 34.92849839314596 33.1058907144937 32.01562118716424 76.0 27.65863337187866 14.317821063276353 0.0 18.027756377319946 71.02112361825881 26.1725046566048 30.463092423455635 73.24616030891995 26.076809620810597 23.345235059857504 15.231546211727817 15.524174696260024 34.539832078341085 69.05070600652827 36.138621999185304 75.95393340703298 49.64876634922564 5.385164807134504 84.87638069569178 21.095023109728988 19.209372712298546 14.7648230602334 79.07591289387686 11.40175425099138 8.602325267042627 18.027756377319946 0.0 53.150729063673246 44.04543109109048 29.614185789921695 66.40783086353596 33.60059523282288 41.30375285612676 28.30194339616981 33.37663853655727 19.79898987322333 75.23961722390672 45.0 81.70679286326198 31.78049716414141 20.8806130178211 77.07788269017254 39.01281840626232 47.70744176750625 39.20459156782532 112.44554237496477 46.61544808322666 59.77457653551382 71.02112361825881 53.150729063673246 0.0 96.42095207992918 70.45565981523414 80.23091673413684 81.41252974819048 94.36630754670864 80.32434251209281 86.49277426467485 45.48626166217664 114.56002793295748 91.92388155425118 119.55333537798099 21.37755832643195 73.97972695272672 84.8999411071645 91.54780172128658 58.52349955359813 57.21887800367987 83.16850365372699 53.75872022286245 40.024992192379 26.1725046566048 44.04543109109048 96.42095207992918 0.0 49.040799340956916 91.92388155425118 37.64306044943742 7.615773105863909 26.248809496813376 13.038404810405298 60.166435825965294 72.3671196055225 41.6293165929973 79.2464510246358 75.16648189186454 25.298221281347036 103.9471019317037 5.0990195135927845 22.80350850198276 40.70626487409524 49.47726750741192 26.627053911388696 22.02271554554524 30.463092423455635 29.614185789921695 70.45565981523414 49.040799340956916 0.0 43.41658669218482 14.142135623730951 42.43819034784589 22.80350850198276 36.124783736376884 25.0 46.647615158762406 22.135943621178654 52.773099207835045 51.62363799656123 26.92582403567252 55.31726674375732 44.598206241955516 48.83646178829912 70.45565981523414 41.43669871020132 57.271284253105414 61.741396161732524 73.24616030891995 66.40783086353596 80.23091673413684 91.92388155425118 43.41658669218482 0.0 54.56189146281496 84.8999411071645 65.79513659838392 79.2464510246358 49.49747468305833 51.35172830587107 55.072679252057455 52.630789467763066 70.71067811865476 70.21395872616783 12.041594578792296 87.72684879784524 34.17601498127012 47.38143096192854 50.039984012787215 35.22782990761707 25.0 26.076809620810597 33.60059523282288 81.41252974819048 37.64306044943742 14.142135623730951 54.56189146281496 0.0 30.4138126514911 12.649110640673518 25.553864678361276 36.40054944640259 43.174066289845804 11.40175425099138 50.00999900019995 61.29437168288782 21.0 66.60330322138685 33.83784863137726 53.9351462406472 55.31726674375732 75.58438992278762 50.039984012787215 36.05551275463989 23.345235059857504 41.30375285612676 94.36630754670864 7.615773105863909 42.43819034784589 84.8999411071645 30.4138126514911 0.0 19.72308292331602 8.0 55.731499172371095 64.93843238021688 34.0147027033899 71.84705978674423 72.99315036357864 21.02379604162864 96.93812459502195 6.324555320336759 36.0 43.04648650006177 62.289646009589745 33.95585369269929 20.615528128088304 15.231546211727817 28.30194339616981 80.32434251209281 26.248809496813376 22.80350850198276 65.79513659838392 12.649110640673518 19.72308292331602 0.0 13.45362404707371 38.01315561749642 54.3323108288245 21.213203435596427 61.29437168288782 59.23681287847955 9.848857801796104 77.79460135510689 21.93171219946131 46.09772228646444 47.53945729601885 73.54590403278758 42.04759208325728 28.071337695236398 15.524174696260024 33.37663853655727 86.49277426467485 13.038404810405298 36.124783736376884 79.2464510246358 25.553864678361276 8.0 13.45362404707371 0.0 47.853944456021594 64.07027391856539 31.575306807693888 71.06335201775947 65.11528238439882 13.038404810405298 91.2414379544733 8.48528137423857 2.23606797749979 21.02379604162864 70.66116330771806 8.602325267042627 20.248456731316587 34.539832078341085 19.79898987322333 45.48626166217664 60.166435825965294 25.0 49.49747468305833 36.40054944640259 55.731499172371095 38.01315561749642 47.853944456021594 0.0 70.43436661176133 46.52956049652737 76.02631123499285 27.018512172212592 34.92849839314596 59.20304046246274 55.08175741568164 68.41052550594829 87.32124598286491 14.422205101855956 73.24616030891995 66.85057965343307 69.05070600652827 75.23961722390672 114.56002793295748 72.3671196055225 46.647615158762406 51.35172830587107 43.174066289845804 64.93843238021688 54.3323108288245 64.07027391856539 70.43436661176133 0.0 33.13608305156178 7.0 97.45255255764212 63.788713735268246 60.03332407921454 70.57619995437555 44.294469180700204 58.728187440104094 41.97618372363071 46.22769732530488 36.40054944640259 36.138621999185304 45.0 91.92388155425118 41.6293165929973 22.135943621178654 55.072679252057455 11.40175425099138 34.0147027033899 21.213203435596427 31.575306807693888 46.52956049652737 33.13608305156178 0.0 40.11234224026316 72.20110802473879 30.805843601498726 66.88796603276258 38.897300677553446 74.06078584514209 93.47726996441435 12.041594578792296 79.25906888173743 73.38937252763509 75.95393340703298 81.70679286326198 119.55333537798099 79.2464510246358 52.773099207835045 52.630789467763066 50.00999900019995 71.84705978674423 61.29437168288782 71.06335201775947 76.02631123499285 7.0 40.11234224026316 0.0 103.00485425454472 70.71067811865476 60.207972893961475 77.52418977325722 29.068883707497267 18.0 97.24710792614863 26.076809620810597 38.62641583165593 49.64876634922564 31.78049716414141 21.37755832643195 75.16648189186454 51.62363799656123 70.71067811865476 61.29437168288782 72.99315036357864 59.23681287847955 65.11528238439882 27.018512172212592 97.45255255764212 72.20110802473879 103.00485425454472 0.0 52.630789467763066 78.00640999302557 70.25667228100119 33.24154027718932 35.4682957019364 71.02816342831905 29.017236257093817 15.033296378372908 5.385164807134504 20.8806130178211 73.97972695272672 25.298221281347036 26.92582403567252 70.21395872616783 21.0 21.02379604162864 9.848857801796104 13.038404810405298 34.92849839314596 63.788713735268246 30.805843601498726 70.71067811865476 52.630789467763066 0.0 82.00609733428362 20.248456731316587 58.82176467941097 79.83107164506812 48.373546489791295 67.35725647619564 72.94518489934754 84.87638069569178 77.07788269017254 84.8999411071645 103.9471019317037 55.31726674375732 12.041594578792296 66.60330322138685 96.93812459502195 77.79460135510689 91.2414379544733 59.20304046246274 60.03332407921454 66.88796603276258 60.207972893961475 78.00640999302557 82.00609733428362 0.0 99.72462083156798 53.45091205957107 52.3450093132096 80.77747210701756 48.662100242385755 34.92849839314596 21.095023109728988 39.01281840626232 91.54780172128658 5.0990195135927845 44.598206241955516 87.72684879784524 33.83784863137726 6.324555320336759 21.93171219946131 8.48528137423857 55.08175741568164 70.57619995437555 38.897300677553446 77.52418977325722 70.25667228100119 20.248456731316587 99.72462083156798 0.0

rob_x  2 78 86 38 48 77 78 4 35 77 5 86 13 38 36 55 49 75 34 45 80 9 37
rob_y  44 32 29 38 100 32 26 47 53 22 46 31 50 39 35 97 95 16 35 99 34 39 95
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.049240745573047834 1.416815579047725 1.9702200880444407 0.9673325099208895 1.4012188061152153 1.3549397912475944 1.4467463023766611 0.8463293564940116 1.1950258317844544 1.4780428762284887 0.5690934047650934 1.3734721716478968 1.0755074129776394 0.8533762465194031 0.9614912066093592 0.40642339795767946 1.6812527927408694 1.9653702496503498 0.690768406446184 1.7360200292439116 1.325433705294853 0.9323251349140456 1.3398130568774071

tsk_x  62 84 0 70 70 76 77 88 79 48 14 50 72 62 72 63 8 41 1 84 71 6 78
tsk_y  60 61 30 57 43 30 48 100 4 42 69 28 7 24 15 62 18 21 18 79 28 78 9
tsk_rat  0.08946854728667596 0.08546110900699826 0.14873581196104046 0.17550271809061946 0.18076408608491476 0.05627777244288647 0.15146554465059614 0.1777591107178326 0.16806571517923005 0.05639739897223989 0.06929441922275457 0.19137329964540964 0.1219077750433791 0.14045946147904936 0.06640522125605414 0.022663903318733136 0.13380343617006962 1.6900158383111996 1.0792526292246154 1.0516791581357234 0.28083913901992863 1.0539366546423994 0.5266191748307048
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  25.30675979894457 16.15624516142 27.043277564864272 39.70729613621632 37.23380505560834 10.083879316452732 37.605010618084656 41.41496334038263 39.015681913828914 10.137491266785617 12.607392428990941 40.38252513059012 30.689745417266703 35.85996659397854 17.11753401509846 3.9119476636711634 39.21099917793111 451.9641508351815 260.9829419206892 202.43717181514364 46.213877559153836 203.89906302622535 91.22074411377392
