time 2020-01-07 17:28:03
23_23_RANDOMCLUSTERED_ECCENTRIC_LVSCV_UNITARY_QUADRANT_thre0.1
robNum  23
taskNum  23
comp_threhold  0.1
rob2tskDis  81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 81.74350127074322 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 70.2353187506115 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 79.61155694998057 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 91.02197536858887 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 53.600373133029585 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 86.83317338436964 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 102.7861858422619 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 105.30906893520614 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 64.63745044476924 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 48.703182647543684 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 98.35141076771599 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 78.91767862779544 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 59.033888572581766 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 96.54014708917737 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 37.48332962798263 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 111.73182178770737 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 58.60034129593445 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 98.29038610159185 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 94.2019108086455 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 96.21330469326995 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 111.72287142747452 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  21 33 67 2 53 22 98 97 37 46 93 12 46 74 26 78 47 70 32 75 76 79 42
rob_y  79 62 43 91 8 84 31 41 53 16 32 78 37 62 27 80 35 69 24 57 59 79 41
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  0.39153345496382896 0.8290849173810522 0.2317722050329895 0.312582992642699 1.3315043301266463 0.7148580131035409 1.2574919221404144 0.5917246824796956 0.4401875597381514 1.9963773516523422 0.42414008721011387 0.6398078139620198 0.46230446305697215 0.9249156995700529 0.8219102031316605 0.5976941308486234 1.6931691534764033 0.9462355923844816 1.8478155674752648 1.1823987027228122 0.63517143241807 0.49502513074997856 1.2285939477900873

tsk_x  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tsk_y  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tsk_rat  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  22.547819651156498 29.85882652389828 21.732072065144674 27.181150087143862 28.714876558976012 23.51672041063889 20.446000062773706 21.54569286984149 22.704046132556925 21.499463248604968 22.415495417539336 24.87062462355764 29.241907085039216 26.904374830475685 23.655145605304455 23.1428853363757 24.953998246576443 20.66106279028474 24.26961698862792 23.886396259231216 22.833696752292926 25.253011096305677 28.939092042679267
