time 2020-01-07 17:28:03
23_23_RANDOM_ECCENTRIC_LVLCV_UNITARY_SVSCV_thre0.1
robNum  23
taskNum  23
comp_threhold  0.1
rob2tskDis  85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 85.0235261559999 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 71.80529228406496 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 56.88585061331157 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 99.70456358662827 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 34.539832078341085 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 58.69412236331676 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 128.42507543311004 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 69.40461079784254 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 85.21150157109074 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 35.805027579936315 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 139.30183056945089 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 72.11102550927978 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 63.63961030678928 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 112.61438629233834 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 89.58794561770016 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 100.16985574512923 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 19.026297590440446 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 63.97655820689325 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 97.082439194738 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 11.180339887498949 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 82.61961026293939 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678 136.48809471891678
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  85 16 10 71 32 54 44 98 41 6 21 98 68 45 69 75 53 19 27 55 5 51 95
rob_y  2 70 56 70 13 23 2 83 56 85 29 99 24 45 89 49 85 1 58 80 10 65 98
rob_vel  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rob_abi  1.123351891589475 0.3662948146409366 1.3666385040940952 0.7299235215279015 1.089752271405402 0.09063552503668788 1.8599289357091529 1.1731624433492396 0.7721072622344141 0.8129227960352693 0.7725035410574301 1.9125678209880552 1.536928074857498 0.17492643904173028 1.873251122264253 0.4675382193060928 1.2651382953630605 1.9725712696210955 1.776303922724021 1.4577236113594596 0.07297844412750393 1.9261647909651 1.2073377634779614

tsk_x  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tsk_y  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tsk_rat  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
tsk_state  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tsk_con  28.565827063404527 25.029993483330244 29.922259615664064 24.469129464393603 21.960845435176285 29.421569420808535 23.74393105184486 25.690164991621 26.666037987032265 23.3521408996498 29.468256462189473 22.42210140647046 22.28108448210608 25.027678675351297 21.845729852981552 28.66008629082976 20.430094093283266 23.24974151449588 20.37285418601651 29.80659080489133 28.202532494892434 21.874130741498035 29.357884979062664
