time 2020-01-07 17:28:01
5_4_CLUSTERED_CLUSTERED_LVSCV_MSVFLV_MSVFLV_thre0.1
robNum  5
taskNum  4
comp_threhold  0.1
rob2tskDis  90.35485598461214 56.356011214421486 33.54101966249684 8.06225774829855 120.91732712891069 98.97979591815695 11.045361017187261 36.49657518178932 70.11419257183242 16.492422502470642 80.60397012554654 54.74486277268398 117.79643458101778 91.3892772703669 4.123105625617661 28.231188426986208 24.08318915758459 30.59411708155671 98.85848471426213 75.69015788066504
tskDis  0.0 54.589376255824725 114.10959644131601 93.49331526906082 54.589376255824725 0.0 88.95504482602435 63.15853069855251 114.10959644131601 88.95504482602435 0.0 25.96150997149434 93.49331526906082 63.15853069855251 25.96150997149434 0.0

rob_x  11 6 21 1 67
rob_y  47 3 93 13 91
rob_vel  1 1 1 1 1
rob_abi  0.6883020234064448 0.3636784657786014 0.8005636279010335 1.3292972129868588 0.4889707335817672

tsk_x  91 37 5 12
tsk_y  89 97 14 39
tsk_rat  0.0897841067971369 0.09021685546783359 0.047152980575478315 0.04690932155425377
tsk_state  1 1 1 1
tsk_con  11.341234269842708 11.422384752774548 5.366606804507816 5.221862097650571
