time 2020-01-07 17:28:01
5_4_CLUSTERED_CLUSTERED_QUADRANT_LVLCV_MSVFLV_thre0.1
robNum  5
taskNum  4
comp_threhold  0.1
rob2tskDis  78.10249675906654 24.839484696748443 71.34423592694787 49.25444142409901 66.48308055437865 55.47071299343465 59.413803110051795 35.014282800023196 69.33974329343886 70.60453243241541 63.13477647065839 46.84015371452148 43.829214001622255 77.79460135510689 38.27531841800928 63.28506932918696 93.30058949438637 13.92838827718412 85.72630868059116 18.027756377319946
tskDis  0.0 95.1892851112981 7.615773105863909 94.41398201537736 95.1892851112981 0.0 87.82368700982668 31.953090617340916 7.615773105863909 87.82368700982668 0.0 86.83317338436964 94.41398201537736 31.953090617340916 86.83317338436964 0.0

rob_x  16 46 56 74 5
rob_y  12 62 74 55 44
rob_vel  1 1 1 1 1
rob_abi  0.5443513651905263 1.1293559295505111 0.8075966700031607 0.3362597294398157 0.8950396675576028

tsk_x  94 0 87 11
tsk_y  16 31 19 61
tsk_rat  0.982661423694303 0.15932712437991844 0.5428535011972085 1.1469317434418953
tsk_state  1 1 1 1
tsk_con  109.95001779413064 22.527991024306203 60.7648655855202 217.1250711867582
