time 2020-01-07 17:28:01
5_4_ECCENTRIC_CENTRAL_LVLCV_UNITARY_MSVFLV_thre0.1
robNum  5
taskNum  4
comp_threhold  0.1
rob2tskDis  70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476 70.71067811865476
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  0 0 0 0 0
rob_y  0 0 0 0 0
rob_vel  1 1 1 1 1
rob_abi  0.12736392946927327 1.1032766306191806 0.12285347855412909 1.2343754322199518 1.886303907610656

tsk_x  50 50 50 50
tsk_y  50 50 50 50
tsk_rat  0.2 0.2 0.2 0.2
tsk_state  1 1 1 1
tsk_con  23.707480246841598 23.965499423407984 21.490048092742175 25.454744346279796
