time 2020-01-07 17:28:01
5_4_RANDOMCLUSTERED_CENTRAL_SVSCV_UNITARY_LVLCV_thre0.1
robNum  5
taskNum  4
comp_threhold  0.1
rob2tskDis  32.01562118716424 32.01562118716424 32.01562118716424 32.01562118716424 48.25971404805462 48.25971404805462 48.25971404805462 48.25971404805462 31.400636936215164 31.400636936215164 31.400636936215164 31.400636936215164 24.331050121192877 24.331050121192877 24.331050121192877 24.331050121192877 32.55764119219941 32.55764119219941 32.55764119219941 32.55764119219941
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  75 45 31 54 82
rob_y  30 98 75 26 44
rob_vel  1 1 1 1 1
rob_abi  0.05403363051301657 0.04535471939899596 0.05685372953817666 0.02548623666652821 0.023648664712792034

tsk_x  50 50 50 50
tsk_y  50 50 50 50
tsk_rat  0.07342994262729202 0.045058251004479216 0.07912031871392514 0.06767569282994121
tsk_state  1 1 1 1
tsk_con  21.162148322394177 11.17449323915534 15.504175049433911 14.714435824037434
