time 2020-01-07 17:28:01
5_5_CLUSTERED_CLUSTERED_MSVFLV_MSVFLV_SVSCV_thre0.1
robNum  5
taskNum  5
comp_threhold  0.1
rob2tskDis  38.27531841800928 52.952809179494906 48.76474136094644 29.546573405388315 34.539832078341085 52.03844732503075 31.89043743820395 22.20360331117452 74.63243262818116 79.32212806020776 67.00746227100382 21.840329667841555 36.6742416417845 82.02438661763951 86.31338250816034 60.8276253029822 35.22782990761707 57.87054518492115 38.91015291668744 42.190046219457976 42.7551166528639 34.0147027033899 24.351591323771842 60.74537019394976 65.5133574166368
tskDis  0.0 76.24303246854758 37.16180835212409 59.682493245507096 64.4980619863884 76.24303246854758 0.0 53.75872022286245 73.92563831310488 77.38862965578342 37.16180835212409 53.75872022286245 0.0 78.10889834071403 83.16850365372699 59.682493245507096 73.92563831310488 78.10889834071403 0.0 5.0990195135927845 64.4980619863884 77.38862965578342 83.16850365372699 5.0990195135927845 0.0

rob_x  56 22 25 66 32
rob_y  68 37 22 45 47
rob_vel  1 1 1 1 1
rob_abi  0.12898978002685754 0.09123632639697297 0.043540573149148006 0.1083542844578979 0.06238045887473356

tsk_x  24 46 9 83 88
tsk_y  89 16 55 80 81
tsk_rat  0.14939875823540064 0.15979867890874866 0.02777753740908848 0.045514201444721986 0.1273084003328312
tsk_state  1 1 1 1 1
tsk_con  21.200769762481144 21.085879241080814 2.9996361515469445 5.492405560376713 18.257561987840912
