time 2020-01-07 17:28:01
5_5_CLUSTERED_CLUSTERED_UNITARY_SVSCV_LVSCV_thre0.1
robNum  5
taskNum  5
comp_threhold  0.1
rob2tskDis  42.5205832509386 96.17692030835673 71.34423592694787 87.09190547921202 62.26556030423239 14.866068747318506 82.54089895318563 64.35060217278468 69.6419413859206 38.600518131237564 35.22782990761707 81.68843247363729 71.56116265125938 68.11754546370561 42.190046219457976 67.08203932499369 5.0990195135927845 26.419689627245813 10.44030650891055 41.48493702538308 15.620499351813308 79.30952023559341 57.0087712549569 68.00735254367721 39.05124837953327
tskDis  0.0 69.12307863514182 49.73932046178355 56.71860364994893 26.019223662515376 69.12307863514182 0.0 25.298221281347036 13.601470508735444 44.01136216933077 49.73932046178355 25.298221281347036 0.0 20.615528128088304 29.410882339705484 56.71860364994893 13.601470508735444 20.615528128088304 0.0 31.04834939252005 26.019223662515376 44.01136216933077 29.410882339705484 31.04834939252005 0.0

rob_x  77 35 10 57 55
rob_y  1 18 33 95 17
rob_vel  1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2

tsk_x  45 62 70 54 46
tsk_y  29 96 72 85 55
tsk_rat  0.0710915716372498 0.07242016620478632 0.04767833877780654 0.06757401335135617 0.07070277988057207
tsk_state  1 1 1 1 1
tsk_con  11.598198251569125 12.486603455328018 8.60877426766998 13.471401443969574 12.162220349702118
