time 2020-01-07 17:28:01
5_5_CLUSTERED_RANDOM_LVSCV_SVLCV_LVSCV_thre0.1
robNum  5
taskNum  5
comp_threhold  0.1
rob2tskDis  67.91170738539859 49.64876634922564 71.06335201775947 65.5133574166368 18.027756377319946 95.46203433826454 35.6931365951495 13.601470508735444 23.853720883753127 87.0976463516667 40.718546143004666 62.20128616033595 76.55063683601855 77.93587107359485 11.0 100.16985574512923 22.825424421026653 22.090722034374522 7.0710678118654755 79.17701686727027 61.85466837676846 42.95346318982906 28.284271247461902 45.09988913511872 69.2314957226839
tskDis  0.0 81.02468759581859 83.6301381082203 93.29523031752481 50.92150822589606 81.02468759581859 0.0 24.596747752497688 16.15549442140351 56.356011214421486 83.6301381082203 24.596747752497688 0.0 18.384776310850235 73.54590403278758 93.29523031752481 16.15549442140351 18.384776310850235 0.0 72.44998274671983 50.92150822589606 56.356011214421486 73.54590403278758 72.44998274671983 0.0

rob_x  5 89 4 74 72
rob_y  74 75 45 93 43
rob_vel  1 1 1 1 1
rob_abi  0.5278718526034439 0.5471741802697642 1.617322623962583 1.1995270550405108 1.8211122587770472

tsk_x  21 54 76 69 4
tsk_y  8 82 71 88 56
tsk_rat  0.1685641634594696 0.13611655262618622 0.11478542164367005 0.04276720836478828 0.07590559781993117
tsk_state  1 1 1 1 1
tsk_con  28.723705280376624 26.58857320910708 20.460741693347046 7.909812157948838 14.947342552935496
