time 2020-01-07 17:28:01
5_5_ECCENTRIC_RANDOM_SVLCV_MSVFLV_UNITARY_thre0.1
robNum  5
taskNum  5
comp_threhold  0.1
rob2tskDis  98.3107318658548 89.19641248391103 89.49301648732151 45.221676218380054 48.16637831516918 98.3107318658548 89.19641248391103 89.49301648732151 45.221676218380054 48.16637831516918 98.3107318658548 89.19641248391103 89.49301648732151 45.221676218380054 48.16637831516918 98.3107318658548 89.19641248391103 89.49301648732151 45.221676218380054 48.16637831516918 98.3107318658548 89.19641248391103 89.49301648732151 45.221676218380054 48.16637831516918
tskDis  0.0 9.433981132056603 46.238512086787566 54.644304369257 69.92138442565336 9.433981132056603 0.0 45.48626166217664 46.14108798023731 63.150613615387776 46.238512086787566 45.48626166217664 0.0 48.041648597857254 44.10215414239989 54.644304369257 46.14108798023731 48.041648597857254 0.0 24.596747752497688 69.92138442565336 63.150613615387776 44.10215414239989 24.596747752497688 0.0

rob_x  0 0 0 0 0
rob_y  0 0 0 0 0
rob_vel  1 1 1 1 1
rob_abi  0.11396332775060532 0.17329371132113494 0.026441323615825726 0.07754319802116974 0.047911429773126846

tsk_x  71 66 28 26 4
tsk_y  68 60 85 37 48
tsk_rat  0.11570600754086666 0.15290720527131904 0.06649667990628606 0.1431285775330244 0.1728413720334386
tsk_state  1 1 1 1 1
tsk_con  23.14120150817333 30.58144105426381 13.299335981257213 28.62571550660488 34.56827440668772
