time 2020-01-07 17:28:02
8_7_CLUSTERED_RANDOMCLUSTERED_MSVFLV_LVSCV_LVLCV_thre0.1
robNum  8
taskNum  7
comp_threhold  0.1
rob2tskDis  55.90169943749474 22.80350850198276 68.96375859826666 67.7421582177598 23.0 58.180752831155424 106.5269918846862 67.06713054842886 98.49365461794989 62.96824596572466 72.069410986909 73.55270219373317 53.31041174104736 50.24937810560445 55.036351623268054 30.59411708155671 67.08203932499369 67.02984409947557 24.351591323771842 55.362442142665635 101.6070863670443 74.63243262818116 93.1933474020544 74.27651041883968 82.13403679352427 71.84705978674423 62.369864518050704 70.06425622241343 39.44616584663204 54.120236510939236 46.09772228646444 50.15974481593781 30.066592756745816 32.55764119219941 71.8679344353238 32.01562118716424 41.012193308819754 45.18849411078001 36.89173349139343 31.89043743820395 45.39823785126467 95.63472172804185 74.06078584514209 93.26306878931231 73.55270219373317 81.46778504415104 71.7007670809734 61.71709649683789 69.06518659932803 42.15447781671598 49.03060268852505 50.35871324805669 53.45091205957107 26.92582403567252 37.05401462729781 78.23042886243178
tskDis  0.0 58.52349955359813 14.866068747318506 12.0 33.52610922848042 14.142135623730951 63.97655820689325 58.52349955359813 0.0 73.23933369440222 68.8839603971781 27.80287754891569 65.76473218982953 117.79643458101778 14.866068747318506 73.23933369440222 0.0 10.04987562112089 47.4236228055175 13.601470508735444 50.59644256269407 12.0 68.8839603971781 10.04987562112089 0.0 45.12205669071391 19.79898987322333 59.90826320300064 33.52610922848042 27.80287754891569 47.4236228055175 45.12205669071391 0.0 38.41874542459709 90.02777349240623 14.142135623730951 65.76473218982953 13.601470508735444 19.79898987322333 38.41874542459709 0.0 52.69724850502159 63.97655820689325 117.79643458101778 50.59644256269407 59.90826320300064 90.02777349240623 52.69724850502159 0.0

rob_x  73 0 65 2 43 94 2 47
rob_y  91 59 91 79 70 44 78 75
rob_vel  1 1 1 1 1 1 1 1
rob_abi  0.18118900013928574 0.034802778416568037 0.057690092556796066 0.08137344187486181 0.041351673329569155 0.04780869523716554 0.08986712399848938 0.7261103051657698

tsk_x  63 95 53 63 73 49 5
tsk_y  36 85 25 24 68 38 9
tsk_rat  0.29066587324519144 0.2659736159822863 0.24507696626575198 0.17548875036756964 0.2604043247666676 0.16590935843880303 0.2980140993195676
tsk_state  1 1 1 1 1 1 1
tsk_con  52.76124703457306 44.7690714368571 59.44502415396193 44.107825626845745 39.478070206817726 48.43210955727335 45.628690871046224
