time 2020-01-07 17:28:01
8_7_CLUSTERED_RANDOMCLUSTERED_UNITARY_LVSCV_UNITARY_thre0.1
robNum  8
taskNum  7
comp_threhold  0.1
rob2tskDis  57.48912940721924 42.720018726587654 14.317821063276353 63.071388124885914 79.0 16.64331697709324 44.01136216933077 57.21887800367987 69.35416353759881 81.8413098624405 73.97972695272672 75.39230729988306 93.91485505499116 71.34423592694787 33.83784863137726 99.20181449953424 55.362442142665635 16.492422502470642 22.47220505424423 58.215118311311535 29.206163733020468 60.8276253029822 47.70744176750625 71.386273190299 78.26237921249263 84.20213774008353 83.19855767980596 69.85699678629192 46.87216658103186 43.04648650006177 8.06225774829855 53.46026561849464 69.1158447825099 18.027756377319946 34.36568055487916 42.80186911806539 34.058772731852805 42.7551166528639 58.69412236331676 69.06518659932803 54.57105459856901 45.65084884205331 33.1058907144937 100.43903623591775 57.723478758647246 15.652475842498529 19.235384061671343 61.07372593840988 30.528675044947494 55.02726596879042 48.703182647543684 10.198039027185569 59.033888572581766 75.16648189186454 10.295630140987 40.19950248448356
tskDis  0.0 73.53910524340094 44.94441010848846 17.46424919657298 26.419689627245813 54.20332093147061 18.439088914585774 73.53910524340094 0.0 51.10772935672255 86.95401083331349 99.80981915623332 58.872744118140105 70.0 44.94441010848846 51.10772935672255 0.0 49.0 65.06919393998976 12.083045973594572 30.066592756745816 17.46424919657298 86.95401083331349 49.0 0.0 16.278820596099706 55.10898293381942 19.1049731745428 26.419689627245813 99.80981915623332 65.06919393998976 16.278820596099706 0.0 71.386273190299 35.014282800023196 54.20332093147061 58.872744118140105 12.083045973594572 55.10898293381942 71.386273190299 0.0 37.33630940518894 18.439088914585774 70.0 30.066592756745816 19.1049731745428 35.014282800023196 37.33630940518894 0.0

rob_x  81 30 14 53 71 59 11 77
rob_y  22 92 3 89 26 61 5 17
rob_vel  1 1 1 1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

tsk_x  25 93 67 18 2 72 37
tsk_y  35 63 19 19 22 8 21
tsk_rat  0.3714718407176829 0.35891377543803266 0.3974874827972899 0.2431638923013448 0.3464411493508296 0.3890072315025265 0.3653903634963155
tsk_state  1 1 1 1 1 1 1
tsk_con  74.29436814353659 71.78275508760653 79.49749655945799 48.63277846026896 69.28822987016592 77.80144630050529 73.0780726992631
