time 2020-01-07 17:28:01
8_7_CLUSTERED_RANDOM_LVSCV_SVLCV_SVLCV_thre0.1
robNum  8
taskNum  7
comp_threhold  0.1
rob2tskDis  39.05124837953327 51.24451190127583 49.25444142409901 43.01162633521314 49.8196748283246 77.1621668954417 46.400431032480725 59.665735560705194 74.24957912338628 64.4437739428721 42.720018726587654 10.04987562112089 29.274562336608895 41.182520563948 39.05124837953327 108.74741376235114 35.014282800023196 84.34453153583817 57.706152185014034 56.72741841473134 16.278820596099706 57.584720195551874 45.0 66.21933252457322 20.223748416156685 27.65863337187866 58.52349955359813 52.3450093132096 34.0147027033899 59.413803110051795 44.384682042344295 56.72741841473134 63.324560795950255 89.05054744357274 49.4064773081425 71.30918594402827 32.64965543462902 80.4114419718985 7.0710678118654755 35.805027579936315 66.88796603276258 67.47592163134935 49.8196748283246 74.81310045707235 54.56189146281496 45.880278987817846 18.788294228055936 36.124783736376884 31.78049716414141 41.19465984809196 49.09175083453431 51.478150704935004 42.638011210655684 51.478150704935004 79.30952023559341 49.20365840057018
tskDis  0.0 90.27181176868004 10.44030650891055 77.4919350642375 67.17886572427373 82.34682750416071 26.076809620810597 90.27181176868004 0.0 100.4987562112089 34.0 68.41052550594829 99.29753269845128 93.98404119849285 10.44030650891055 100.4987562112089 0.0 86.34813257969161 72.80109889280519 84.38009243891595 25.942243542145693 77.4919350642375 34.0 86.34813257969161 0.0 35.38361202590826 65.60487786742691 72.06247289678588 67.17886572427373 68.41052550594829 72.80109889280519 35.38361202590826 0.0 31.304951684997057 50.566787519082126 82.34682750416071 99.29753269845128 84.38009243891595 65.60487786742691 31.304951684997057 0.0 58.52349955359813 26.076809620810597 93.98404119849285 25.942243542145693 72.06247289678588 50.566787519082126 58.52349955359813 0.0

rob_x  51 52 99 36 59 21 59 49
rob_y  79 31 39 57 91 59 38 81
rob_vel  1 1 1 1 1 1 1 1
rob_abi  1.483528418897124 1.6509028499455478 0.5336820131199547 0.2366307772365363 1.586824952328081 1.9257844730597273 1.2081719241747204 1.2901226667191161

tsk_x  90 0 100 16 42 56 88
tsk_y  77 84 74 54 30 2 51
tsk_rat  0.06880111812104503 0.044911328750829135 0.17817504137072965 0.09957610566241169 0.032709796072377284 0.1803389989853323 0.03969972944773631
tsk_state  1 1 1 1 1 1 1
tsk_con  9.390348186311689 7.271610750488343 29.653286767902507 18.909341214851572 3.84654274663174 28.302993719938332 7.461065330089648
