time 2020-01-07 17:28:01
8_7_RANDOMCLUSTERED_RANDOMCLUSTERED_SVLCV_SVSCV_LVSCV_thre0.1
robNum  8
taskNum  7
comp_threhold  0.1
rob2tskDis  64.4437739428721 27.459060435491963 75.0066663703967 63.63961030678928 96.6902270139025 98.00510190801293 38.27531841800928 62.96824596572466 82.28000972289685 19.026297590440446 66.52818951391959 18.027756377319946 14.317821063276353 65.45991139621256 41.19465984809196 70.45565981523414 83.23460818673925 38.05259518088089 109.40292500660117 95.85927185202274 72.44998274671983 48.041648597857254 103.23274674249446 46.95742752749558 51.15662224971465 59.00847396772772 27.018512172212592 89.10667763978185 57.8013840664737 84.86459803710851 21.02379604162864 61.40032573203501 26.019223662515376 6.708203932499369 68.4470598345904 31.064449134018133 64.03124237432849 20.591260281974 34.40930106817051 46.09772228646444 32.14031735997639 50.32891812864648 84.59905436823747 79.1580697086532 33.015148038438355 87.92041856133307 10.04987562112089 42.1070065428546 62.39390995922599 8.06225774829855 80.62257748298549 52.0 10.198039027185569 76.32168761236873 53.41348144429457 71.78439941937245
tskDis  0.0 73.79024325749306 51.62363799656123 3.605551275463989 77.00649323271382 56.938563381947034 65.96969000988257 73.79024325749306 0.0 63.90618123468183 74.32361670424818 80.15609770940699 89.96110270555825 17.11724276862369 51.62363799656123 63.90618123468183 0.0 54.91812087098393 26.248809496813376 26.627053911388696 47.4236228055175 3.605551275463989 74.32361670424818 54.91812087098393 0.0 80.43009387039157 60.53924347066124 67.26812023536856 77.00649323271382 80.15609770940699 26.248809496813376 80.43009387039157 0.0 32.0624390837628 63.071388124885914 56.938563381947034 89.96110270555825 26.627053911388696 60.53924347066124 32.0624390837628 0.0 73.824115301167 65.96969000988257 17.11724276862369 47.4236228055175 67.26812023536856 63.071388124885914 73.824115301167 0.0

rob_x  99 5 92 3 5 34 5 44
rob_y  71 71 24 30 63 54 99 24
rob_vel  1 1 1 1 1 1 1 1
rob_abi  0.15322657021492594 0.10261257597841623 0.17270883925896038 0.04877002626035434 0.15879622457240172 0.09762436505951945 0.12215823405078925 0.030251258539689012

tsk_x  51 84 24 54 4 2 67
tsk_y  28 94 72 26 89 57 92
tsk_rat  0.07481633342025457 0.05144890630369424 0.09327615790044347 0.060362903554518996 0.08924214360658467 0.056267100027825756 0.05938584981509956
tsk_state  1 1 1 1 1 1 1
tsk_con  13.053994546030268 9.334943648349165 14.370956248545584 10.668233225232978 16.462858637476266 8.477526314500505 11.018815265716698
