time 2020-01-07 17:28:01
8_8_CENTRAL_CENTRAL_UNITARY_SVSCV_MSVFLV_thre0.1
robNum  8
taskNum  8
comp_threhold  0.1
rob2tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  50 50 50 50 50 50 50 50
rob_y  50 50 50 50 50 50 50 50
rob_vel  1 1 1 1 1 1 1 1
rob_abi  0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

tsk_x  50 50 50 50 50 50 50 50
tsk_y  50 50 50 50 50 50 50 50
tsk_rat  0.09937516584831571 0.09631877234583452 0.09619266382070116 0.049998696694460415 0.032526441212442234 0.08687921450247824 0.0840745946669862 0.05273466125813324
tsk_state  1 1 1 1 1 1 1 1
tsk_con  12.81048215574539 14.245706752707791 11.846906457532459 6.915487488649754 4.414000315914352 12.299483507621161 12.733335504438982 10.298331794373155
