time 2020-01-07 17:28:01
8_8_CLUSTERED_CLUSTERED_MSVFLV_QUADRANT_MSVFLV_thre0.1
robNum  8
taskNum  8
comp_threhold  0.1
rob2tskDis  43.9089968002003 34.058772731852805 40.52159917870962 27.018512172212592 62.51399843235114 36.87817782917155 32.64965543462902 27.313000567495326 46.57252408878007 41.19465984809196 79.07591289387686 86.21484790916237 18.681541692269406 39.05124837953327 42.2965719651132 44.598206241955516 55.326304774492215 40.26164427839479 62.16912416947821 19.72308292331602 52.354560450833695 42.720018726587654 39.05124837953327 29.410882339705484 22.47220505424423 23.345235059857504 19.1049731745428 53.150729063673246 61.68468205316454 25.079872407968907 22.561028345356956 26.627053911388696 49.49747468305833 45.89117562233506 82.38931969618392 92.45539465060976 24.698178070456937 43.56604182158393 47.07440918375928 50.15974481593781 50.60632371551998 40.311288741492746 45.70557952810576 21.095023109728988 66.49060083951716 43.139309220245984 38.897300677553446 32.7566787083184 36.76955262170047 25.45584412271571 39.824615503479755 32.28002478313795 54.147945482723536 28.284271247461902 24.041630560342615 18.384776310850235 45.880278987817846 40.11234224026316 78.26237921249263 84.81155581640984 17.46424919657298 38.01315561749642 41.19465984809196 43.32435804486894
tskDis  0.0 16.492422502470642 33.015148038438355 68.9492567037528 50.0 15.231546211727817 17.26267650163207 27.16615541441225 16.492422502470642 0.0 40.718546143004666 55.94640292279746 38.62641583165593 2.8284271247461903 1.4142135623730951 11.045361017187261 33.015148038438355 40.718546143004666 0.0 66.75327707311455 79.30952023559341 41.78516483155236 40.24922359499622 45.60701700396552 68.9492567037528 55.94640292279746 66.75327707311455 0.0 72.069410986909 58.66856057549052 54.589376255824725 46.04345773288535 50.0 38.62641583165593 79.30952023559341 72.069410986909 0.0 37.57658845611187 39.21734310225516 37.12142238654117 15.231546211727817 2.8284271247461903 41.78516483155236 58.66856057549052 37.57658845611187 0.0 4.242640687119285 13.341664064126334 17.26267650163207 1.4142135623730951 40.24922359499622 54.589376255824725 39.21734310225516 4.242640687119285 0.0 10.0 27.16615541441225 11.045361017187261 45.60701700396552 46.04345773288535 37.12142238654117 13.341664064126334 10.0 0.0

rob_x  79 12 63 76 8 82 71 13
rob_y  39 13 56 13 8 45 35 14
rob_vel  1 1 1 1 1 1 1 1
rob_abi  0.10606686010735909 0.1714101508664931 0.04248133987461059 0.14824961870639475 0.10819279473933664 0.14534389881941043 0.15848857867430466 1.7401658540453244

tsk_x  57 53 90 80 17 51 54 54
tsk_y  1 17 0 66 31 15 18 28
tsk_rat  0.6318631377968038 0.5024067015865935 0.489565628767093 0.20903890687824841 0.16500267436558946 0.5212640959075964 0.4711922056786585 0.41485365459261997
tsk_state  1 1 1 1 1 1 1 1
tsk_con  93.4157345933173 61.0989130692586 51.971989583339486 25.19182257432255 18.219202969955113 56.144832431506686 93.05578298490492 78.81555737763989
