time 2020-01-07 17:28:01
8_8_ECCENTRIC_RANDOM_SVSCV_LVSCV_SVLCV_thre0.1
robNum  8
taskNum  8
comp_threhold  0.1
rob2tskDis  92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246 92.26592003551474 93.96275858019496 126.15070352558483 103.24727599312246 68.06614430096654 99.02019995940222 88.84255736976509 87.66413177577246
tskDis  0.0 105.4229576515476 76.05918747922567 47.16990566028302 107.89810007595129 128.70120434556935 12.083045973594572 90.0 105.4229576515476 0.0 68.3593446428504 70.83078426785913 32.55764119219941 26.570660511172846 93.72299611087985 15.556349186104045 76.05918747922567 68.3593446428504 0.0 29.832867780352597 93.2148056909416 94.36630754670864 65.49045732013177 57.14017850864661 47.16990566028302 70.83078426785913 29.832867780352597 0.0 86.14522621712709 97.06183596038146 36.013886210738214 55.90169943749474 107.89810007595129 32.55764119219941 93.2148056909416 86.14522621712709 0.0 31.016124838541646 97.75479527879949 36.68787265568828 128.70120434556935 26.570660511172846 94.36630754670864 97.06183596038146 31.016124838541646 0.0 117.41379816699569 41.182520563948 12.083045973594572 93.72299611087985 65.49045732013177 36.013886210738214 97.75479527879949 117.41379816699569 0.0 78.24321056807422 90.0 15.556349186104045 57.14017850864661 55.90169943749474 36.68787265568828 41.182520563948 78.24321056807422 0.0

rob_x  0 0 0 0 0 0 0 0
rob_y  0 0 0 0 0 0 0 0
rob_vel  1 1 1 1 1 1 1 1
rob_abi  0.05855470944716523 0.060063083874413684 0.030022137226389516 0.020440593712848464 0.030633882467314334 0.02645334952186235 0.09228994220312457 0.0656943068035769

tsk_x  92 27 95 88 3 2 87 38
tsk_y  7 90 83 54 68 99 18 79
tsk_rat  0.0867193551513602 0.07002303083701196 0.0782811815305134 0.08718650468434581 0.07109855069810228 0.09581032424744337 0.08230171849681833 0.08297925824824426
tsk_state  1 1 1 1 1 1 1 1
tsk_con  13.271151787623753 7.069458068896386 11.345973138048445 15.342821399451195 9.526678088062864 11.693107096075652 8.648484038803105 14.111456846653104
