time 2020-01-07 17:28:01
8_8_RANDOMCLUSTERED_CENTRAL_LVSCV_QUADRANT_SVLCV_thre0.1
robNum  8
taskNum  8
comp_threhold  0.1
rob2tskDis  56.60388679233962 56.60388679233962 56.60388679233962 56.60388679233962 56.60388679233962 56.60388679233962 56.60388679233962 56.60388679233962 47.43416490252569 47.43416490252569 47.43416490252569 47.43416490252569 47.43416490252569 47.43416490252569 47.43416490252569 47.43416490252569 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 61.5223536610881 21.587033144922902 21.587033144922902 21.587033144922902 21.587033144922902 21.587033144922902 21.587033144922902 21.587033144922902 21.587033144922902 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 44.04543109109048 62.48199740725323 62.48199740725323 62.48199740725323 62.48199740725323 62.48199740725323 62.48199740725323 62.48199740725323 62.48199740725323 39.05124837953327 39.05124837953327 39.05124837953327 39.05124837953327 39.05124837953327 39.05124837953327 39.05124837953327 39.05124837953327 41.7612260356422 41.7612260356422 41.7612260356422 41.7612260356422 41.7612260356422 41.7612260356422 41.7612260356422 41.7612260356422
tskDis  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

rob_x  2 89 6 29 22 98 52 10
rob_y  20 23 7 55 84 90 89 62
rob_vel  1 1 1 1 1 1 1 1
rob_abi  1.7354867229154296 0.47905473411383515 0.2972595455319765 1.3176613158975876 1.133876941177635 1.1377634480709755 1.607340153678315 0.5136230033990148

tsk_x  50 50 50 50 50 50 50 50
tsk_y  50 50 50 50 50 50 50 50
tsk_rat  1.7060957906797052 1.426478976792469 1.421625214050979 1.2446979229318273 1.2815683097095336 1.578952183688573 1.553979720307085 1.906749369821889
tsk_state  1 1 1 1 1 1 1 1
tsk_con  218.41065786482434 244.73071460192804 155.94774969294036 205.62336093215217 148.74923624804518 293.30679477043645 305.3923237344032 239.1816097744807
